[2022-03-21 13:06:32.558215]Total energy: 20708807.31422265
[2022-03-21 13:07:50.548271]Total energy: 20683094.71017286
[2022-03-21 13:09:09.182071]Total energy: 20683284.72052757
[2022-03-21 13:10:31.161198]Total energy: 20691729.55746448
[2022-03-21 13:11:53.213656]Total energy: 20694151.729580123
[2022-03-21 13:13:11.529856]Total energy: 20694828.905430295
[2022-03-21 13:14:29.870438]Total energy: 20706868.68537552
[2022-03-21 13:15:47.685655]Total energy: 20690408.065694492
[2022-03-21 13:17:05.898249]Total energy: 20696128.063895606
[2022-03-21 13:18:23.995172]Total energy: 20688034.191410437
[2022-03-21 13:19:42.455743]Total energy: 20683107.96169585
[2022-03-21 13:21:01.313318]Total energy: 20685402.754146203
[2022-03-21 13:22:19.258818]Total energy: 20685469.453686036
[2022-03-21 13:23:36.734572]Total energy: 20692498.01280881
[2022-03-21 13:24:54.353064]Total energy: 20700320.836231094
[2022-03-21 13:26:11.160853]Total energy: 20692472.85123529
[2022-03-21 13:27:30.548161]Total energy: 20701665.31173289
[2022-03-21 13:28:48.549391]Total energy: 20693614.342921697
[2022-03-21 13:30:05.752739]Total energy: 20698251.30161197
[2022-03-21 13:31:23.793611]Total energy: 20702644.525355116
[2022-03-21 13:32:42.427405]Total energy: 20692102.4877509
[2022-03-21 13:34:01.032949]Total energy: 20701319.549085587
[2022-03-21 13:35:17.997212]Total energy: 20683338.32979823
[2022-03-21 13:36:36.532896]Total energy: 20698819.87476882
[2022-03-21 13:37:54.219878]Total energy: 20692049.735403523
[2022-03-21 13:39:12.118646]Total energy: 20683170.940121714
[2022-03-21 13:40:28.930097]Total energy: 20702348.209292736
[2022-03-21 13:41:50.012155]Total energy: 20692043.81285976
[2022-03-21 13:43:08.314545]Total energy: 20695905.10018288
[2022-03-21 13:44:25.876037]Total energy: 20705376.61951809
[2022-03-21 13:45:44.171159]Total energy: 20705420.479766253
[2022-03-21 13:47:01.298054]Total energy: 20698581.275987092
[2022-03-21 13:48:19.955640]Total energy: 20707652.350843493
[2022-03-21 13:49:38.293100]Total energy: 20691277.372683458
[2022-03-21 13:50:57.680400]Total energy: 20722524.56330837
[2022-03-21 13:52:15.861129]Total energy: 20711256.5918162
[2022-03-21 13:53:34.838250]Total energy: 20704950.63073852
[2022-03-21 13:54:55.248690]Total energy: 20707028.30530662
[2022-03-21 13:56:13.782240]Total energy: 20706823.416696668
[2022-03-21 13:57:31.585581]Total energy: 20720658.90782526
[2022-03-21 13:58:49.738381]Total energy: 20723713.965579797
[2022-03-21 14:00:07.733697]Total energy: 20707028.130758796
[2022-03-21 14:01:25.192686]Total energy: 20706726.361637916
[2022-03-21 14:02:42.562209]Total energy: 20710778.496250317
[2022-03-21 14:04:00.900278]Total energy: 20702420.626473878
[2022-03-21 14:05:20.104231]Total energy: 20727278.678992644
[2022-03-21 14:06:38.485046]Total energy: 20714146.448421095
[2022-03-21 14:07:55.598121]Total energy: 20721102.585216034
[2022-03-21 14:09:13.963067]Total energy: 20706849.331267055
[2022-03-21 14:10:33.028871]Total energy: 20716735.81078646
[2022-03-21 14:11:50.700452]Total energy: 20712678.165135607
[2022-03-21 14:13:09.763003]Total energy: 20708716.606409416
[2022-03-21 14:14:27.700278]Total energy: 20719094.33569345
[2022-03-21 14:15:44.748112]Total energy: 20707968.514336318
[2022-03-21 14:17:02.875240]Total energy: 20717066.63573687
[2022-03-21 14:18:21.066851]Total energy: 20728506.88434406
[2022-03-21 14:19:40.678624]Total energy: 20720332.21091817
[2022-03-21 14:21:01.220328]Total energy: 20720864.28364949
[2022-03-21 14:22:20.153775]Total energy: 20728149.571238976
[2022-03-21 14:23:39.778450]Total energy: 20727680.82375036
[2022-03-21 14:24:58.750500]Total energy: 20724946.29965241
[2022-03-21 14:26:16.579330]Total energy: 20721210.321131963
[2022-03-21 14:27:34.945868]Total energy: 20728690.697470617
[2022-03-21 14:28:52.805943]Total energy: 20718608.904322132
[2022-03-21 14:30:11.091727]Total energy: 20724552.912026167
[2022-03-21 14:31:28.366643]Total energy: 20719766.36025709
[2022-03-21 14:32:46.264943]Total energy: 20732291.986152537
[2022-03-21 14:34:04.077772]Total energy: 20731414.646567576
[2022-03-21 14:35:21.388298]Total energy: 20723412.594964627
[2022-03-21 14:36:39.613472]Total energy: 20724503.763465982
[2022-03-21 14:37:58.345743]Total energy: 20736771.808633912
[2022-03-21 14:39:18.509556]Total energy: 20716755.243743002
[2022-03-21 14:40:42.020762]Total energy: 20731032.315546807
[2022-03-21 14:42:05.590492]Total energy: 20730030.410429597
[2022-03-21 14:43:25.097427]Total energy: 20730405.33115789
[2022-03-21 14:44:43.800147]Total energy: 20730057.59004347
[2022-03-21 14:46:02.745911]Total energy: 20731113.036141228
[2022-03-21 14:47:20.733680]Total energy: 20727455.604172762
[2022-03-21 14:48:36.519351]Total energy: 20732269.651174564
[2022-03-21 14:49:54.715659]Total energy: 20731183.787807938
[2022-03-21 14:51:13.159420]Total energy: 20727459.699663524
[2022-03-21 14:52:30.181408]Total energy: 20733718.871721413
[2022-03-21 14:53:48.149657]Total energy: 20736018.51089125
[2022-03-21 14:55:05.175661]Total energy: 20735919.346808158
[2022-03-21 14:56:22.798608]Total energy: 20724130.021062132
[2022-03-21 14:57:40.615941]Total energy: 20726652.4951979
[2022-03-21 14:58:58.171399]Total energy: 20733387.056029122
[2022-03-21 15:00:17.036715]Total energy: 20724355.187246613
[2022-03-21 15:01:35.135919]Total energy: 20734875.053580668
[2022-03-21 15:02:52.540885]Total energy: 20729121.392522328
[2022-03-21 15:04:10.353516]Total energy: 20730350.98411606
[2022-03-21 15:05:28.356800]Total energy: 20728372.599683102
[2022-03-21 15:06:45.239276]Total energy: 20727010.335948493
[2022-03-21 15:08:02.640222]Total energy: 20724716.602471776
[2022-03-21 15:09:18.095065]Total energy: 20714572.466818534
[2022-03-21 15:10:34.901229]Total energy: 20734677.98039806
[2022-03-21 15:11:52.474706]Total energy: 20724729.317922283
[2022-03-21 15:13:07.025946]Total energy: 20739808.691506647
[2022-03-21 15:14:25.085999]Total energy: 20717178.249471206
[2022-03-21 15:15:41.093981]Total energy: 20737681.059430733
[2022-03-21 15:16:55.280265]Total energy: 20736099.6081723
[2022-03-21 15:18:12.362076]Total energy: 20750035.4723745
[2022-03-21 15:19:29.753018]Total energy: 20727042.527510613
[2022-03-21 15:20:46.572936]Total energy: 20737814.28160782
[2022-03-21 15:22:03.681676]Total energy: 20737601.736790434
[2022-03-21 15:23:20.744506]Total energy: 20745905.178631928
[2022-03-21 15:24:38.681854]Total energy: 20732012.360200193
[2022-03-21 15:25:56.781695]Total energy: 20730378.09351088
[2022-03-21 15:27:14.863312]Total energy: 20729099.433317315
[2022-03-21 15:28:33.279336]Total energy: 20738104.232261445
[2022-03-21 15:29:51.774187]Total energy: 20746485.1310384
[2022-03-21 15:31:09.967542]Total energy: 20744515.413331907
[2022-03-21 15:32:28.793328]Total energy: 20737746.379608158
[2022-03-21 15:33:47.769346]Total energy: 20745484.319012232
[2022-03-21 15:35:05.857689]Total energy: 20734514.533027053
[2022-03-21 15:36:23.543712]Total energy: 20736644.878815416
[2022-03-21 15:37:41.736979]Total energy: 20747365.14289553
[2022-03-21 15:39:00.483069]Total energy: 20740258.990501985
[2022-03-21 15:40:17.470413]Total energy: 20736052.148904555
[2022-03-21 15:41:35.583609]Total energy: 20738664.650896117
[2022-03-21 15:42:53.850708]Total energy: 20746165.510377515
[2022-03-21 15:44:12.964599]Total energy: 20727856.30982963
[2022-03-21 15:45:32.019075]Total energy: 20739010.89826721
[2022-03-21 15:46:49.117765]Total energy: 20742215.03679701
[2022-03-21 15:48:06.934945]Total energy: 20740808.195366763
[2022-03-21 15:49:24.144375]Total energy: 20741866.00706846
[2022-03-21 15:50:42.627747]Total energy: 20734198.16685653
[2022-03-21 15:51:59.459432]Total energy: 20739423.629746143
[2022-03-21 15:53:15.665311]Total energy: 20736912.605184063
[2022-03-21 15:54:33.141416]Total energy: 20742255.273412675
[2022-03-21 15:55:50.234929]Total energy: 20744406.887928307
[2022-03-21 15:57:07.765876]Total energy: 20748985.46351289
[2022-03-21 15:58:25.661213]Total energy: 20742808.29844007
