initial: 101 - diverse_no_blind_seed
[2022-04-09 19:01:30.030404]Total energy: 19754453.50733588
[2022-04-09 19:03:23.517326]Total energy: 19716141.873687748
[2022-04-09 19:05:06.136683]Total energy: 19710596.607259925
[2022-04-09 19:06:39.377379]Total energy: 19720090.636575956
[2022-04-09 19:08:07.528342]Total energy: 19739564.208626688
[2022-04-09 19:09:34.124025]Total energy: 19735079.247547287
[2022-04-09 19:11:27.124925]Total energy: 19751887.064887796
[2022-04-09 19:13:04.335140]Total energy: 19764235.888223547
[2022-04-09 19:14:36.209706]Total energy: 19702051.63019078
[2022-04-09 19:16:03.315554]Total energy: 19795672.722025555
[2022-04-09 19:18:52.175378]Total energy: 19644322.06505626
[2022-04-09 19:21:16.560491]Total energy: 19745491.002296895
[2022-04-09 19:22:53.683417]Total energy: 19726217.329007585
[2022-04-09 19:24:19.233595]Total energy: 19662091.663357385
[2022-04-09 19:25:48.221574]Total energy: 19768959.07507069
[2022-04-09 19:27:15.475132]Total energy: 19671884.698740553
[2022-04-09 19:28:42.933284]Total energy: 19729351.698419727
[2022-04-09 19:30:11.373422]Total energy: 19676450.80558247
[2022-04-09 19:31:42.729422]Total energy: 19775881.800853048
[2022-04-09 19:33:18.584531]Total energy: 19743759.930410985
[2022-04-09 19:35:03.123386]Total energy: 19715085.96036682
[2022-04-09 19:36:41.327796]Total energy: 19714971.15361652
[2022-04-09 19:38:10.183779]Total energy: 19732485.46076352
[2022-04-09 19:39:36.604849]Total energy: 19733639.0696562
[2022-04-09 19:41:09.947171]Total energy: 19753263.86055193
[2022-04-09 19:42:41.838614]Total energy: 19773725.896594558
[2022-04-09 19:44:08.517738]Total energy: 19713003.963840514
[2022-04-09 19:45:34.988053]Total energy: 19787089.373277258
[2022-04-09 19:47:04.323932]Total energy: 19734839.749082856
[2022-04-09 19:48:30.470360]Total energy: 19681822.33322513
[2022-04-09 19:49:58.293699]Total energy: 19695453.25708435
[2022-04-09 19:51:50.161868]Total energy: 19760768.536584545
[2022-04-09 19:53:34.042339]Total energy: 19803633.574489318
[2022-04-09 19:55:01.925789]Total energy: 19750991.4195342
[2022-04-09 19:56:28.900335]Total energy: 19841173.93773458
[2022-04-09 19:57:54.814663]Total energy: 19735864.368063875
[2022-04-09 19:59:24.759255]Total energy: 19766940.177987903
[2022-04-09 20:01:03.755869]Total energy: 19797091.374146096
[2022-04-09 20:02:36.240516]Total energy: 19814712.401103668
[2022-04-09 20:04:03.442535]Total energy: 19719447.851731665
[2022-04-09 20:05:30.322464]Total energy: 19774675.167701524
[2022-04-09 20:06:56.136758]Total energy: 19716684.01844148
[2022-04-09 20:08:24.281969]Total energy: 19730943.855815552
[2022-04-09 20:09:50.866988]Total energy: 19711484.70936707
[2022-04-09 20:11:36.809759]Total energy: 19823320.5830008
[2022-04-09 20:13:15.278624]Total energy: 19780788.503611654
[2022-04-09 20:14:58.264611]Total energy: 19672169.46039625
[2022-04-09 20:16:33.165988]Total energy: 19756844.32719872
[2022-04-09 20:17:59.333614]Total energy: 19704142.375152804
[2022-04-09 20:19:26.750904]Total energy: 19756602.609443523
[2022-04-09 20:21:08.676432]Total energy: 19745166.411460053
[2022-04-09 20:22:58.162332]Total energy: 19738097.11700422
[2022-04-09 20:24:37.589121]Total energy: 19676249.36222457
[2022-04-09 20:26:03.336916]Total energy: 19784476.922009017
[2022-04-09 20:27:30.209466]Total energy: 19694047.0554986
[2022-04-09 20:28:56.554696]Total energy: 19792356.32750365
[2022-04-09 20:30:22.126424]Total energy: 19703221.27171642
[2022-04-09 20:32:18.163609]Total energy: 19744894.785782177
[2022-04-09 20:33:52.668440]Total energy: 19710170.800458673
[2022-04-09 20:35:26.197886]Total energy: 19757157.294201136
[2022-04-09 20:36:58.416685]Total energy: 19780080.57944572
[2022-04-09 20:38:29.885684]Total energy: 19661982.99522314
[2022-04-09 20:40:01.418128]Total energy: 19671798.33627714
[2022-04-09 20:41:52.651485]Total energy: 19699160.242921136
[2022-04-09 20:43:41.318672]Total energy: 19727794.13384929
[2022-04-09 20:45:23.593849]Total energy: 19614629.09766238
[2022-04-09 20:46:49.607510]Total energy: 19792422.830380175
[2022-04-09 20:48:12.315019]Total energy: 19771326.472053707
[2022-04-09 20:49:36.084108]Total energy: 19708779.53372613
[2022-04-09 20:51:16.075200]Total energy: 19770318.65093995
[2022-04-09 20:53:06.520883]Total energy: 19814262.800622612
[2022-04-09 20:54:37.956968]Total energy: 19792772.873732653
[2022-04-09 20:56:03.108210]Total energy: 19746364.53907158
[2022-04-09 20:57:28.392561]Total energy: 19719699.278200578
[2022-04-09 20:58:53.622692]Total energy: 19736296.12822394
[2022-04-09 21:00:28.957884]Total energy: 19689853.496358395
[2022-04-09 21:02:29.340255]Total energy: 19736814.6088671
[2022-04-09 21:04:10.519681]Total energy: 19658411.976579167
[2022-04-09 21:05:51.285176]Total energy: 19619232.622371342
[2022-04-09 21:07:35.669933]Total energy: 19757687.100145716
[2022-04-09 21:09:22.161210]Total energy: 19681434.977635168
[2022-04-09 21:10:53.824461]Total energy: 19637782.13228166
[2022-04-09 21:12:19.417783]Total energy: 19671571.223763224
[2022-04-09 21:13:43.699615]Total energy: 19697339.457038585
[2022-04-09 21:15:10.164544]Total energy: 19712248.397058256
[2022-04-09 21:16:35.210991]Total energy: 19670032.13292223
[2022-04-09 21:17:59.885701]Total energy: 19634906.473633762
[2022-04-09 21:19:23.889176]Total energy: 19690233.89795843
[2022-04-09 21:21:13.039833]Total energy: 19752748.643047
[2022-04-09 21:23:14.953676]Total energy: 19716745.10249028
[2022-04-09 21:24:59.804561]Total energy: 19629113.4145394
[2022-04-09 21:26:35.372661]Total energy: 19687721.160982944
[2022-04-09 21:28:07.128273]Total energy: 19675591.71177494
[2022-04-09 21:29:39.210777]Total energy: 19750716.830542825
[2022-04-09 21:31:31.867801]Total energy: 19708842.80736254
[2022-04-09 21:33:23.121159]Total energy: 19665567.589065645
[2022-04-09 21:35:17.463986]Total energy: 19727749.921932854
[2022-04-09 21:37:07.188361]Total energy: 19718168.72250664
[2022-04-09 21:38:46.785898]Total energy: 19679316.177945122
[2022-04-09 21:40:34.777275]Total energy: 19669055.744588275
[2022-04-09 21:42:27.385964]Total energy: 19707277.24792735
[2022-04-09 21:44:23.477145]Total energy: 19652667.629781798
[2022-04-09 21:46:06.661666]Total energy: 19749906.722688112
[2022-04-09 21:47:49.120696]Total energy: 19676533.67898275
[2022-04-09 21:49:28.296603]Total energy: 19660946.76998376
[2022-04-09 21:51:30.940216]Total energy: 19742568.291263685
[2022-04-09 21:53:19.896424]Total energy: 19716295.394607417
[2022-04-09 21:54:56.765113]Total energy: 19710458.32061966
[2022-04-09 21:56:26.588089]Total energy: 19710314.88754944
[2022-04-09 21:57:55.267682]Total energy: 19672591.435553703
[2022-04-09 21:59:25.368677]Total energy: 19629056.542802975
[2022-04-09 22:01:02.656416]Total energy: 19718181.760232948
[2022-04-09 22:02:46.016591]Total energy: 19700498.7317357
[2022-04-09 22:04:28.566388]Total energy: 19731660.10044368
[2022-04-09 22:06:12.081691]Total energy: 19629327.052359562
[2022-04-09 22:07:49.764625]Total energy: 19673827.815374136
[2022-04-09 22:09:21.062512]Total energy: 19662203.785828188
[2022-04-09 22:11:23.117359]Total energy: 19678247.33234383
[2022-04-09 22:13:29.336110]Total energy: 19740969.5221321
[2022-04-09 22:15:10.562454]Total energy: 19801737.7798014
[2022-04-09 22:16:47.660809]Total energy: 19650153.25686609
[2022-04-09 22:18:18.367444]Total energy: 19679427.39715861
[2022-04-09 22:19:48.243290]Total energy: 19703122.736886755
[2022-04-09 22:21:29.136545]Total energy: 19616280.703947175
[2022-04-09 22:23:19.953721]Total energy: 19662101.34060893
[2022-04-09 22:25:00.778928]Total energy: 19767327.692411214
[2022-04-09 22:26:32.352859]Total energy: 19731978.439739015
[2022-04-09 22:28:04.042681]Total energy: 19741110.69452837
[2022-04-09 22:29:39.492321]Total energy: 19671876.65344357
[2022-04-09 22:31:36.914914]Total energy: 19658249.621219117
[2022-04-09 22:33:22.972767]Total energy: 19668553.63982746
[2022-04-09 22:34:51.487870]Total energy: 19645238.15970028
[2022-04-09 22:36:23.514894]Total energy: 19705082.574598342
[2022-04-09 22:37:56.458137]Total energy: 19689318.986968867
