initial: all - diverse_no_blind_all
[2022-04-09 21:26:44.050303]Total energy: 16881092.348105658
[2022-04-09 21:28:10.315148]Total energy: 16893262.00454092
[2022-04-09 21:29:35.411283]Total energy: 16894387.7559216
[2022-04-09 21:31:27.178986]Total energy: 16902514.875463735
[2022-04-09 21:33:12.596966]Total energy: 16904529.294764332
[2022-04-09 21:35:00.138220]Total energy: 16937599.89130179
[2022-04-09 21:36:48.846452]Total energy: 16945783.546191122
[2022-04-09 21:38:20.857015]Total energy: 16891686.785036728
[2022-04-09 21:39:45.402242]Total energy: 16891271.95434508
[2022-04-09 21:41:18.727129]Total energy: 16915928.695657652
[2022-04-09 21:43:02.456563]Total energy: 16899653.95607245
[2022-04-09 21:44:36.797277]Total energy: 16911201.60711759
[2022-04-09 21:46:02.694758]Total energy: 16929640.354309566
[2022-04-09 21:47:31.042641]Total energy: 16963132.90885974
[2022-04-09 21:48:56.901714]Total energy: 16895339.053250656
[2022-04-09 21:50:37.672559]Total energy: 16929201.41806109
[2022-04-09 21:52:32.788462]Total energy: 16924874.20355603
[2022-04-09 21:54:04.310015]Total energy: 16923269.014506977
[2022-04-09 21:55:31.986835]Total energy: 16933970.023271315
[2022-04-09 21:57:01.334986]Total energy: 16920806.798112173
[2022-04-09 21:58:28.821946]Total energy: 16912806.574198082
[2022-04-09 21:59:55.321602]Total energy: 16904656.672720194
[2022-04-09 22:01:27.420393]Total energy: 16936957.30604447
[2022-04-09 22:03:03.996421]Total energy: 16938929.618740167
[2022-04-09 22:04:40.349576]Total energy: 16946757.335499547
[2022-04-09 22:06:17.833504]Total energy: 16910173.245882962
[2022-04-09 22:07:54.553230]Total energy: 16929738.58008817
[2022-04-09 22:09:20.541093]Total energy: 16890177.1588365
[2022-04-09 22:11:17.561044]Total energy: 16893530.44637754
[2022-04-09 22:13:18.716460]Total energy: 16919834.51652235
[2022-04-09 22:14:53.811274]Total energy: 16932752.274942413
[2022-04-09 22:16:21.523577]Total energy: 16973007.062321037
[2022-04-09 22:17:49.230514]Total energy: 16883394.18691098
[2022-04-09 22:19:17.424022]Total energy: 16910281.785585243
[2022-04-09 22:20:53.801681]Total energy: 16913065.838860404
[2022-04-09 22:22:38.875451]Total energy: 16912297.546461236
[2022-04-09 22:24:16.215423]Total energy: 16955305.835084423
[2022-04-09 22:25:44.130342]Total energy: 16901117.842968516
[2022-04-09 22:27:13.345577]Total energy: 16903469.70774565
[2022-04-09 22:28:40.535534]Total energy: 16923027.11354598
[2022-04-09 22:30:08.002548]Total energy: 16925885.670701787
[2022-04-09 22:31:50.470763]Total energy: 16901844.017504275
[2022-04-09 22:33:24.261642]Total energy: 16918234.996807717
[2022-04-09 22:34:49.491822]Total energy: 16903395.699475616
[2022-04-09 22:36:16.111357]Total energy: 16883699.78135841
[2022-04-09 22:37:42.321347]Total energy: 16882226.008970775
[2022-04-09 22:39:08.402147]Total energy: 16914670.52425432
[2022-04-09 22:40:57.729165]Total energy: 16924733.57435451
[2022-04-09 22:42:48.007241]Total energy: 16909652.12551977
[2022-04-09 22:44:19.068075]Total energy: 16901580.814497232
[2022-04-09 22:45:45.813235]Total energy: 16944926.51114161
[2022-04-09 22:47:11.156074]Total energy: 16924702.212029662
[2022-04-09 22:48:36.545680]Total energy: 16943525.085118
[2022-04-09 22:50:00.585696]Total energy: 16903721.497243248
[2022-04-09 22:51:26.868649]Total energy: 16890955.88128474
[2022-04-09 22:52:52.422951]Total energy: 16914316.154649176
[2022-04-09 22:54:17.920183]Total energy: 16954755.74992504
[2022-04-09 22:55:45.929367]Total energy: 16906238.293498524
[2022-04-09 22:57:13.386858]Total energy: 16900257.104034357
[2022-04-09 22:58:39.351720]Total energy: 16916396.36546629
[2022-04-09 23:00:05.810900]Total energy: 16919213.785192095
[2022-04-09 23:01:38.216705]Total energy: 16921127.984532375
[2022-04-09 23:03:17.360809]Total energy: 16908074.96971649
[2022-04-09 23:04:54.305409]Total energy: 16929851.877216354
[2022-04-09 23:06:31.254458]Total energy: 16888173.41970925
[2022-04-09 23:08:02.341763]Total energy: 16921328.034466524
[2022-04-09 23:09:28.219755]Total energy: 16927223.070205864
[2022-04-09 23:10:53.481185]Total energy: 16930274.450529095
[2022-04-09 23:12:19.498675]Total energy: 16911952.37774706
[2022-04-09 23:13:45.721019]Total energy: 16900583.329094034
[2022-04-09 23:15:14.713885]Total energy: 16909742.576801304
[2022-04-09 23:16:42.764285]Total energy: 16939615.17240358
[2022-04-09 23:18:09.396802]Total energy: 16902811.21616582
[2022-04-09 23:19:36.695473]Total energy: 16943083.102085106
[2022-04-09 23:21:22.023249]Total energy: 16913609.921833977
[2022-04-09 23:23:06.888854]Total energy: 16906841.18706846
[2022-04-09 23:24:47.064483]Total energy: 16910274.391165923
[2022-04-09 23:26:21.680412]Total energy: 16885248.15004666
[2022-04-09 23:27:48.745412]Total energy: 16885056.94343376
[2022-04-09 23:29:14.085798]Total energy: 16935969.97601403
[2022-04-09 23:31:04.207301]Total energy: 16900702.26880209
[2022-04-09 23:32:54.800363]Total energy: 16899396.646822315
[2022-04-09 23:34:45.399340]Total energy: 16867187.360414144
[2022-04-09 23:36:30.615540]Total energy: 16898185.923221182
[2022-04-09 23:38:17.793565]Total energy: 16899229.874521255
[2022-04-09 23:39:51.930552]Total energy: 16925336.176952988
[2022-04-09 23:41:19.645342]Total energy: 16891730.997650817
[2022-04-09 23:42:46.443480]Total energy: 16876196.11172518
[2022-04-09 23:44:12.259970]Total energy: 16895593.585009195
[2022-04-09 23:45:37.167366]Total energy: 16958390.58318378
[2022-04-09 23:47:03.303855]Total energy: 16921813.75379638
[2022-04-09 23:48:28.983974]Total energy: 16884469.7625608
[2022-04-09 23:49:55.207703]Total energy: 16880919.303563613
[2022-04-09 23:51:39.684176]Total energy: 16882861.25007023
[2022-04-09 23:53:22.147760]Total energy: 16884987.05399733
[2022-04-09 23:54:51.973756]Total energy: 16881455.464400627
[2022-04-09 23:56:18.834147]Total energy: 16896824.277506195
[2022-04-09 23:57:45.081715]Total energy: 16915207.299990512
[2022-04-09 23:59:12.077288]Total energy: 16904018.83390308
[2022-04-10 00:01:06.646519]Total energy: 16896581.615891766
[2022-04-10 00:02:52.110203]Total energy: 16913464.263073005
[2022-04-10 00:04:33.019259]Total energy: 16852256.02862283
[2022-04-10 00:06:08.271723]Total energy: 16886639.992561735
[2022-04-10 00:07:33.708367]Total energy: 16905608.09643343
[2022-04-10 00:08:58.929934]Total energy: 16884160.653489083
[2022-04-10 00:11:02.611771]Total energy: 16895238.71182836
[2022-04-10 00:13:03.460224]Total energy: 16897130.500283703
[2022-04-10 00:14:51.884314]Total energy: 16906399.1145378
[2022-04-10 00:16:18.534792]Total energy: 16894455.020614572
[2022-04-10 00:17:46.456554]Total energy: 16887953.259913098
[2022-04-10 00:19:14.454307]Total energy: 16895671.875702526
[2022-04-10 00:21:05.627141]Total energy: 16875859.240323026
[2022-04-10 00:22:59.628428]Total energy: 16893530.327719446
[2022-04-10 00:24:36.750707]Total energy: 16919965.029600035
[2022-04-10 00:26:08.632644]Total energy: 16875117.352964517
[2022-04-10 00:27:33.971205]Total energy: 16883111.271001708
[2022-04-10 00:29:00.814635]Total energy: 16864029.37772525
[2022-04-10 00:30:27.120583]Total energy: 16902961.910987694
[2022-04-10 00:31:52.433519]Total energy: 16885533.165915888
[2022-04-10 00:33:20.311492]Total energy: 16906084.10917735
[2022-04-10 00:34:49.674192]Total energy: 16933069.21974242
[2022-04-10 00:36:15.901156]Total energy: 16928898.790551282
[2022-04-10 00:37:42.065617]Total energy: 16869480.61807134
[2022-04-10 00:39:08.195904]Total energy: 16893692.626122296
[2022-04-10 00:40:52.415126]Total energy: 16887609.49237516
[2022-04-10 00:42:46.265315]Total energy: 16943312.97503597
[2022-04-10 00:44:33.185990]Total energy: 16933753.555157874
[2022-04-10 00:46:08.859486]Total energy: 16905894.895941623
[2022-04-10 00:47:36.383412]Total energy: 16886994.829211466
[2022-04-10 00:49:02.549659]Total energy: 16876895.494700342
[2022-04-10 00:51:03.612255]Total energy: 16914203.630480517
[2022-04-10 00:52:51.812081]Total energy: 16895083.058751207
[2022-04-10 00:54:29.594917]Total energy: 16891560.91343926
[2022-04-10 00:56:12.106794]Total energy: 16910670.34426021
[2022-04-10 00:57:49.362906]Total energy: 16913130.143995654
[2022-04-10 00:59:21.139353]Total energy: 16899060.049437806
[2022-04-10 01:00:47.030046]Total energy: 16872592.570801843
[2022-04-10 01:02:15.073660]Total energy: 16863909.824407943
[2022-04-10 01:03:41.890553]Total energy: 16870306.841301564
[2022-04-10 01:05:07.527817]Total energy: 16868430.108401943
[2022-04-10 01:06:33.392179]Total energy: 16889226.719295666
[2022-04-10 01:07:59.238473]Total energy: 16881984.719016895
[2022-04-10 01:09:24.436700]Total energy: 16880324.48707827
[2022-04-10 01:11:15.800035]Total energy: 16901008.13074017
[2022-04-10 01:13:11.221216]Total energy: 16893921.685240775
[2022-04-10 01:14:56.205752]Total energy: 16847795.93174656
[2022-04-10 01:16:29.481165]Total energy: 16923036.854166113
[2022-04-10 01:17:55.033897]Total energy: 16944976.499368537
[2022-04-10 01:19:22.100816]Total energy: 16916269.411685575
[2022-04-10 01:20:47.336794]Total energy: 16899218.904645007
[2022-04-10 01:22:13.905225]Total energy: 16862537.866512205
[2022-04-10 01:23:40.517291]Total energy: 16878115.927164864
[2022-04-10 01:25:08.067255]Total energy: 16839925.150760956
[2022-04-10 01:26:33.098040]Total energy: 16871717.57698296
[2022-04-10 01:27:58.734848]Total energy: 16922651.174952395
[2022-04-10 01:29:27.211480]Total energy: 16855895.441341244
[2022-04-10 01:31:02.255412]Total energy: 16903176.193931177
[2022-04-10 01:32:49.010305]Total energy: 16908652.660012703
[2022-04-10 01:34:34.192824]Total energy: 16891848.049021073
[2022-04-10 01:36:00.209931]Total energy: 16873821.414061338
[2022-04-10 01:37:26.746622]Total energy: 16866249.129062623
[2022-04-10 01:38:57.461446]Total energy: 16884696.13540139
[2022-04-10 01:40:22.360253]Total energy: 16862504.439205036
[2022-04-10 01:42:04.651193]Total energy: 16852016.59619197
[2022-04-10 01:43:37.798887]Total energy: 16891763.011111695
[2022-04-10 01:45:04.195132]Total energy: 16877417.708027095
[2022-04-10 01:46:28.732756]Total energy: 16907792.93429431
[2022-04-10 01:47:53.767677]Total energy: 16859436.10997074
[2022-04-10 01:49:18.608375]Total energy: 16935940.47588308
[2022-04-10 01:50:44.508534]Total energy: 16911960.03301249
[2022-04-10 01:52:09.755808]Total energy: 16912594.285969857
[2022-04-10 01:53:35.197956]Total energy: 16915075.70468618
[2022-04-10 01:55:02.683182]Total energy: 16866694.39555492
[2022-04-10 01:56:29.374836]Total energy: 16859983.47387457
[2022-04-10 01:57:55.309211]Total energy: 16903786.33418505
[2022-04-10 01:59:23.613614]Total energy: 16886223.15923143
[2022-04-10 02:01:14.310791]Total energy: 16885994.405876298
[2022-04-10 02:03:09.335508]Total energy: 16895512.816184018
[2022-04-10 02:04:48.788077]Total energy: 16909532.223703083
[2022-04-10 02:06:26.594031]Total energy: 16939531.27461197
[2022-04-10 02:08:01.015047]Total energy: 16850613.913938988
[2022-04-10 02:09:28.349827]Total energy: 16850140.835662752
[2022-04-10 02:10:54.920470]Total energy: 16861755.43192434
[2022-04-10 02:12:20.572868]Total energy: 16830727.442387033
[2022-04-10 02:13:45.607504]Total energy: 16829880.61799044
[2022-04-10 02:15:09.479168]Total energy: 16861970.418186612
[2022-04-10 02:16:33.136381]Total energy: 16841815.38201742
[2022-04-10 02:17:59.051864]Total energy: 16861310.862584237
[2022-04-10 02:19:23.052878]Total energy: 16872128.950603176
[2022-04-10 02:21:28.505997]Total energy: 16825060.100627016
[2022-04-10 02:23:36.989080]Total energy: 16859394.60074898
[2022-04-10 02:25:12.371584]Total energy: 16870383.200921964
[2022-04-10 02:26:34.301148]Total energy: 16839483.018049914
[2022-04-10 02:27:58.372436]Total energy: 16834346.327694546
[2022-04-10 02:29:22.795612]Total energy: 16884263.43755889
[2022-04-10 02:30:53.638800]Total energy: 16853985.803553913
[2022-04-10 02:32:35.543022]Total energy: 16834688.111913797
[2022-04-10 02:34:17.356716]Total energy: 16859935.57798284
[2022-04-10 02:36:05.016741]Total energy: 16850255.50280124
[2022-04-10 02:37:35.967538]Total energy: 16871624.636021532
[2022-04-10 02:39:01.742520]Total energy: 16833042.577545777
[2022-04-10 02:40:26.657218]Total energy: 16839276.74947206
[2022-04-10 02:41:50.802230]Total energy: 16867433.510319676
[2022-04-10 02:43:16.255360]Total energy: 16855201.52375667
[2022-04-10 02:44:41.301977]Total energy: 16870556.551340427
[2022-04-10 02:46:05.727490]Total energy: 16840264.173015412
[2022-04-10 02:47:28.719500]Total energy: 16895449.015516885
[2022-04-10 02:48:52.697342]Total energy: 16829575.157784723
[2022-04-10 02:50:17.038573]Total energy: 16897187.409731288
[2022-04-10 02:51:50.139633]Total energy: 16860518.184739877
[2022-04-10 02:53:36.966034]Total energy: 16881231.821305886
[2022-04-10 02:55:14.111076]Total energy: 16891228.805459376
[2022-04-10 02:56:40.382834]Total energy: 16854391.2949836
[2022-04-10 02:58:05.082157]Total energy: 16852293.920615986
[2022-04-10 02:59:30.080195]Total energy: 16839148.148386374
[2022-04-10 03:01:34.654810]Total energy: 16826928.22735701
[2022-04-10 03:03:20.985805]Total energy: 16912711.380529583
[2022-04-10 03:04:55.250988]Total energy: 16874110.4616596
[2022-04-10 03:06:32.372801]Total energy: 16843669.302618697
[2022-04-10 03:08:18.196645]Total energy: 16838900.283902284
[2022-04-10 03:09:52.349391]Total energy: 16899893.37185017
[2022-04-10 03:11:18.959675]Total energy: 16880640.70819276
[2022-04-10 03:12:47.019506]Total energy: 16843829.76226318
[2022-04-10 03:14:16.933295]Total energy: 16847854.74568335
[2022-04-10 03:15:45.204187]Total energy: 16833624.123599395
[2022-04-10 03:17:12.628770]Total energy: 16853696.861726552
[2022-04-10 03:18:39.298348]Total energy: 16835857.031903356
[2022-04-10 03:20:08.162728]Total energy: 16825089.945249617
[2022-04-10 03:22:01.694221]Total energy: 16860469.066793445
[2022-04-10 03:24:02.052333]Total energy: 16825697.58458079
[2022-04-10 03:25:50.815249]Total energy: 16863841.46980859
