initial: all - diverse_all
[2022-04-07 22:58:50.049673]Total energy: 17006603.36591571
[2022-04-07 23:00:29.899850]Total energy: 17005741.537560098
[2022-04-07 23:02:01.050911]Total energy: 16975900.550367605
[2022-04-07 23:03:26.264604]Total energy: 16970999.567160767
[2022-04-07 23:04:47.570746]Total energy: 17012384.745946094
[2022-04-07 23:06:12.304857]Total energy: 16953201.71796078
[2022-04-07 23:07:35.154952]Total energy: 17063439.509972684
[2022-04-07 23:08:59.828161]Total energy: 16988866.35471982
[2022-04-07 23:10:26.527639]Total energy: 17018362.153660413
[2022-04-07 23:11:55.685868]Total energy: 16965529.531145446
[2022-04-07 23:13:23.217504]Total energy: 17003104.319493864
[2022-04-07 23:14:46.544550]Total energy: 17027577.195089426
[2022-04-07 23:16:22.332982]Total energy: 16950272.593615107
[2022-04-07 23:17:51.044613]Total energy: 16965280.13274043
[2022-04-07 23:19:14.602466]Total energy: 16952531.822927028
[2022-04-07 23:20:56.106470]Total energy: 16946321.739463516
[2022-04-07 23:22:34.872810]Total energy: 17014720.199083593
[2022-04-07 23:23:58.867353]Total energy: 16959138.994374827
[2022-04-07 23:25:20.515769]Total energy: 16966177.76213954
[2022-04-07 23:26:45.205343]Total energy: 17006896.1217755
[2022-04-07 23:28:08.328795]Total energy: 16968334.316326316
[2022-04-07 23:29:33.190208]Total energy: 16954421.112417478
[2022-04-07 23:31:03.232049]Total energy: 16996727.89012079
[2022-04-07 23:32:27.053276]Total energy: 16949008.896464154
[2022-04-07 23:33:50.656102]Total energy: 16956727.294655923
[2022-04-07 23:35:15.426867]Total energy: 16946038.049841706
[2022-04-07 23:36:40.965141]Total energy: 16949561.017682664
[2022-04-07 23:38:04.861486]Total energy: 16926357.953505103
[2022-04-07 23:39:31.856285]Total energy: 16962637.482192617
[2022-04-07 23:41:10.439465]Total energy: 16948295.999892235
[2022-04-07 23:42:40.176074]Total energy: 16958558.50039095
[2022-04-07 23:44:00.705477]Total energy: 16944326.3485283
[2022-04-07 23:45:21.930574]Total energy: 17034222.20266838
[2022-04-07 23:46:46.253659]Total energy: 16973770.09177416
[2022-04-07 23:48:07.346182]Total energy: 16937412.572075006
[2022-04-07 23:49:32.567967]Total energy: 16943156.31784444
[2022-04-07 23:51:11.254782]Total energy: 16946354.365045853
[2022-04-07 23:52:50.267201]Total energy: 16907535.42595591
[2022-04-07 23:54:21.065168]Total energy: 16954139.83037191
[2022-04-07 23:55:43.979458]Total energy: 16969071.24628626
[2022-04-07 23:57:04.977438]Total energy: 16908465.969601117
[2022-04-07 23:58:24.618678]Total energy: 16948312.040370736
[2022-04-07 23:59:47.612562]Total energy: 16954474.646619916
[2022-04-08 00:01:11.578497]Total energy: 16975464.462274924
[2022-04-08 00:02:34.695406]Total energy: 16977755.72599163
[2022-04-08 00:03:56.846092]Total energy: 17011324.65450773
[2022-04-08 00:05:31.434864]Total energy: 16938402.539319538
[2022-04-08 00:06:54.082038]Total energy: 16952528.017484844
[2022-04-08 00:08:16.861374]Total energy: 16946695.666003328
[2022-04-08 00:09:37.279077]Total energy: 16964457.207294613
[2022-04-08 00:11:04.850597]Total energy: 16957221.930909045
[2022-04-08 00:12:29.084953]Total energy: 16961745.44464694
[2022-04-08 00:13:48.735695]Total energy: 16947070.50890189
[2022-04-08 00:15:10.284412]Total energy: 16976977.372755706
[2022-04-08 00:16:31.375799]Total energy: 16963886.428955395
[2022-04-08 00:17:54.069781]Total energy: 16980931.81214215
[2022-04-08 00:19:17.711057]Total energy: 16967359.11272572
[2022-04-08 00:20:47.359709]Total energy: 16975468.092054714
[2022-04-08 00:22:10.112973]Total energy: 16964969.1359261
[2022-04-08 00:23:31.816078]Total energy: 16953942.97331903
[2022-04-08 00:24:55.122277]Total energy: 16929415.364286523
[2022-04-08 00:26:17.190800]Total energy: 16948820.14800757
[2022-04-08 00:27:37.669452]Total energy: 16969660.256642673
[2022-04-08 00:28:58.264409]Total energy: 16976815.648097698
[2022-04-08 00:30:20.760867]Total energy: 16934998.500808418
[2022-04-08 00:31:51.300982]Total energy: 16985822.506406553
[2022-04-08 00:33:13.430109]Total energy: 16969280.01012326
[2022-04-08 00:34:35.465853]Total energy: 16895362.385628894
[2022-04-08 00:35:58.171971]Total energy: 16931891.556593496
[2022-04-08 00:37:19.872209]Total energy: 16948829.016697515
[2022-04-08 00:38:40.225046]Total energy: 16957194.52960697
[2022-04-08 00:39:58.798199]Total energy: 16974489.677536745
[2022-04-08 00:41:24.237240]Total energy: 16950122.88989443
[2022-04-08 00:42:46.525568]Total energy: 16913562.927994024
[2022-04-08 00:44:10.042617]Total energy: 16911923.094757736
[2022-04-08 00:45:31.568937]Total energy: 16898714.16895684
[2022-04-08 00:46:52.666114]Total energy: 16962374.299322072
[2022-04-08 00:48:12.487892]Total energy: 16954239.268908467
[2022-04-08 00:49:32.122217]Total energy: 16979051.28514833
[2022-04-08 00:50:58.540354]Total energy: 16929826.92055409
[2022-04-08 00:52:25.179511]Total energy: 16960430.15587167
[2022-04-08 00:53:48.566380]Total energy: 16951702.918577667
[2022-04-08 00:55:09.072691]Total energy: 16941148.68116413
[2022-04-08 00:56:31.338428]Total energy: 16955172.43219
[2022-04-08 00:57:52.350879]Total energy: 16960186.9541847
[2022-04-08 00:59:14.089034]Total energy: 16969879.685210064
[2022-04-08 01:00:35.697694]Total energy: 16986325.433874372
[2022-04-08 01:02:01.824664]Total energy: 16978195.08287129
[2022-04-08 01:03:19.612575]Total energy: 16972249.870908372
[2022-04-08 01:04:36.334973]Total energy: 16991422.2088178
[2022-04-08 01:05:56.105866]Total energy: 16984648.94023801
[2022-04-08 01:07:15.839942]Total energy: 16985700.50156665
[2022-04-08 01:08:35.767803]Total energy: 16932333.952576492
[2022-04-08 01:09:57.950397]Total energy: 16949197.47454591
[2022-04-08 01:11:23.671678]Total energy: 16955262.779588807
[2022-04-08 01:12:50.056223]Total energy: 16879774.80092935
[2022-04-08 01:14:17.721640]Total energy: 16960297.70047095
[2022-04-08 01:15:42.655594]Total energy: 16969521.74437363
[2022-04-08 01:17:04.543307]Total energy: 16992668.685892086
[2022-04-08 01:18:29.821209]Total energy: 16983467.20805675
[2022-04-08 01:19:54.271564]Total energy: 16980669.719496664
[2022-04-08 01:21:27.955121]Total energy: 16960389.538836997
[2022-04-08 01:22:59.745135]Total energy: 16964735.89134449
[2022-04-08 01:24:25.546489]Total energy: 16986779.379119743
[2022-04-08 01:25:47.105993]Total energy: 16968312.030931592
[2022-04-08 01:27:09.907917]Total energy: 16942937.259286243
[2022-04-08 01:28:32.961193]Total energy: 16931260.311818127
[2022-04-08 01:29:50.616762]Total energy: 16958388.492047805
[2022-04-08 01:31:12.656534]Total energy: 16964023.550948624
[2022-04-08 01:32:34.345100]Total energy: 16946019.5293394
[2022-04-08 01:33:56.908798]Total energy: 16943938.053372417
[2022-04-08 01:35:20.833128]Total energy: 16944541.701144557
[2022-04-08 01:36:55.120148]Total energy: 16950580.619673967
[2022-04-08 01:38:18.259805]Total energy: 16935635.265680928
[2022-04-08 01:39:37.616209]Total energy: 16978022.426476177
[2022-04-08 01:41:06.441003]Total energy: 16957253.935594972
[2022-04-08 01:42:42.575016]Total energy: 17029629.8222071
[2022-04-08 01:44:04.371338]Total energy: 16919266.97280214
[2022-04-08 01:45:24.483079]Total energy: 16985083.605235226
[2022-04-08 01:46:49.213370]Total energy: 16975097.698999126
[2022-04-08 01:48:15.085122]Total energy: 16970361.584980905
[2022-04-08 01:49:41.154279]Total energy: 16969309.151224133
[2022-04-08 01:51:12.860565]Total energy: 16946915.49316539
[2022-04-08 01:52:48.986182]Total energy: 16939082.00902435
[2022-04-08 01:54:16.040363]Total energy: 16944883.553228512
[2022-04-08 01:55:42.928661]Total energy: 16921268.477283426
[2022-04-08 01:57:07.015283]Total energy: 16953045.64309354
[2022-04-08 01:58:27.630040]Total energy: 16950323.74773224
[2022-04-08 01:59:48.618463]Total energy: 16902718.092160333
[2022-04-08 02:01:34.762210]Total energy: 16938720.040849958
[2022-04-08 02:03:05.561178]Total energy: 16928699.97028191
[2022-04-08 02:04:30.683805]Total energy: 16923468.422706015
[2022-04-08 02:05:56.413813]Total energy: 16941636.99587121
[2022-04-08 02:07:16.580858]Total energy: 16914755.24059967
[2022-04-08 02:08:39.608319]Total energy: 16909218.13809074
[2022-04-08 02:09:57.843353]Total energy: 16957457.191279117
[2022-04-08 02:11:23.529894]Total energy: 16950745.925857764
[2022-04-08 02:12:46.468476]Total energy: 16939655.46986115
[2022-04-08 02:14:04.150639]Total energy: 16932471.991283383
[2022-04-08 02:15:23.068795]Total energy: 16869686.55660007
[2022-04-08 02:16:42.777172]Total energy: 16940266.13294101
[2022-04-08 02:18:05.547357]Total energy: 16913552.6483197
[2022-04-08 02:19:29.411030]Total energy: 16944036.37130013
[2022-04-08 02:21:14.105496]Total energy: 16972027.634184193
[2022-04-08 02:23:02.772152]Total energy: 16934313.334988605
[2022-04-08 02:24:25.344065]Total energy: 16936205.478747107
[2022-04-08 02:26:02.690465]Total energy: 16911984.77634317
[2022-04-08 02:27:26.889559]Total energy: 16929514.010130383
[2022-04-08 02:28:46.360243]Total energy: 16921570.61731362
[2022-04-08 02:30:07.571881]Total energy: 16878633.79333584
[2022-04-08 02:31:33.669448]Total energy: 16910438.73750319
[2022-04-08 02:32:58.626490]Total energy: 16870530.282787018
[2022-04-08 02:34:25.181272]Total energy: 16917855.67468577
[2022-04-08 02:35:51.607534]Total energy: 16922723.31101837
[2022-04-08 02:37:15.805055]Total energy: 16914446.738810185
[2022-04-08 02:38:38.967002]Total energy: 16945273.93118806
[2022-04-08 02:40:03.431673]Total energy: 16916294.664564736
[2022-04-08 02:41:37.968479]Total energy: 16916393.440049723
[2022-04-08 02:43:14.559881]Total energy: 16910180.834481098
[2022-04-08 02:44:41.962483]Total energy: 16902906.477424737
[2022-04-08 02:46:10.339781]Total energy: 16918025.052008376
[2022-04-08 02:47:35.678555]Total energy: 16892125.16596759
[2022-04-08 02:49:00.184346]Total energy: 16932488.10577747
[2022-04-08 02:50:38.775412]Total energy: 16910373.45645624
[2022-04-08 02:52:05.867640]Total energy: 16918230.022803914
[2022-04-08 02:53:30.197244]Total energy: 16921643.92501881
[2022-04-08 02:54:56.052528]Total energy: 16873168.426613647
[2022-04-08 02:56:19.039049]Total energy: 16914839.45644371
[2022-04-08 02:57:39.490409]Total energy: 16929841.670475464
[2022-04-08 02:58:58.434259]Total energy: 16903366.71021597
[2022-04-08 03:00:25.697185]Total energy: 16932750.069162972
[2022-04-08 03:02:05.953723]Total energy: 16924705.758160688
[2022-04-08 03:03:35.834224]Total energy: 16922520.31770566
[2022-04-08 03:04:59.367986]Total energy: 16933153.602988124
[2022-04-08 03:06:19.581544]Total energy: 16927379.424595803
[2022-04-08 03:07:39.394061]Total energy: 16946238.51331704
[2022-04-08 03:09:00.759429]Total energy: 16937137.062704675
[2022-04-08 03:10:43.641690]Total energy: 16911684.045045026
[2022-04-08 03:12:05.992446]Total energy: 16881693.463862013
[2022-04-08 03:13:26.233720]Total energy: 16892996.78486064
[2022-04-08 03:14:43.833856]Total energy: 16938573.1220095
[2022-04-08 03:16:03.862068]Total energy: 16939403.943695735
[2022-04-08 03:17:25.353417]Total energy: 16937598.04657
[2022-04-08 03:18:46.365747]Total energy: 16916611.234462317
[2022-04-08 03:20:09.025250]Total energy: 16896575.12823465
[2022-04-08 03:21:37.421879]Total energy: 16942813.06322731
[2022-04-08 03:23:07.464949]Total energy: 16914103.714489676
[2022-04-08 03:24:40.212165]Total energy: 16916797.50304398
[2022-04-08 03:26:01.146398]Total energy: 16922024.30650778
[2022-04-08 03:27:22.967519]Total energy: 16930832.903491415
[2022-04-08 03:28:40.480744]Total energy: 16911995.81962928
[2022-04-08 03:29:56.744944]Total energy: 16915180.2161281
[2022-04-08 03:31:25.876245]Total energy: 16891094.859767083
[2022-04-08 03:32:54.469271]Total energy: 16948158.093750935
[2022-04-08 03:34:15.326512]Total energy: 16871691.673421152
[2022-04-08 03:35:37.839205]Total energy: 16924996.32640924
[2022-04-08 03:36:57.213480]Total energy: 16891244.965888657
[2022-04-08 03:38:15.519005]Total energy: 16906307.616198275
[2022-04-08 03:39:34.004326]Total energy: 16920005.130908843
[2022-04-08 03:40:55.470988]Total energy: 16933267.964378532
[2022-04-08 03:42:14.964100]Total energy: 16889027.270352177
[2022-04-08 03:43:37.032231]Total energy: 16932559.203649923
[2022-04-08 03:44:54.974118]Total energy: 16904491.56185227
[2022-04-08 03:46:13.866876]Total energy: 16922404.132615875
[2022-04-08 03:47:31.749378]Total energy: 16909593.45698228
[2022-04-08 03:48:48.755956]Total energy: 16889450.91481534
[2022-04-08 03:50:06.154769]Total energy: 16930224.401226312
[2022-04-08 03:51:20.288200]Total energy: 16916751.94471444
[2022-04-08 03:52:35.056121]Total energy: 16911434.507051278
[2022-04-08 03:53:52.373488]Total energy: 16876110.739160664
[2022-04-08 03:55:13.268073]Total energy: 16893184.02459449
[2022-04-08 03:56:39.752210]Total energy: 16882159.409824505
[2022-04-08 03:57:54.293602]Total energy: 16922254.82170469
[2022-04-08 03:59:16.066778]Total energy: 16881933.303831257
[2022-04-08 04:00:41.059654]Total energy: 16931102.90940299
[2022-04-08 04:02:09.524908]Total energy: 16920335.164280456
[2022-04-08 04:03:31.269313]Total energy: 16890648.82505439
[2022-04-08 04:04:50.726061]Total energy: 16904075.907745045
[2022-04-08 04:06:09.564001]Total energy: 16902295.063324355
[2022-04-08 04:07:23.581701]Total energy: 16934493.303337123
[2022-04-08 04:08:41.673110]Total energy: 16923101.496442348
[2022-04-08 04:09:58.244633]Total energy: 16925303.31519729
[2022-04-08 04:11:25.746236]Total energy: 16945854.551300153
[2022-04-08 04:12:45.935106]Total energy: 16910765.746256575
[2022-04-08 04:14:04.830575]Total energy: 16890452.086231098
[2022-04-08 04:15:23.413138]Total energy: 16906242.656403527
[2022-04-08 04:16:38.254029]Total energy: 16912288.272427738
[2022-04-08 04:17:53.664908]Total energy: 16891557.434704065
[2022-04-08 04:19:13.378196]Total energy: 16891695.815463915
[2022-04-08 04:20:31.248852]Total energy: 16874948.530766588
[2022-04-08 04:21:52.075523]Total energy: 16878376.102234825
[2022-04-08 04:23:15.355661]Total energy: 16891018.903967034
[2022-04-08 04:24:42.631654]Total energy: 16894654.377361055
[2022-04-08 04:26:03.337745]Total energy: 16912491.196528874
[2022-04-08 04:27:22.186784]Total energy: 16870553.566120714
[2022-04-08 04:28:48.991265]Total energy: 16875447.1936274
[2022-04-08 04:30:08.934325]Total energy: 16894775.15890888
[2022-04-08 04:31:38.767361]Total energy: 16876482.974783618
[2022-04-08 04:33:04.245164]Total energy: 16867446.61174218
[2022-04-08 04:34:27.704565]Total energy: 16907472.936520178
[2022-04-08 04:35:52.606651]Total energy: 16858058.46438367
[2022-04-08 04:37:15.120599]Total energy: 16848862.259611875
[2022-04-08 04:38:39.975033]Total energy: 16801342.260426622
[2022-04-08 04:40:03.816715]Total energy: 16770650.576762807
[2022-04-08 04:41:31.853364]Total energy: 16832684.773218542
[2022-04-08 04:43:06.808502]Total energy: 16796675.499580104
[2022-04-08 04:44:34.300254]Total energy: 16779168.179161657
[2022-04-08 04:46:07.908625]Total energy: 16811405.108053647
[2022-04-08 04:47:30.997579]Total energy: 16844614.67289706
[2022-04-08 04:48:59.791438]Total energy: 16832761.092938937
[2022-04-08 04:50:26.779481]Total energy: 16810461.124449104
[2022-04-08 04:52:20.024372]Total energy: 16787653.552147504
[2022-04-08 04:53:53.228999]Total energy: 16790395.249079034
[2022-04-08 04:55:18.871574]Total energy: 16829064.326374635
[2022-04-08 04:56:44.096325]Total energy: 16781164.246744383
[2022-04-08 04:58:08.635426]Total energy: 16816651.234500326
[2022-04-08 04:59:31.821473]Total energy: 16804331.48891994
[2022-04-08 05:00:56.468477]Total energy: 16809730.794307817
[2022-04-08 05:02:17.982105]Total energy: 16788884.062983837
[2022-04-08 05:03:37.899496]Total energy: 16819772.01205194
[2022-04-08 05:04:59.507207]Total energy: 16801558.69397855
[2022-04-08 05:06:24.477166]Total energy: 16806929.339949418
[2022-04-08 05:07:48.707262]Total energy: 16799849.473893907
[2022-04-08 05:09:16.104434]Total energy: 16809514.54108964
[2022-04-08 05:10:58.105486]Total energy: 16783564.331755243
[2022-04-08 05:12:37.119814]Total energy: 16822674.345957696
[2022-04-08 05:14:02.705474]Total energy: 16820769.421270486
[2022-04-08 05:15:25.713450]Total energy: 16846845.647034537
[2022-04-08 05:16:48.910099]Total energy: 16780788.29002751
[2022-04-08 05:18:12.720160]Total energy: 16786100.873315338
[2022-04-08 05:19:36.588948]Total energy: 16792148.939076252
[2022-04-08 05:21:00.919192]Total energy: 16787760.464312688
[2022-04-08 05:22:23.511064]Total energy: 16802170.27282042
[2022-04-08 05:23:50.046043]Total energy: 16817971.3231345
[2022-04-08 05:25:15.052244]Total energy: 16812976.090320174
[2022-04-08 05:26:38.811106]Total energy: 16799293.81861693
[2022-04-08 05:28:00.673530]Total energy: 16796368.811525807
[2022-04-08 05:29:22.796622]Total energy: 16818258.092615113
[2022-04-08 05:30:58.727030]Total energy: 16828098.066042904
[2022-04-08 05:32:34.016723]Total energy: 16788556.62761853
[2022-04-08 05:33:57.572129]Total energy: 16817221.867757197
[2022-04-08 05:35:28.287866]Total energy: 16810877.203236207
[2022-04-08 05:36:52.658189]Total energy: 16796673.30780213
[2022-04-08 05:38:21.114720]Total energy: 16796598.171458628
[2022-04-08 05:39:43.009142]Total energy: 16810433.842201747
[2022-04-08 05:41:16.154292]Total energy: 16779805.564778127
[2022-04-08 05:42:54.017368]Total energy: 16833287.754516173
[2022-04-08 05:44:29.056082]Total energy: 16796510.997121535
[2022-04-08 05:45:57.157876]Total energy: 16822939.145769708
[2022-04-08 05:47:25.679248]Total energy: 16829004.838410117
[2022-04-08 05:48:50.019464]Total energy: 16810419.69673899
[2022-04-08 05:50:13.936052]Total energy: 16806705.512795415
[2022-04-08 05:51:36.535079]Total energy: 16789779.965826314
[2022-04-08 05:52:58.943874]Total energy: 16820724.222495455
[2022-04-08 05:54:24.462433]Total energy: 16810867.57140503
[2022-04-08 05:55:47.697659]Total energy: 16808490.875310775
[2022-04-08 05:57:07.385885]Total energy: 16805242.281390518
[2022-04-08 05:58:27.875458]Total energy: 16835047.390256952
[2022-04-08 05:59:51.553284]Total energy: 16830573.21670437
[2022-04-08 06:01:17.012322]Total energy: 16777901.888247553
[2022-04-08 06:02:44.264310]Total energy: 16812624.767576214
[2022-04-08 06:04:06.991219]Total energy: 16780710.60821606
[2022-04-08 06:05:30.269473]Total energy: 16829537.13509907
[2022-04-08 06:06:51.718346]Total energy: 16813308.98456027
[2022-04-08 06:08:18.591020]Total energy: 16815083.99891068
[2022-04-08 06:09:44.787152]Total energy: 16841983.884360507
[2022-04-08 06:11:12.710261]Total energy: 16802766.338756286
[2022-04-08 06:12:36.723751]Total energy: 16803953.26574458
[2022-04-08 06:13:56.689081]Total energy: 16820003.69521953
[2022-04-08 06:15:33.996521]Total energy: 16796515.30946996
[2022-04-08 06:17:00.367052]Total energy: 16838115.227095705
[2022-04-08 06:18:22.855240]Total energy: 16789074.999186523
[2022-04-08 06:19:51.990475]Total energy: 16798605.752719216
[2022-04-08 06:21:23.346184]Total energy: 16780552.57412561
[2022-04-08 06:22:47.844681]Total energy: 16796358.15497128
[2022-04-08 06:25:01.458062]Total energy: 16818590.521071337
[2022-04-08 06:26:29.301649]Total energy: 16807672.205453712
[2022-04-08 06:27:49.144590]Total energy: 16794740.890847724
[2022-04-08 06:29:10.833774]Total energy: 16784960.17291782
[2022-04-08 06:30:30.897616]Total energy: 16799339.620400757
[2022-04-08 06:31:54.316079]Total energy: 16826322.923637215
[2022-04-08 06:33:15.918279]Total energy: 16826570.825015716
[2022-04-08 06:34:37.931682]Total energy: 16789857.620455287
[2022-04-08 06:36:04.159268]Total energy: 16789509.067887794
[2022-04-08 06:37:28.839936]Total energy: 16774465.516845224
[2022-04-08 06:38:53.693981]Total energy: 16762767.874514865
[2022-04-08 06:40:16.373475]Total energy: 16726920.503776217
[2022-04-08 06:41:41.204206]Total energy: 16735629.181215012
[2022-04-08 06:43:02.516021]Total energy: 16697211.517252577
[2022-04-08 06:44:24.126649]Total energy: 16754367.405419659
[2022-04-08 06:45:44.772867]Total energy: 16752107.04376582
[2022-04-08 06:47:09.333634]Total energy: 16746784.9643752
[2022-04-08 06:48:36.250080]Total energy: 16741830.827351382
[2022-04-08 06:49:59.318524]Total energy: 16748220.614476042
[2022-04-08 06:51:34.202404]Total energy: 16748973.205593072
[2022-04-08 06:53:05.212103]Total energy: 16712972.762974596
[2022-04-08 06:54:39.184535]Total energy: 16779689.430551976
[2022-04-08 06:56:17.947616]Total energy: 16748043.038528074
[2022-04-08 06:57:46.681080]Total energy: 16731288.312843831
[2022-04-08 06:59:10.200536]Total energy: 16730814.207563132
[2022-04-08 07:00:52.999775]Total energy: 16751942.760120599
[2022-04-08 07:02:37.781978]Total energy: 16754919.695793038
[2022-04-08 07:04:06.316709]Total energy: 16759712.469463842
[2022-04-08 07:05:41.878308]Total energy: 16753379.683493678
[2022-04-08 07:07:04.584542]Total energy: 16767563.251626115
[2022-04-08 07:08:29.283778]Total energy: 16723034.431262692
[2022-04-08 07:09:50.964330]Total energy: 16709539.49021843
[2022-04-08 07:11:11.676253]Total energy: 16738604.433950149
[2022-04-08 07:12:36.648490]Total energy: 16781784.352041993
[2022-04-08 07:13:59.932572]Total energy: 16776773.198729256
[2022-04-08 07:15:24.988369]Total energy: 16747741.832976278
[2022-04-08 07:16:51.651141]Total energy: 16777037.403710118
[2022-04-08 07:18:14.592177]Total energy: 16699372.116517682
[2022-04-08 07:19:37.006902]Total energy: 16728304.74850968
[2022-04-08 07:21:07.132243]Total energy: 16749197.734741954
[2022-04-08 07:22:40.897710]Total energy: 16748204.212600328
[2022-04-08 07:24:03.000335]Total energy: 16755392.75097386
[2022-04-08 07:25:29.912352]Total energy: 16757735.893308308
[2022-04-08 07:26:56.071833]Total energy: 16736959.488718629
[2022-04-08 07:28:19.528707]Total energy: 16712012.220358426
[2022-04-08 07:29:41.711546]Total energy: 16741572.322476324
[2022-04-08 07:31:15.382971]Total energy: 16753996.825082807
[2022-04-08 07:32:51.246959]Total energy: 16739386.523381962
[2022-04-08 07:34:18.783895]Total energy: 16741034.329367956
[2022-04-08 07:35:43.388589]Total energy: 16743016.587521497
[2022-04-08 07:37:01.817070]Total energy: 16729800.446291657
[2022-04-08 07:38:22.938880]Total energy: 16745581.247244645
[2022-04-08 07:39:46.305784]Total energy: 16768169.208614694
[2022-04-08 07:41:18.024249]Total energy: 16767288.907746604
[2022-04-08 07:42:43.407545]Total energy: 16724695.933912331
[2022-04-08 07:44:07.472233]Total energy: 16761183.899896437
[2022-04-08 07:45:31.272590]Total energy: 16738544.502765557
[2022-04-08 07:46:54.436138]Total energy: 16763372.688317904
