initial: all - optimal_only_all
[2022-04-07 21:10:22.223010]Total energy: 31836307.230947193
[2022-04-07 21:11:13.345883]Total energy: 31639592.947506454
[2022-04-07 21:12:03.761581]Total energy: 31599694.856824204
[2022-04-07 21:12:54.295234]Total energy: 31843196.284586333
[2022-04-07 21:13:47.914087]Total energy: 31632924.868253954
[2022-04-07 21:14:39.619249]Total energy: 31573636.10927304
[2022-04-07 21:15:30.396462]Total energy: 31724358.613741726
[2022-04-07 21:16:23.010347]Total energy: 31658563.24835165
[2022-04-07 21:17:14.084959]Total energy: 31749442.481159355
[2022-04-07 21:18:04.651789]Total energy: 31761154.15080937
[2022-04-07 21:18:56.005548]Total energy: 31670213.40953891
[2022-04-07 21:19:49.013852]Total energy: 31642650.09525214
[2022-04-07 21:20:44.823510]Total energy: 31832466.482707314
[2022-04-07 21:21:36.502862]Total energy: 31677018.977677356
[2022-04-07 21:22:31.412595]Total energy: 31650794.07230394
[2022-04-07 21:23:25.347581]Total energy: 31658486.47380594
[2022-04-07 21:24:16.646051]Total energy: 31790091.061056174
[2022-04-07 21:25:06.497906]Total energy: 31649098.774772346
[2022-04-07 21:25:56.772638]Total energy: 31661137.990682647
[2022-04-07 21:26:48.690527]Total energy: 31720254.101045277
[2022-04-07 21:27:39.458806]Total energy: 31771341.482523676
[2022-04-07 21:28:31.384011]Total energy: 31645929.29350631
[2022-04-07 21:29:22.119578]Total energy: 31641008.007306416
[2022-04-07 21:30:13.675162]Total energy: 31682191.749479383
[2022-04-07 21:31:04.481703]Total energy: 31604302.756543197
[2022-04-07 21:31:55.306551]Total energy: 31814521.777598973
[2022-04-07 21:32:45.991377]Total energy: 31756428.612484977
[2022-04-07 21:33:36.732939]Total energy: 31584001.167375345
[2022-04-07 21:34:27.668021]Total energy: 31719193.800110713
[2022-04-07 21:35:17.925491]Total energy: 31621066.739961885
[2022-04-07 21:36:10.169058]Total energy: 31676472.34716196
[2022-04-07 21:37:01.248648]Total energy: 31712898.93392992
[2022-04-07 21:37:51.790025]Total energy: 31817035.464956675
[2022-04-07 21:38:42.248025]Total energy: 31769676.60953696
[2022-04-07 21:39:35.631984]Total energy: 31523520.587554295
[2022-04-07 21:40:29.312076]Total energy: 31394456.72792065
[2022-04-07 21:41:20.356506]Total energy: 31254951.979173668
[2022-04-07 21:42:11.536132]Total energy: 31155113.827909295
[2022-04-07 21:43:03.221143]Total energy: 31190774.32441292
[2022-04-07 21:43:53.594875]Total energy: 31021981.549211614
[2022-04-07 21:44:45.069809]Total energy: 31171753.012521334
[2022-04-07 21:45:36.830885]Total energy: 31231901.049958415
[2022-04-07 21:46:36.236945]Total energy: 31183704.367352553
[2022-04-07 21:47:27.138689]Total energy: 31060099.168037657
[2022-04-07 21:48:18.054269]Total energy: 31155987.628865883
[2022-04-07 21:49:08.993774]Total energy: 31224233.862263415
[2022-04-07 21:49:59.347180]Total energy: 31059367.511482805
[2022-04-07 21:50:59.591796]Total energy: 31106703.44178564
[2022-04-07 21:51:52.179710]Total energy: 31041945.934809282
[2022-04-07 21:52:42.450191]Total energy: 31145563.60830372
[2022-04-07 21:53:33.315280]Total energy: 31094304.67482345
[2022-04-07 21:54:23.911252]Total energy: 31079673.11027352
[2022-04-07 21:55:14.867506]Total energy: 31231540.59555226
[2022-04-07 21:56:05.599380]Total energy: 31219187.88453077
[2022-04-07 21:56:57.938859]Total energy: 31071241.81865249
[2022-04-07 21:57:48.769673]Total energy: 31053277.70859954
[2022-04-07 21:58:39.944287]Total energy: 31147319.045066055
[2022-04-07 21:59:30.438675]Total energy: 31064449.35239869
[2022-04-07 22:00:22.060486]Total energy: 31208592.638242338
[2022-04-07 22:01:22.156982]Total energy: 31220228.555149123
[2022-04-07 22:02:17.194155]Total energy: 31193159.15557485
[2022-04-07 22:03:08.177836]Total energy: 30965346.37202509
[2022-04-07 22:03:59.030128]Total energy: 31186579.366040662
[2022-04-07 22:04:48.863990]Total energy: 31261942.55321466
[2022-04-07 22:05:39.507859]Total energy: 31293395.62890141
[2022-04-07 22:06:30.381273]Total energy: 31312865.8617004
[2022-04-07 22:07:21.404419]Total energy: 31370248.979111742
[2022-04-07 22:08:12.175533]Total energy: 31420377.136533614
[2022-04-07 22:09:02.945107]Total energy: 31339993.183106985
[2022-04-07 22:09:53.824114]Total energy: 31400317.252556607
[2022-04-07 22:11:04.217635]Total energy: 31225745.48097291
[2022-04-07 22:12:03.223292]Total energy: 31405530.888949864
[2022-04-07 22:12:54.376846]Total energy: 31234769.919670507
[2022-04-07 22:13:45.362115]Total energy: 31289172.4931577
[2022-04-07 22:14:35.862694]Total energy: 31274910.599965993
[2022-04-07 22:15:26.849697]Total energy: 31325034.222144067
[2022-04-07 22:16:17.066285]Total energy: 31248849.14183435
[2022-04-07 22:17:08.046462]Total energy: 31430415.58746862
[2022-04-07 22:17:59.184651]Total energy: 31258641.99118223
[2022-04-07 22:18:50.548328]Total energy: 31178630.59489174
[2022-04-07 22:19:41.812927]Total energy: 31247892.640708342
[2022-04-07 22:20:52.553376]Total energy: 31395271.516136777
[2022-04-07 22:21:48.357839]Total energy: 31244211.79152013
[2022-04-07 22:22:39.077244]Total energy: 31303366.554987032
[2022-04-07 22:23:29.402894]Total energy: 31271420.145384043
[2022-04-07 22:24:20.897494]Total energy: 31246979.633796014
[2022-04-07 22:25:11.837782]Total energy: 31350571.703709405
[2022-04-07 22:26:02.772869]Total energy: 31343646.542883825
[2022-04-07 22:26:53.765199]Total energy: 31261372.116551634
[2022-04-07 22:27:44.687345]Total energy: 31205915.360499937
[2022-04-07 22:28:35.631636]Total energy: 31282651.2976396
[2022-04-07 22:29:27.211843]Total energy: 31318072.017692607
[2022-04-07 22:30:19.922231]Total energy: 31229529.53459833
[2022-04-07 22:31:29.308641]Total energy: 31354704.387005977
[2022-04-07 22:32:27.130875]Total energy: 31375077.602644745
[2022-04-07 22:33:20.650718]Total energy: 31283401.739967093
[2022-04-07 22:34:12.065270]Total energy: 31332611.744832028
[2022-04-07 22:35:02.424436]Total energy: 31251954.443387408
[2022-04-07 22:35:53.614395]Total energy: 31305453.46585514
[2022-04-07 22:36:44.348966]Total energy: 31359541.294468824
[2022-04-07 22:37:35.177739]Total energy: 31271661.25961289
[2022-04-07 22:38:26.247698]Total energy: 31345701.796564754
[2022-04-07 22:39:18.400305]Total energy: 31224716.866153393
[2022-04-07 22:40:10.923732]Total energy: 31181437.29490587
[2022-04-07 22:41:21.729839]Total energy: 31349084.997537035
[2022-04-07 22:42:17.816456]Total energy: 31204740.556793123
[2022-04-07 22:43:08.442750]Total energy: 31342947.675527073
[2022-04-07 22:43:59.262248]Total energy: 31216823.364554446
[2022-04-07 22:44:50.200365]Total energy: 31322283.64219993
[2022-04-07 22:45:41.849792]Total energy: 31251905.558365833
[2022-04-07 22:46:32.905323]Total energy: 31282076.69766654
[2022-04-07 22:47:23.818836]Total energy: 31285497.184089612
[2022-04-07 22:48:14.015265]Total energy: 31281495.58579891
[2022-04-07 22:49:05.081013]Total energy: 31342587.743708618
[2022-04-07 22:49:56.079912]Total energy: 31246832.649973158
[2022-04-07 22:50:58.686155]Total energy: 31301958.369421244
[2022-04-07 22:51:59.795285]Total energy: 31224879.036005255
[2022-04-07 22:52:53.812881]Total energy: 31322081.469924282
[2022-04-07 22:53:43.861460]Total energy: 31298404.765715368
[2022-04-07 22:54:35.033590]Total energy: 31335723.423603073
[2022-04-07 22:55:26.579105]Total energy: 31353963.6795275
[2022-04-07 22:56:18.502698]Total energy: 31272755.581833094
[2022-04-07 22:57:10.117370]Total energy: 31280888.032251626
[2022-04-07 22:58:01.333671]Total energy: 31312286.75751098
[2022-04-07 22:58:51.904247]Total energy: 31456204.923644576
[2022-04-07 22:59:51.558631]Total energy: 31265624.111776203
[2022-04-07 23:01:03.476560]Total energy: 31219654.745659877
[2022-04-07 23:02:10.877267]Total energy: 31381065.881573528
[2022-04-07 23:03:02.770883]Total energy: 31369365.25256273
[2022-04-07 23:03:53.757855]Total energy: 31280987.785082012
[2022-04-07 23:04:44.093532]Total energy: 31370585.02552543
[2022-04-07 23:05:34.577149]Total energy: 31268052.783182226
[2022-04-07 23:06:26.614229]Total energy: 31320926.746869918
[2022-04-07 23:07:16.220190]Total energy: 31266774.922870543
[2022-04-07 23:08:06.908575]Total energy: 31076848.2349684
[2022-04-07 23:08:58.404203]Total energy: 31198568.498278223
[2022-04-07 23:09:49.926245]Total energy: 31362802.692268956
[2022-04-07 23:11:04.145279]Total energy: 31158264.725443397
[2022-04-07 23:12:10.965643]Total energy: 31173666.60482849
[2022-04-07 23:13:01.261929]Total energy: 31013347.620324694
[2022-04-07 23:13:52.685429]Total energy: 31058784.834421054
[2022-04-07 23:14:43.550976]Total energy: 31113223.95105722
[2022-04-07 23:15:35.675704]Total energy: 31214758.082886826
[2022-04-07 23:16:42.536590]Total energy: 31040461.804792613
[2022-04-07 23:17:33.155572]Total energy: 31323124.361094046
[2022-04-07 23:18:23.716567]Total energy: 31112006.70751253
[2022-04-07 23:19:15.138561]Total energy: 31149071.76008854
[2022-04-07 23:20:08.727031]Total energy: 31104759.48194313
[2022-04-07 23:21:11.110457]Total energy: 31157469.376548216
[2022-04-07 23:22:14.661195]Total energy: 31190579.786352307
[2022-04-07 23:23:14.709654]Total energy: 31193194.618180767
[2022-04-07 23:24:06.431927]Total energy: 31037587.359668277
[2022-04-07 23:24:57.693167]Total energy: 31037617.117074057
[2022-04-07 23:25:48.424171]Total energy: 31177668.445754193
[2022-04-07 23:26:41.665853]Total energy: 31132400.301570117
[2022-04-07 23:27:32.201128]Total energy: 31201092.323593765
[2022-04-07 23:28:23.776144]Total energy: 31227128.400073204
[2022-04-07 23:29:14.896089]Total energy: 31147581.943112157
[2022-04-07 23:30:09.317891]Total energy: 31089175.405483816
[2022-04-07 23:31:25.650178]Total energy: 31106934.36128366
[2022-04-07 23:32:26.201189]Total energy: 31140582.625412155
[2022-04-07 23:33:18.296014]Total energy: 31182440.050167143
[2022-04-07 23:34:08.773564]Total energy: 31123379.924229737
[2022-04-07 23:34:59.987264]Total energy: 31160765.91640672
[2022-04-07 23:35:53.174182]Total energy: 31328091.62399577
[2022-04-07 23:36:43.864366]Total energy: 31272220.879152417
[2022-04-07 23:37:34.772850]Total energy: 31255423.16769121
[2022-04-07 23:38:26.066697]Total energy: 31187553.93079629
[2022-04-07 23:39:19.862426]Total energy: 31215609.358820803
[2022-04-07 23:40:12.207695]Total energy: 31228423.00359107
[2022-04-07 23:41:14.420529]Total energy: 31163027.41947932
[2022-04-07 23:42:06.968141]Total energy: 31128477.996943284
[2022-04-07 23:43:00.404094]Total energy: 31164203.512048297
[2022-04-07 23:43:50.940671]Total energy: 31108087.365109473
[2022-04-07 23:44:42.221013]Total energy: 31094722.506995015
[2022-04-07 23:45:34.167730]Total energy: 31043879.954814352
[2022-04-07 23:46:25.000776]Total energy: 31305058.39739438
[2022-04-07 23:47:15.684147]Total energy: 31264290.75644461
[2022-04-07 23:48:06.404553]Total energy: 31104937.497954838
[2022-04-07 23:49:00.321304]Total energy: 31259661.96506114
[2022-04-07 23:49:51.028261]Total energy: 31282302.624016833
[2022-04-07 23:51:07.446027]Total energy: 31283043.401777912
[2022-04-07 23:52:17.622540]Total energy: 31244529.514044978
[2022-04-07 23:53:17.420856]Total energy: 31161677.35950088
[2022-04-07 23:54:15.581932]Total energy: 31189128.34695886
[2022-04-07 23:55:06.715007]Total energy: 31143126.683685683
[2022-04-07 23:55:58.853755]Total energy: 31193778.010296907
[2022-04-07 23:56:50.074832]Total energy: 31166408.165648673
[2022-04-07 23:57:40.714982]Total energy: 31105494.266309828
[2022-04-07 23:58:32.600068]Total energy: 31067573.90265086
[2022-04-07 23:59:23.554880]Total energy: 31142303.631528616
[2022-04-08 00:00:14.214375]Total energy: 31190092.299056012
[2022-04-08 00:01:06.782481]Total energy: 31091926.282724995
[2022-04-08 00:02:00.405780]Total energy: 31196352.533651274
[2022-04-08 00:02:50.599436]Total energy: 31281081.05927077
[2022-04-08 00:03:41.108800]Total energy: 31056280.979963567
[2022-04-08 00:04:32.170080]Total energy: 31177225.073516887
[2022-04-08 00:05:35.250794]Total energy: 31147634.08242332
[2022-04-08 00:06:26.042248]Total energy: 31081023.57927325
[2022-04-08 00:07:16.391465]Total energy: 31107634.20364688
[2022-04-08 00:08:06.933429]Total energy: 31181908.36921114
[2022-04-08 00:08:59.185471]Total energy: 31174219.735905744
[2022-04-08 00:09:49.561277]Total energy: 31128743.338496868
[2022-04-08 00:10:49.172785]Total energy: 31270460.928321134
[2022-04-08 00:11:45.350900]Total energy: 31112470.481506232
[2022-04-08 00:12:36.025500]Total energy: 31158572.18381292
[2022-04-08 00:13:27.064729]Total energy: 31128056.072878525
[2022-04-08 00:14:17.756385]Total energy: 31212670.616755784
[2022-04-08 00:15:10.952817]Total energy: 31205606.303154502
[2022-04-08 00:16:02.214517]Total energy: 31101583.9554782
[2022-04-08 00:16:52.959928]Total energy: 31221456.44953682
[2022-04-08 00:17:44.447421]Total energy: 31045154.582907524
[2022-04-08 00:18:35.650163]Total energy: 31093053.84094365
[2022-04-08 00:19:27.067716]Total energy: 31294060.92178061
[2022-04-08 00:20:17.717638]Total energy: 31098891.127934523
[2022-04-08 00:21:27.163663]Total energy: 31233500.33310807
[2022-04-08 00:22:25.755279]Total energy: 31061202.720768556
[2022-04-08 00:23:17.937678]Total energy: 31150559.36573211
[2022-04-08 00:24:10.138509]Total energy: 31128640.297395688
[2022-04-08 00:25:02.438395]Total energy: 31189574.18917294
[2022-04-08 00:25:53.140600]Total energy: 31275401.746184707
[2022-04-08 00:26:44.720606]Total energy: 31131631.30268565
[2022-04-08 00:27:35.588037]Total energy: 31064772.291606177
[2022-04-08 00:28:26.545505]Total energy: 31206517.91410294
[2022-04-08 00:29:16.903597]Total energy: 31234110.08325916
[2022-04-08 00:30:08.374730]Total energy: 31100468.493232395
[2022-04-08 00:31:22.911601]Total energy: 31089217.359182384
[2022-04-08 00:32:37.224507]Total energy: 31182291.261587802
[2022-04-08 00:33:33.258167]Total energy: 31158934.169595666
[2022-04-08 00:34:26.127770]Total energy: 31104190.476937216
[2022-04-08 00:35:17.494649]Total energy: 31246255.49443454
[2022-04-08 00:36:08.538803]Total energy: 31174448.711261682
[2022-04-08 00:36:59.291314]Total energy: 31180986.32645705
[2022-04-08 00:37:50.055758]Total energy: 31066194.724885136
[2022-04-08 00:38:40.639217]Total energy: 30989855.943269487
[2022-04-08 00:39:31.870326]Total energy: 30950886.181017477
[2022-04-08 00:40:24.991908]Total energy: 31223862.945765946
[2022-04-08 00:41:22.868535]Total energy: 31430377.99431273
[2022-04-08 00:42:15.348030]Total energy: 31280609.83065172
[2022-04-08 00:43:07.187865]Total energy: 31254581.31196165
[2022-04-08 00:43:58.234942]Total energy: 31385894.43112208
[2022-04-08 00:44:49.485578]Total energy: 31366118.657272168
[2022-04-08 00:45:40.340114]Total energy: 31381992.871728588
[2022-04-08 00:46:32.042066]Total energy: 31322899.914187305
[2022-04-08 00:47:24.190305]Total energy: 31366341.689179264
[2022-04-08 00:48:15.576211]Total energy: 31224578.634046894
[2022-04-08 00:49:05.926510]Total energy: 31355077.438519444
[2022-04-08 00:49:56.651430]Total energy: 31258707.17938215
[2022-04-08 00:50:53.299889]Total energy: 31319929.77020542
[2022-04-08 00:51:46.777204]Total energy: 31336865.460170325
[2022-04-08 00:52:43.199916]Total energy: 31320102.899536185
[2022-04-08 00:53:36.826851]Total energy: 31413392.484526943
[2022-04-08 00:54:28.643779]Total energy: 31319202.26421689
[2022-04-08 00:55:20.288746]Total energy: 31296569.972453218
[2022-04-08 00:56:11.417087]Total energy: 31383585.07230204
[2022-04-08 00:57:02.791548]Total energy: 31261735.140937332
[2022-04-08 00:57:54.454373]Total energy: 31318328.442207348
[2022-04-08 00:58:46.701685]Total energy: 31259944.06880884
[2022-04-08 00:59:37.604496]Total energy: 31279911.035211604
[2022-04-08 01:00:35.318123]Total energy: 31277011.49902021
[2022-04-08 01:01:39.239819]Total energy: 31192362.70418506
[2022-04-08 01:02:30.577852]Total energy: 31340971.50295959
[2022-04-08 01:03:21.978905]Total energy: 31329196.78587085
[2022-04-08 01:04:12.090648]Total energy: 31356118.59465593
[2022-04-08 01:05:03.138800]Total energy: 31348988.906450506
[2022-04-08 01:05:54.666261]Total energy: 31343870.3788946
[2022-04-08 01:06:45.637058]Total energy: 31367508.59188752
[2022-04-08 01:07:36.411973]Total energy: 31261971.31131395
[2022-04-08 01:08:27.353756]Total energy: 31316950.29682943
[2022-04-08 01:09:20.355112]Total energy: 31421994.808901507
[2022-04-08 01:10:11.842796]Total energy: 31235542.580604568
[2022-04-08 01:11:08.711218]Total energy: 31249848.81388188
[2022-04-08 01:12:01.114875]Total energy: 31392578.950533677
[2022-04-08 01:12:52.434516]Total energy: 31279857.767476022
[2022-04-08 01:13:45.429503]Total energy: 31298091.894833714
[2022-04-08 01:14:37.682233]Total energy: 31209434.12420895
[2022-04-08 01:15:28.420096]Total energy: 31260614.639735702
[2022-04-08 01:16:19.649447]Total energy: 31265061.102186766
[2022-04-08 01:17:11.471514]Total energy: 31249989.63478562
[2022-04-08 01:18:03.197590]Total energy: 31333466.619905844
[2022-04-08 01:18:54.185470]Total energy: 31250771.160772935
[2022-04-08 01:19:45.290271]Total energy: 31276462.95014537
[2022-04-08 01:20:50.640783]Total energy: 31325509.952754125
[2022-04-08 01:21:44.881013]Total energy: 31359166.957817618
[2022-04-08 01:22:35.570551]Total energy: 31246505.168935128
[2022-04-08 01:23:26.342748]Total energy: 31360843.951684542
[2022-04-08 01:24:17.660095]Total energy: 31290986.370464347
[2022-04-08 01:25:09.382444]Total energy: 31417433.64854902
[2022-04-08 01:26:00.073778]Total energy: 31174570.07192952
[2022-04-08 01:26:51.640806]Total energy: 31283598.28456591
[2022-04-08 01:27:42.714986]Total energy: 31413125.368654877
[2022-04-08 01:28:35.465093]Total energy: 31380357.556320865
[2022-04-08 01:29:26.001767]Total energy: 31373029.22191666
[2022-04-08 01:30:16.915930]Total energy: 31242500.49237018
[2022-04-08 01:31:17.317907]Total energy: 31294458.069988865
[2022-04-08 01:32:18.405321]Total energy: 31315859.38410833
[2022-04-08 01:33:16.937215]Total energy: 31226230.322541036
[2022-04-08 01:34:07.537476]Total energy: 31401871.965248276
[2022-04-08 01:34:58.282653]Total energy: 31165700.064182527
[2022-04-08 01:35:52.880798]Total energy: 31284545.17840222
[2022-04-08 01:36:53.853954]Total energy: 31272916.78478315
[2022-04-08 01:37:46.051365]Total energy: 31323702.487297963
[2022-04-08 01:38:36.990731]Total energy: 31188520.149806358
[2022-04-08 01:39:31.027012]Total energy: 31270806.520953108
[2022-04-08 01:40:21.926426]Total energy: 31386507.519281067
[2022-04-08 01:41:36.777276]Total energy: 31373469.180136442
[2022-04-08 01:42:51.442191]Total energy: 31321178.5029949
[2022-04-08 01:43:42.151708]Total energy: 31271005.21917983
[2022-04-08 01:44:33.960527]Total energy: 31219823.01071822
[2022-04-08 01:45:24.689865]Total energy: 31199005.774685767
[2022-04-08 01:46:17.166281]Total energy: 31378759.455970775
[2022-04-08 01:47:08.086697]Total energy: 31332152.096588913
[2022-04-08 01:47:59.390925]Total energy: 31228741.413158894
[2022-04-08 01:48:52.197800]Total energy: 31184753.815092605
[2022-04-08 01:49:46.626701]Total energy: 31149088.98354644
[2022-04-08 01:50:58.688156]Total energy: 31314574.021328356
[2022-04-08 01:51:59.748997]Total energy: 31408161.448336765
[2022-04-08 01:53:02.823967]Total energy: 31345433.310719524
[2022-04-08 01:53:55.216176]Total energy: 31344037.66448591
[2022-04-08 01:54:45.934355]Total energy: 31245598.495678514
[2022-04-08 01:55:39.812903]Total energy: 31382248.56980757
[2022-04-08 01:56:31.931142]Total energy: 31371312.02733528
[2022-04-08 01:57:23.394323]Total energy: 31256005.552645028
[2022-04-08 01:58:14.736181]Total energy: 31269316.92357952
[2022-04-08 01:59:06.451119]Total energy: 31130213.39544644
[2022-04-08 01:59:56.971369]Total energy: 31396878.11440529
[2022-04-08 02:00:58.259973]Total energy: 31165647.02506973
[2022-04-08 02:01:55.275445]Total energy: 31319928.100421946
[2022-04-08 02:02:51.845206]Total energy: 31387647.312440384
[2022-04-08 02:03:43.181781]Total energy: 31257527.147037532
[2022-04-08 02:04:35.620845]Total energy: 31216935.116021045
[2022-04-08 02:05:29.125209]Total energy: 31328298.600265563
[2022-04-08 02:06:20.008412]Total energy: 31408578.99497908
[2022-04-08 02:07:10.966096]Total energy: 31373875.926673766
[2022-04-08 02:08:01.422571]Total energy: 31272850.491378747
[2022-04-08 02:08:55.403831]Total energy: 31138738.307389487
[2022-04-08 02:09:45.779758]Total energy: 31220498.15400528
[2022-04-08 02:10:56.021977]Total energy: 31200499.529070903
[2022-04-08 02:11:57.701015]Total energy: 31262086.92517497
[2022-04-08 02:12:49.456425]Total energy: 31164673.80291133
[2022-04-08 02:13:40.232924]Total energy: 31142883.535758566
[2022-04-08 02:14:31.984553]Total energy: 31134988.28187987
[2022-04-08 02:15:24.091545]Total energy: 31157317.731745057
[2022-04-08 02:16:15.208345]Total energy: 31200921.769325946
[2022-04-08 02:17:06.317983]Total energy: 31160526.58115652
[2022-04-08 02:17:59.592579]Total energy: 31104243.104289673
[2022-04-08 02:18:54.731301]Total energy: 31183029.59598787
[2022-04-08 02:19:45.397657]Total energy: 31207167.39662785
[2022-04-08 02:20:50.909264]Total energy: 31109411.9466814
[2022-04-08 02:22:06.123604]Total energy: 31232115.296261474
[2022-04-08 02:23:02.992708]Total energy: 31159205.66749936
[2022-04-08 02:23:58.832647]Total energy: 31214970.42610849
[2022-04-08 02:24:53.201331]Total energy: 31215228.723699804
[2022-04-08 02:25:52.354819]Total energy: 31292443.585591216
[2022-04-08 02:26:45.433518]Total energy: 31163561.25572917
[2022-04-08 02:27:36.684368]Total energy: 31267659.287084125
[2022-04-08 02:28:26.902127]Total energy: 31352740.37227778
[2022-04-08 02:29:17.103888]Total energy: 31239434.067618262
[2022-04-08 02:30:08.194593]Total energy: 31348965.101372566
[2022-04-08 02:31:08.256715]Total energy: 31253229.53447715
[2022-04-08 02:32:05.178181]Total energy: 31222861.93559975
[2022-04-08 02:32:56.513440]Total energy: 31185509.061107546
[2022-04-08 02:33:47.426535]Total energy: 31172638.28748137
[2022-04-08 02:34:38.829710]Total energy: 31176923.40256261
[2022-04-08 02:35:30.520215]Total energy: 31156566.270582803
[2022-04-08 02:36:21.738427]Total energy: 31096833.278575934
[2022-04-08 02:37:12.438709]Total energy: 31193976.765603647
[2022-04-08 02:38:02.975500]Total energy: 31288552.968518164
[2022-04-08 02:38:54.542106]Total energy: 31175637.058750268
[2022-04-08 02:39:45.513989]Total energy: 31300639.317430533
[2022-04-08 02:41:13.947808]Total energy: 31188255.38800503
[2022-04-08 02:42:27.478874]Total energy: 31193769.594993606
[2022-04-08 02:43:25.034852]Total energy: 31064719.609652027
[2022-04-08 02:44:17.105356]Total energy: 31297292.682236176
[2022-04-08 02:45:08.097010]Total energy: 31234056.828704853
[2022-04-08 02:45:59.579162]Total energy: 31265241.689894374
[2022-04-08 02:46:50.178468]Total energy: 31146355.052348517
[2022-04-08 02:47:41.041440]Total energy: 31179734.770594202
[2022-04-08 02:48:32.580774]Total energy: 31078502.330254875
[2022-04-08 02:49:22.850535]Total energy: 31169717.966231436
[2022-04-08 02:50:15.122570]Total energy: 31126195.882447667
[2022-04-08 02:51:17.586558]Total energy: 31057414.09680162
[2022-04-08 02:52:18.371681]Total energy: 31112161.59851593
[2022-04-08 02:53:24.286944]Total energy: 31200528.52225436
