initial: all - diverse_all
[2022-04-07 23:26:06.164893]Total energy: 16901221.62130358
[2022-04-07 23:27:25.267487]Total energy: 16834685.94856578
[2022-04-07 23:28:44.428469]Total energy: 16815679.96529776
[2022-04-07 23:30:04.908156]Total energy: 16840909.742776744
[2022-04-07 23:31:44.606356]Total energy: 16868012.222536344
[2022-04-07 23:33:09.239088]Total energy: 16872178.341821123
[2022-04-07 23:34:27.910682]Total energy: 16916804.412804376
[2022-04-07 23:35:46.462821]Total energy: 16834912.436703928
[2022-04-07 23:37:04.894392]Total energy: 16835366.664743993
[2022-04-07 23:38:22.807891]Total energy: 16843102.311783016
[2022-04-07 23:39:42.102194]Total energy: 16835629.69235255
[2022-04-07 23:41:14.854848]Total energy: 16841041.30200762
[2022-04-07 23:42:36.494798]Total energy: 16835422.04563265
[2022-04-07 23:43:53.381827]Total energy: 16857294.491650335
[2022-04-07 23:45:10.518763]Total energy: 16857668.877394233
[2022-04-07 23:46:29.905500]Total energy: 16867390.786209386
[2022-04-07 23:47:48.308809]Total energy: 16863287.261142228
[2022-04-07 23:49:08.175801]Total energy: 16863316.78176009
[2022-04-07 23:50:38.820999]Total energy: 16809103.46872518
[2022-04-07 23:52:26.696832]Total energy: 16862065.963080045
[2022-04-07 23:53:54.183341]Total energy: 16828952.919797428
[2022-04-07 23:55:13.685137]Total energy: 16836958.996033467
[2022-04-07 23:56:30.742804]Total energy: 16813653.50057326
[2022-04-07 23:57:47.329404]Total energy: 16800650.86265
[2022-04-07 23:59:07.737116]Total energy: 16825690.30095486
[2022-04-08 00:00:31.614137]Total energy: 16789076.235650633
[2022-04-08 00:01:51.088875]Total energy: 16818843.123383675
[2022-04-08 00:03:08.539947]Total energy: 16815646.55962548
[2022-04-08 00:04:25.408320]Total energy: 16822807.133753557
[2022-04-08 00:05:57.497719]Total energy: 16783087.89678396
[2022-04-08 00:07:15.810736]Total energy: 16773220.429178266
[2022-04-08 00:08:33.487511]Total energy: 16852517.417847652
[2022-04-08 00:09:51.386969]Total energy: 16841911.34360287
[2022-04-08 00:11:11.977442]Total energy: 16889071.52302652
[2022-04-08 00:12:29.885240]Total energy: 16843550.06799891
[2022-04-08 00:13:48.550028]Total energy: 16848119.03477029
[2022-04-08 00:15:08.642075]Total energy: 16837870.900991213
[2022-04-08 00:16:26.383356]Total energy: 16860090.218158007
[2022-04-08 00:17:44.103856]Total energy: 16790991.231269624
[2022-04-08 00:19:00.727634]Total energy: 16795905.601553172
[2022-04-08 00:20:19.935331]Total energy: 16815647.27650594
[2022-04-08 00:21:39.639084]Total energy: 16798134.43042707
[2022-04-08 00:22:59.499250]Total energy: 16836966.674167026
[2022-04-08 00:24:19.378941]Total energy: 16840995.799393423
[2022-04-08 00:25:39.133181]Total energy: 16816244.341479115
[2022-04-08 00:26:57.941471]Total energy: 16790061.994150143
[2022-04-08 00:28:16.020516]Total energy: 16788570.37355002
[2022-04-08 00:29:34.695226]Total energy: 16810160.445016243
[2022-04-08 00:31:15.300234]Total energy: 16809284.066832136
[2022-04-08 00:32:53.622311]Total energy: 16795187.82712237
[2022-04-08 00:34:13.149178]Total energy: 16794210.615091138
[2022-04-08 00:35:34.114228]Total energy: 16807509.729721222
[2022-04-08 00:36:51.301293]Total energy: 16840872.633485366
[2022-04-08 00:38:07.884526]Total energy: 16851547.706351113
[2022-04-08 00:39:25.791481]Total energy: 16808500.145873055
[2022-04-08 00:40:56.055694]Total energy: 16835693.157678287
[2022-04-08 00:42:25.381751]Total energy: 16805389.08336791
[2022-04-08 00:43:43.014510]Total energy: 16858140.201666698
[2022-04-08 00:45:00.880969]Total energy: 16802566.220713653
[2022-04-08 00:46:19.698760]Total energy: 16862082.50091644
[2022-04-08 00:47:38.291879]Total energy: 16829708.04421779
[2022-04-08 00:48:57.518523]Total energy: 16832324.50775466
[2022-04-08 00:50:14.838214]Total energy: 16866088.421535816
[2022-04-08 00:51:36.920211]Total energy: 16832791.146183483
[2022-04-08 00:53:01.057000]Total energy: 16858550.08935578
[2022-04-08 00:54:21.460173]Total energy: 16820799.68259845
[2022-04-08 00:55:39.232797]Total energy: 16875922.407976896
[2022-04-08 00:56:56.566075]Total energy: 16809914.3692081
[2022-04-08 00:58:14.369821]Total energy: 16837752.104014367
[2022-04-08 00:59:34.539968]Total energy: 16821269.671302028
[2022-04-08 01:01:09.138848]Total energy: 16814582.910025254
[2022-04-08 01:02:36.392517]Total energy: 16818008.57709651
[2022-04-08 01:03:54.732091]Total energy: 16826357.26895281
[2022-04-08 01:05:12.023690]Total energy: 16832636.665409938
[2022-04-08 01:06:29.873247]Total energy: 16872213.50499531
[2022-04-08 01:07:45.984464]Total energy: 16807416.795314055
[2022-04-08 01:09:02.310893]Total energy: 16812834.467397988
[2022-04-08 01:10:20.271870]Total energy: 16828314.743913777
[2022-04-08 01:11:41.041925]Total energy: 16815602.939096767
[2022-04-08 01:12:58.488559]Total energy: 16844132.707923595
[2022-04-08 01:14:16.877987]Total energy: 16863029.345806956
[2022-04-08 01:15:35.214064]Total energy: 16826725.602770753
[2022-04-08 01:16:52.954357]Total energy: 16822744.923376806
[2022-04-08 01:18:12.136417]Total energy: 16835690.78363502
[2022-04-08 01:19:30.564010]Total energy: 16804622.339194078
[2022-04-08 01:21:02.623703]Total energy: 16829054.91088672
[2022-04-08 01:22:30.739052]Total energy: 16771499.762443146
[2022-04-08 01:23:47.730602]Total energy: 16810747.775315255
[2022-04-08 01:25:06.795847]Total energy: 16815118.021943934
[2022-04-08 01:26:24.622196]Total energy: 16823876.120752044
[2022-04-08 01:27:42.387965]Total energy: 16810255.324329834
[2022-04-08 01:29:00.851533]Total energy: 16844396.741263404
[2022-04-08 01:30:17.758538]Total energy: 16828246.441666715
[2022-04-08 01:31:44.550175]Total energy: 16782918.501332723
[2022-04-08 01:33:06.158072]Total energy: 16794999.924446035
[2022-04-08 01:34:23.705811]Total energy: 16778961.817906465
[2022-04-08 01:35:43.675896]Total energy: 16833785.87658065
[2022-04-08 01:37:15.927449]Total energy: 16838327.660525996
[2022-04-08 01:38:33.307367]Total energy: 16858213.33432943
[2022-04-08 01:39:52.042584]Total energy: 16808239.458709087
[2022-04-08 01:41:35.094730]Total energy: 16794002.385559797
[2022-04-08 01:43:11.551581]Total energy: 16860418.157343276
[2022-04-08 01:44:29.716401]Total energy: 16847063.822965417
[2022-04-08 01:45:46.984095]Total energy: 16784276.990832347
[2022-04-08 01:47:04.789211]Total energy: 16789182.953362312
[2022-04-08 01:48:24.375648]Total energy: 16876212.130446408
[2022-04-08 01:49:45.531841]Total energy: 16805833.06660989
[2022-04-08 01:51:12.660643]Total energy: 16855297.730847675
[2022-04-08 01:52:43.657397]Total energy: 16814247.391673956
[2022-04-08 01:54:11.939420]Total energy: 16816282.205542166
[2022-04-08 01:55:29.807444]Total energy: 16808013.141685978
[2022-04-08 01:56:48.277826]Total energy: 16860806.049193226
[2022-04-08 01:58:05.492642]Total energy: 16839348.62385302
[2022-04-08 01:59:24.441186]Total energy: 16859351.73183068
[2022-04-08 02:00:52.057150]Total energy: 16800001.890276175
[2022-04-08 02:02:21.770562]Total energy: 16850665.510787293
[2022-04-08 02:03:41.225003]Total energy: 16806484.953411765
[2022-04-08 02:05:00.991379]Total energy: 16818927.58402617
[2022-04-08 02:06:20.218120]Total energy: 16842835.969554424
[2022-04-08 02:07:37.079984]Total energy: 16795108.556341447
[2022-04-08 02:08:57.817342]Total energy: 16834526.81884509
[2022-04-08 02:10:17.053885]Total energy: 16876929.642420556
[2022-04-08 02:11:44.251805]Total energy: 16829464.12607277
[2022-04-08 02:13:09.847769]Total energy: 16789206.053388935
[2022-04-08 02:14:29.685806]Total energy: 16802645.303596977
[2022-04-08 02:15:50.098453]Total energy: 16822004.910647854
[2022-04-08 02:17:09.935029]Total energy: 16793898.412410572
[2022-04-08 02:18:31.740826]Total energy: 16809694.47637105
[2022-04-08 02:19:49.076965]Total energy: 16802058.463505197
[2022-04-08 02:21:22.559324]Total energy: 16759802.681999106
[2022-04-08 02:22:56.332816]Total energy: 16805226.915125698
[2022-04-08 02:24:16.948268]Total energy: 16779663.263276357
[2022-04-08 02:25:45.098668]Total energy: 16793111.50893497
[2022-04-08 02:27:03.050285]Total energy: 16754777.264438922
[2022-04-08 02:28:20.799176]Total energy: 16784902.68666667
[2022-04-08 02:29:38.495072]Total energy: 16796743.632439554
[2022-04-08 02:31:04.185253]Total energy: 16751077.279323645
[2022-04-08 02:32:28.008157]Total energy: 16810923.887428045
[2022-04-08 02:33:45.442850]Total energy: 16796266.418977316
[2022-04-08 02:35:03.493143]Total energy: 16812723.095803868
[2022-04-08 02:36:20.048295]Total energy: 16849516.237298805
[2022-04-08 02:37:36.923898]Total energy: 16790216.12989511
[2022-04-08 02:38:55.339338]Total energy: 16803918.344027314
[2022-04-08 02:40:12.958118]Total energy: 16791404.478542846
[2022-04-08 02:41:49.444311]Total energy: 16809373.06680275
[2022-04-08 02:43:20.718568]Total energy: 16803753.75573648
[2022-04-08 02:44:40.241226]Total energy: 16792491.976746812
[2022-04-08 02:45:57.088016]Total energy: 16773723.028593117
[2022-04-08 02:47:13.650142]Total energy: 16840101.57708642
[2022-04-08 02:48:31.736436]Total energy: 16782253.05879932
[2022-04-08 02:49:48.012962]Total energy: 16783686.88885882
[2022-04-08 02:51:17.097434]Total energy: 16789354.458436374
[2022-04-08 02:52:51.096155]Total energy: 16810353.33139358
[2022-04-08 02:54:21.175997]Total energy: 16773632.261943515
[2022-04-08 02:55:41.019934]Total energy: 16819043.949716773
[2022-04-08 02:56:57.974089]Total energy: 16830456.372733425
[2022-04-08 02:58:14.834393]Total energy: 16774690.330774274
[2022-04-08 02:59:31.300976]Total energy: 16801527.490940522
[2022-04-08 03:01:15.357256]Total energy: 16785467.571578156
[2022-04-08 03:02:43.159104]Total energy: 16776196.118162023
[2022-04-08 03:04:01.646812]Total energy: 16778024.091716032
[2022-04-08 03:05:19.574607]Total energy: 16795829.8368423
[2022-04-08 03:06:38.028499]Total energy: 16819571.446336623
[2022-04-08 03:07:55.796213]Total energy: 16806183.360997938
[2022-04-08 03:09:12.562308]Total energy: 16816317.93990283
[2022-04-08 03:10:37.339738]Total energy: 16818311.98783187
[2022-04-08 03:11:59.714536]Total energy: 16800081.61223653
[2022-04-08 03:13:17.637567]Total energy: 16817068.220774025
[2022-04-08 03:14:35.969448]Total energy: 16850531.470245797
[2022-04-08 03:15:52.584351]Total energy: 16835566.744778764
[2022-04-08 03:17:09.095969]Total energy: 16842083.86601649
[2022-04-08 03:18:25.933263]Total energy: 16823839.458127327
[2022-04-08 03:19:44.019203]Total energy: 16828282.44201382
[2022-04-08 03:21:21.999815]Total energy: 16801000.216739904
[2022-04-08 03:23:05.908970]Total energy: 16822857.978850354
[2022-04-08 03:24:42.050951]Total energy: 16811878.096836533
[2022-04-08 03:26:09.771403]Total energy: 16808737.18766782
[2022-04-08 03:27:32.087621]Total energy: 16804379.75744597
[2022-04-08 03:28:49.454954]Total energy: 16811861.50787341
[2022-04-08 03:30:08.068619]Total energy: 16842605.580148783
[2022-04-08 03:31:30.661761]Total energy: 16784110.841670457
[2022-04-08 03:33:00.173850]Total energy: 16812828.84134479
[2022-04-08 03:34:16.960152]Total energy: 16762584.089267379
[2022-04-08 03:35:35.287001]Total energy: 16804069.53646813
[2022-04-08 03:36:52.036646]Total energy: 16751259.658281552
[2022-04-08 03:38:08.409140]Total energy: 16778977.371251702
[2022-04-08 03:39:24.825394]Total energy: 16810269.802246634
[2022-04-08 03:40:54.869541]Total energy: 16781972.13265571
[2022-04-08 03:42:16.412096]Total energy: 16793261.711663585
[2022-04-08 03:43:35.434217]Total energy: 16829469.22929219
[2022-04-08 03:44:57.297393]Total energy: 16776238.518246716
[2022-04-08 03:46:18.563900]Total energy: 16835232.70068608
[2022-04-08 03:47:38.101280]Total energy: 16837538.800917417
[2022-04-08 03:48:57.063469]Total energy: 16793496.04759028
[2022-04-08 03:50:14.576786]Total energy: 16817399.942850966
[2022-04-08 03:51:32.481738]Total energy: 16774799.09881896
[2022-04-08 03:52:52.158084]Total energy: 16826151.08610481
[2022-04-08 03:54:12.151782]Total energy: 16817154.911094133
[2022-04-08 03:55:35.948849]Total energy: 16781571.564695496
[2022-04-08 03:57:00.545832]Total energy: 16790425.75925416
[2022-04-08 03:58:18.231111]Total energy: 16797041.449040994
[2022-04-08 03:59:40.967966]Total energy: 16807026.770909317
[2022-04-08 04:01:25.569111]Total energy: 16782476.24737327
[2022-04-08 04:02:58.374592]Total energy: 16783314.564465556
[2022-04-08 04:04:17.031443]Total energy: 16777911.435809866
[2022-04-08 04:05:38.639968]Total energy: 16774762.471681165
[2022-04-08 04:06:57.706109]Total energy: 16794074.270253833
[2022-04-08 04:08:17.903994]Total energy: 16781554.598748654
[2022-04-08 04:09:37.796093]Total energy: 16788791.05808365
[2022-04-08 04:11:08.454913]Total energy: 16813448.581034523
[2022-04-08 04:12:31.921692]Total energy: 16839866.480425373
[2022-04-08 04:13:50.965366]Total energy: 16774801.537431546
[2022-04-08 04:15:09.884805]Total energy: 16786782.493313037
[2022-04-08 04:16:29.974179]Total energy: 16834482.01495225
[2022-04-08 04:17:49.089893]Total energy: 16780799.0548001
[2022-04-08 04:19:10.164513]Total energy: 16782461.99451952
[2022-04-08 04:20:34.196193]Total energy: 16793252.073497336
[2022-04-08 04:22:09.629243]Total energy: 16850366.146269787
[2022-04-08 04:23:36.145769]Total energy: 16797855.69752713
[2022-04-08 04:25:00.661937]Total energy: 16803616.129960135
[2022-04-08 04:26:19.831782]Total energy: 16811150.312245596
[2022-04-08 04:27:39.675304]Total energy: 16826924.362297393
[2022-04-08 04:28:58.661735]Total energy: 16760491.196013115
[2022-04-08 04:30:17.383198]Total energy: 16793406.11762429
[2022-04-08 04:31:49.174911]Total energy: 16740590.989572177
[2022-04-08 04:33:16.114101]Total energy: 16745602.461364975
[2022-04-08 04:34:36.003242]Total energy: 16802805.72121078
[2022-04-08 04:35:55.232859]Total energy: 16759640.099794816
[2022-04-08 04:37:15.019282]Total energy: 16784288.720557485
[2022-04-08 04:38:35.032791]Total energy: 16770475.6728462
[2022-04-08 04:39:53.923354]Total energy: 16806394.86044575
[2022-04-08 04:41:26.791106]Total energy: 16772398.21091547
[2022-04-08 04:43:10.257235]Total energy: 16769710.194376409
[2022-04-08 04:44:41.698179]Total energy: 16788726.83896817
[2022-04-08 04:46:07.921112]Total energy: 16747742.820325421
[2022-04-08 04:47:25.023550]Total energy: 16830756.202197723
[2022-04-08 04:48:45.455425]Total energy: 16769618.061944764
[2022-04-08 04:50:03.983969]Total energy: 16757817.29766599
[2022-04-08 04:51:47.847791]Total energy: 16766569.55235179
[2022-04-08 04:53:35.242091]Total energy: 16756172.598203955
[2022-04-08 04:55:03.355174]Total energy: 16780571.33382349
[2022-04-08 04:56:22.496857]Total energy: 16772768.989868945
[2022-04-08 04:57:41.086421]Total energy: 16810929.777073793
[2022-04-08 04:59:00.743644]Total energy: 16792405.637150843
[2022-04-08 05:00:19.660358]Total energy: 16794041.977041725
[2022-04-08 05:01:43.419264]Total energy: 16789143.314114545
[2022-04-08 05:03:00.580919]Total energy: 16788411.36616713
[2022-04-08 05:04:18.220051]Total energy: 16798818.588972334
[2022-04-08 05:05:38.164254]Total energy: 16808351.21510794
[2022-04-08 05:06:55.641438]Total energy: 16790518.690436706
[2022-04-08 05:08:14.981214]Total energy: 16766529.969870728
[2022-04-08 05:09:34.188840]Total energy: 16768761.644367186
[2022-04-08 05:11:00.685722]Total energy: 16758280.572310513
[2022-04-08 05:12:36.521185]Total energy: 16801983.104187675
[2022-04-08 05:14:04.331804]Total energy: 16817944.45413225
[2022-04-08 05:15:22.566315]Total energy: 16807989.1476256
[2022-04-08 05:16:41.770587]Total energy: 16836507.97427101
[2022-04-08 05:18:01.073683]Total energy: 16806142.974742237
[2022-04-08 05:19:22.346539]Total energy: 16775399.27742704
[2022-04-08 05:20:47.554266]Total energy: 16785214.83844219
[2022-04-08 05:22:07.993979]Total energy: 16781061.767083444
[2022-04-08 05:23:26.923304]Total energy: 16778949.609128077
[2022-04-08 05:24:46.705175]Total energy: 16792266.503240313
[2022-04-08 05:26:04.934917]Total energy: 16788432.06775599
[2022-04-08 05:27:23.470482]Total energy: 16777546.266608372
[2022-04-08 05:28:42.792431]Total energy: 16803506.93893746
[2022-04-08 05:30:03.220397]Total energy: 16746512.526616031
[2022-04-08 05:31:30.571303]Total energy: 16792532.993886035
[2022-04-08 05:32:50.294855]Total energy: 16771518.016807023
[2022-04-08 05:34:09.359733]Total energy: 16769335.695186961
[2022-04-08 05:35:34.777064]Total energy: 16834222.8760039
[2022-04-08 05:36:55.275893]Total energy: 16792934.712768737
[2022-04-08 05:38:17.625826]Total energy: 16769989.353195073
[2022-04-08 05:39:39.289465]Total energy: 16833832.901627053
[2022-04-08 05:41:24.312071]Total energy: 16779046.41784154
[2022-04-08 05:43:03.879118]Total energy: 16761099.550534703
[2022-04-08 05:44:34.890945]Total energy: 16774706.909898
[2022-04-08 05:45:56.062700]Total energy: 16795702.036753334
[2022-04-08 05:47:16.252368]Total energy: 16787536.5716877
[2022-04-08 05:48:35.175674]Total energy: 16849232.35997786
[2022-04-08 05:49:53.724853]Total energy: 16826398.56013819
[2022-04-08 05:51:21.285230]Total energy: 16787230.88532531
[2022-04-08 05:52:54.436202]Total energy: 16746353.224907152
[2022-04-08 05:54:15.261129]Total energy: 16768250.096350523
[2022-04-08 05:55:34.783824]Total energy: 16793682.80325037
[2022-04-08 05:56:53.552079]Total energy: 16795812.10608858
[2022-04-08 05:58:12.534864]Total energy: 16780809.01508479
[2022-04-08 05:59:31.132347]Total energy: 16792099.94578939
[2022-04-08 06:00:56.887926]Total energy: 16792889.319757495
[2022-04-08 06:02:22.553769]Total energy: 16785676.411007077
[2022-04-08 06:03:41.583755]Total energy: 16803544.126481745
[2022-04-08 06:05:00.250737]Total energy: 16779868.474199187
[2022-04-08 06:06:19.811997]Total energy: 16784630.03711601
[2022-04-08 06:07:39.931855]Total energy: 16799360.567563716
[2022-04-08 06:09:00.075174]Total energy: 16791202.043189075
[2022-04-08 06:10:19.508781]Total energy: 16811757.792220708
[2022-04-08 06:11:44.747456]Total energy: 16808835.733150236
[2022-04-08 06:13:02.932854]Total energy: 16782770.95801448
[2022-04-08 06:14:20.761838]Total energy: 16774327.682014525
[2022-04-08 06:16:00.885833]Total energy: 16731862.871878205
[2022-04-08 06:17:18.799268]Total energy: 16848262.168307874
[2022-04-08 06:18:35.658918]Total energy: 16783778.797971047
[2022-04-08 06:19:54.016783]Total energy: 16880159.812463522
[2022-04-08 06:21:20.881956]Total energy: 16835941.04775476
[2022-04-08 06:22:44.382628]Total energy: 16887495.87811278
[2022-04-08 06:24:54.892958]Total energy: 16850365.832617447
[2022-04-08 06:26:16.424235]Total energy: 16840623.305692475
[2022-04-08 06:27:35.243826]Total energy: 16823231.034879785
[2022-04-08 06:28:55.858127]Total energy: 16859413.35995075
[2022-04-08 06:30:15.868317]Total energy: 16846253.710526098
[2022-04-08 06:31:36.717076]Total energy: 16816403.01079011
[2022-04-08 06:32:57.350379]Total energy: 16863904.6839974
[2022-04-08 06:34:15.647072]Total energy: 16884768.327821836
[2022-04-08 06:35:37.596198]Total energy: 16859526.9792246
[2022-04-08 06:36:56.704188]Total energy: 16817267.102371868
[2022-04-08 06:38:15.937521]Total energy: 16880532.741944343
[2022-04-08 06:39:34.921972]Total energy: 16867884.602292113
[2022-04-08 06:41:02.085725]Total energy: 16800986.54070968
[2022-04-08 06:42:28.190462]Total energy: 16837026.525949266
[2022-04-08 06:43:47.812360]Total energy: 16844529.981024027
[2022-04-08 06:45:08.323863]Total energy: 16877864.55897008
[2022-04-08 06:46:26.503666]Total energy: 16831572.647046972
[2022-04-08 06:47:44.058858]Total energy: 16840641.02820753
[2022-04-08 06:49:03.125425]Total energy: 16814890.116105508
[2022-04-08 06:50:29.131419]Total energy: 16823538.874525838
[2022-04-08 06:51:56.562818]Total energy: 16816626.436957724
[2022-04-08 06:53:27.604393]Total energy: 16805596.40088799
[2022-04-08 06:55:01.210425]Total energy: 16784679.279729538
[2022-04-08 06:56:26.603889]Total energy: 16862341.24583767
[2022-04-08 06:57:46.146181]Total energy: 16871370.10960028
[2022-04-08 06:59:03.910433]Total energy: 16827132.287371278
[2022-04-08 07:00:48.040914]Total energy: 16833048.49957488
[2022-04-08 07:02:42.516813]Total energy: 16813328.086083822
[2022-04-08 07:04:14.223724]Total energy: 16802028.991542954
[2022-04-08 07:05:42.934936]Total energy: 16835177.851634778
[2022-04-08 07:07:00.708580]Total energy: 16818944.638432913
[2022-04-08 07:08:19.825997]Total energy: 16831834.795251966
[2022-04-08 07:09:38.770706]Total energy: 16814447.13768264
[2022-04-08 07:11:06.514663]Total energy: 16829532.59235573
[2022-04-08 07:12:25.385975]Total energy: 16843207.319550015
[2022-04-08 07:13:44.496700]Total energy: 16787544.838423062
[2022-04-08 07:15:03.114463]Total energy: 16837817.63377143
[2022-04-08 07:16:20.878389]Total energy: 16811783.829148103
[2022-04-08 07:17:40.776832]Total energy: 16806245.931252543
[2022-04-08 07:18:58.477112]Total energy: 16794498.52496974
[2022-04-08 07:20:16.354788]Total energy: 16807500.16985358
[2022-04-08 07:21:39.082756]Total energy: 16854993.908719912
[2022-04-08 07:22:56.836862]Total energy: 16846470.693328366
[2022-04-08 07:24:14.818462]Total energy: 16816608.72643104
[2022-04-08 07:25:33.898388]Total energy: 16834852.283477385
[2022-04-08 07:26:50.152712]Total energy: 16832501.032459266
[2022-04-08 07:28:06.668996]Total energy: 16820224.30949195
[2022-04-08 07:29:24.184835]Total energy: 16865824.428605985
[2022-04-08 07:30:53.810257]Total energy: 16825825.84308176
[2022-04-08 07:32:28.977035]Total energy: 16809049.525382347
[2022-04-08 07:33:56.155516]Total energy: 16828471.854362637
[2022-04-08 07:35:13.643282]Total energy: 16854854.21533489
[2022-04-08 07:36:31.482509]Total energy: 16805167.640207153
[2022-04-08 07:37:48.321222]Total energy: 16797017.841885284
[2022-04-08 07:39:05.956879]Total energy: 16842377.298000313
[2022-04-08 07:40:48.370297]Total energy: 16846567.834143434
[2022-04-08 07:42:12.665559]Total energy: 16810740.446640912
[2022-04-08 07:43:29.818097]Total energy: 16833426.30073936
[2022-04-08 07:44:47.542263]Total energy: 16817184.51332345
[2022-04-08 07:46:05.267434]Total energy: 16780809.629645936
[2022-04-08 07:47:23.751480]Total energy: 16819364.32280354
[2022-04-08 07:48:41.870480]Total energy: 16854242.08864051
[2022-04-08 07:50:00.231395]Total energy: 16881270.712179787
[2022-04-08 07:51:18.726311]Total energy: 16825293.56419015
[2022-04-08 07:52:36.068505]Total energy: 16816476.9974186
[2022-04-08 07:53:52.766313]Total energy: 16826273.03044891
[2022-04-08 07:55:10.675284]Total energy: 16837337.45856458
