initial: 102 - optimal_only_seed
[2022-04-07 21:27:48.322347]Total energy: 42767176.30039767
[2022-04-07 21:29:20.442105]Total energy: 42650784.81994566
[2022-04-07 21:31:02.429001]Total energy: 42822140.29069304
[2022-04-07 21:32:34.549423]Total energy: 42582760.992113404
[2022-04-07 21:34:05.874468]Total energy: 42795409.98000679
[2022-04-07 21:35:40.138355]Total energy: 42672871.6279761
[2022-04-07 21:37:14.891422]Total energy: 42701542.17491547
[2022-04-07 21:38:46.911193]Total energy: 42808866.43062773
[2022-04-07 21:40:20.445743]Total energy: 42602429.45561624
[2022-04-07 21:41:57.921895]Total energy: 42708320.69771401
[2022-04-07 21:43:31.488546]Total energy: 42964016.11129773
[2022-04-07 21:45:04.373626]Total energy: 42562069.10643022
[2022-04-07 21:46:46.946227]Total energy: 42713774.767958276
[2022-04-07 21:48:20.075680]Total energy: 42552104.74466348
[2022-04-07 21:49:55.485269]Total energy: 42648479.560738064
[2022-04-07 21:51:30.107008]Total energy: 42445927.096413255
[2022-04-07 21:53:02.701123]Total energy: 42716222.62512826
[2022-04-07 21:54:35.097143]Total energy: 42595355.46469419
[2022-04-07 21:56:10.702151]Total energy: 42638240.44041421
[2022-04-07 21:57:45.343792]Total energy: 42656638.03395795
[2022-04-07 21:59:19.320121]Total energy: 42670264.56428658
[2022-04-07 22:01:03.759986]Total energy: 42622789.46127865
[2022-04-07 22:02:45.558247]Total energy: 42706178.472533144
[2022-04-07 22:04:18.173890]Total energy: 42981660.5006497
[2022-04-07 22:05:51.671537]Total energy: 42592193.08123373
[2022-04-07 22:07:25.564462]Total energy: 42727461.10404199
[2022-04-07 22:08:58.388973]Total energy: 42664354.48286933
[2022-04-07 22:10:44.072305]Total energy: 42646167.09198671
[2022-04-07 22:12:23.127125]Total energy: 42524569.93775608
[2022-04-07 22:13:55.411366]Total energy: 42702081.73331221
[2022-04-07 22:15:27.192025]Total energy: 42749359.538139425
[2022-04-07 22:16:59.425305]Total energy: 42569315.41697053
[2022-04-07 22:18:35.507796]Total energy: 42521861.23536381
[2022-04-07 22:20:08.139562]Total energy: 42587982.1644993
[2022-04-07 22:21:41.048463]Total energy: 42618650.204220876
[2022-04-07 22:23:14.722308]Total energy: 42538756.66007878
[2022-04-07 22:24:48.601911]Total energy: 42664133.77437586
[2022-04-07 22:26:22.432408]Total energy: 42733269.928679675
[2022-04-07 22:27:53.970288]Total energy: 42729261.72144963
[2022-04-07 22:29:30.399024]Total energy: 42453675.125145994
[2022-04-07 22:31:13.665249]Total energy: 42495223.42126628
[2022-04-07 22:32:55.711540]Total energy: 42611871.45420811
[2022-04-07 22:34:32.502167]Total energy: 42716021.396710604
[2022-04-07 22:36:05.119143]Total energy: 42565735.62004891
[2022-04-07 22:37:38.957463]Total energy: 42713357.78233708
[2022-04-07 22:39:15.852067]Total energy: 42597621.34538957
[2022-04-07 22:41:00.252354]Total energy: 42723534.57524786
[2022-04-07 22:42:41.020175]Total energy: 42567006.868194304
[2022-04-07 22:44:15.642079]Total energy: 42625422.12052453
[2022-04-07 22:45:53.251966]Total energy: 42566936.915104516
[2022-04-07 22:47:28.988536]Total energy: 42553281.830564395
[2022-04-07 22:49:02.140595]Total energy: 42585044.082156286
[2022-04-07 22:50:35.886683]Total energy: 42609308.98154716
[2022-04-07 22:52:09.876157]Total energy: 42634189.93810593
[2022-04-07 22:53:44.385095]Total energy: 42640458.21321839
[2022-04-07 22:55:20.130780]Total energy: 42630278.80873791
[2022-04-07 22:56:55.718339]Total energy: 42578887.12734899
[2022-04-07 22:58:28.552252]Total energy: 42572058.941702016
[2022-04-07 23:00:07.553045]Total energy: 42679319.97734473
[2022-04-07 23:01:52.764780]Total energy: 42548069.64135701
[2022-04-07 23:03:30.471912]Total energy: 42649514.87134003
[2022-04-07 23:05:04.353488]Total energy: 42543811.45550403
[2022-04-07 23:06:37.700339]Total energy: 42616747.151551865
[2022-04-07 23:08:13.160163]Total energy: 42535025.38922182
[2022-04-07 23:09:48.288319]Total energy: 42443668.79190209
[2022-04-07 23:11:31.914519]Total energy: 42436063.3710484
[2022-04-07 23:13:06.822750]Total energy: 42645186.95444027
[2022-04-07 23:14:41.742153]Total energy: 42589796.851615414
[2022-04-07 23:16:23.491236]Total energy: 42555754.51886749
[2022-04-07 23:17:59.941278]Total energy: 42569777.534644574
[2022-04-07 23:19:34.626844]Total energy: 42542711.03369112
[2022-04-07 23:21:18.153070]Total energy: 42701318.1069904
[2022-04-07 23:23:00.855579]Total energy: 42612751.297129236
[2022-04-07 23:24:34.374169]Total energy: 42513458.11484059
[2022-04-07 23:26:06.475646]Total energy: 42564940.671847805
[2022-04-07 23:27:40.819844]Total energy: 42614815.18159291
[2022-04-07 23:29:15.385366]Total energy: 42719804.838779666
[2022-04-07 23:31:02.080789]Total energy: 42449679.68801538
[2022-04-07 23:32:44.167175]Total energy: 42628828.12366285
[2022-04-07 23:34:16.138473]Total energy: 42306563.870245375
[2022-04-07 23:35:49.904314]Total energy: 42578627.230881505
[2022-04-07 23:37:24.128199]Total energy: 42635027.01524342
[2022-04-07 23:38:58.553440]Total energy: 42505525.27819183
[2022-04-07 23:40:45.175140]Total energy: 42455645.65087315
[2022-04-07 23:42:28.757469]Total energy: 42677063.0981307
[2022-04-07 23:44:02.048384]Total energy: 42663028.77882088
[2022-04-07 23:45:39.772104]Total energy: 42543667.11502303
[2022-04-07 23:47:12.939333]Total energy: 42535324.8592481
[2022-04-07 23:48:48.078695]Total energy: 42526466.42930286
[2022-04-07 23:50:27.672735]Total energy: 42380686.78667494
[2022-04-07 23:52:25.160037]Total energy: 42594826.879468024
[2022-04-07 23:54:07.872077]Total energy: 42658463.610364795
[2022-04-07 23:55:45.929179]Total energy: 42490012.032100655
[2022-04-07 23:57:18.311795]Total energy: 42672020.05460215
[2022-04-07 23:58:53.301584]Total energy: 42615693.191712484
[2022-04-08 00:00:33.213265]Total energy: 42571286.40833191
[2022-04-08 00:02:09.480838]Total energy: 42557358.243213855
[2022-04-08 00:03:42.085934]Total energy: 42607929.60273109
[2022-04-08 00:05:21.323229]Total energy: 42520654.032989636
[2022-04-08 00:07:01.196761]Total energy: 42562958.89923579
[2022-04-08 00:08:35.478751]Total energy: 42597777.79790103
[2022-04-08 00:10:08.985315]Total energy: 42539354.28635575
[2022-04-08 00:11:44.057998]Total energy: 42646339.62541912
[2022-04-08 00:13:16.396144]Total energy: 42679776.87012848
[2022-04-08 00:14:50.455698]Total energy: 42480883.27095234
[2022-04-08 00:16:25.724995]Total energy: 42486463.23919058
[2022-04-08 00:18:00.550141]Total energy: 42745722.08814135
[2022-04-08 00:19:35.744332]Total energy: 42447411.16961456
[2022-04-08 00:21:19.318996]Total energy: 42619567.42034525
[2022-04-08 00:23:04.950493]Total energy: 42706863.96242696
[2022-04-08 00:24:42.524920]Total energy: 42790318.721191175
[2022-04-08 00:26:16.083796]Total energy: 42654221.411323525
[2022-04-08 00:27:51.268157]Total energy: 42464906.82152471
[2022-04-08 00:29:25.481024]Total energy: 42532956.94947502
[2022-04-08 00:31:10.255156]Total energy: 42649719.49350023
[2022-04-08 00:32:53.033420]Total energy: 42597488.18029495
[2022-04-08 00:34:27.474459]Total energy: 42465421.42986838
[2022-04-08 00:36:03.007044]Total energy: 42501688.116344444
[2022-04-08 00:37:38.108756]Total energy: 42732944.32736233
[2022-04-08 00:39:10.718285]Total energy: 42546120.6023952
[2022-04-08 00:41:04.684044]Total energy: 42537979.50076158
[2022-04-08 00:42:48.273367]Total energy: 42614428.38918274
[2022-04-08 00:44:22.900303]Total energy: 42678178.74431704
[2022-04-08 00:45:56.908888]Total energy: 42584345.8266315
[2022-04-08 00:47:32.017514]Total energy: 42638379.0929923
[2022-04-08 00:49:07.867857]Total energy: 42397149.67905509
[2022-04-08 00:50:47.886934]Total energy: 42395170.04875277
[2022-04-08 00:52:29.567168]Total energy: 42438710.89636624
[2022-04-08 00:54:07.119439]Total energy: 42549143.2186761
[2022-04-08 00:55:43.490530]Total energy: 42437900.25801371
[2022-04-08 00:57:21.800107]Total energy: 42313362.96724159
[2022-04-08 00:58:57.423737]Total energy: 42388965.30583833
[2022-04-08 01:00:34.700220]Total energy: 42521529.86212367
[2022-04-08 01:02:15.948441]Total energy: 42434179.72383765
[2022-04-08 01:03:51.963140]Total energy: 42365955.63312964
[2022-04-08 01:05:29.061921]Total energy: 42396380.54061359
[2022-04-08 01:07:04.243119]Total energy: 42347145.955622405
[2022-04-08 01:08:39.767997]Total energy: 42478275.96458937
[2022-04-08 01:10:16.416421]Total energy: 42503591.74661501
[2022-04-08 01:11:49.417162]Total energy: 42540437.6189025
[2022-04-08 01:13:23.352024]Total energy: 42455627.441729754
[2022-04-08 01:14:58.534192]Total energy: 42555268.99028868
[2022-04-08 01:16:32.508079]Total energy: 42467030.9858152
[2022-04-08 01:18:06.798980]Total energy: 42446505.46909773
[2022-04-08 01:19:38.161998]Total energy: 42362365.07014026
[2022-04-08 01:21:18.914789]Total energy: 42429209.637442894
[2022-04-08 01:23:01.907645]Total energy: 42555045.685946226
[2022-04-08 01:24:36.668033]Total energy: 42639554.9783178
[2022-04-08 01:26:12.633078]Total energy: 42703934.05829773
[2022-04-08 01:27:45.103458]Total energy: 42480658.4618615
[2022-04-08 01:29:20.141467]Total energy: 42328930.72149827
[2022-04-08 01:30:54.829577]Total energy: 42345579.92966764
[2022-04-08 01:32:30.728306]Total energy: 42435941.19930897
[2022-04-08 01:34:06.257681]Total energy: 42404091.70239983
[2022-04-08 01:35:36.875950]Total energy: 42659491.82890322
[2022-04-08 01:37:17.380790]Total energy: 42375219.9837827
[2022-04-08 01:38:44.662314]Total energy: 42478532.49100101
[2022-04-08 01:40:13.489169]Total energy: 42715865.73405033
[2022-04-08 01:41:53.361342]Total energy: 42504951.668374985
[2022-04-08 01:43:31.969716]Total energy: 42507132.63942758
[2022-04-08 01:45:09.695897]Total energy: 42456635.514931664
[2022-04-08 01:46:46.045364]Total energy: 42457733.58953565
[2022-04-08 01:48:23.461043]Total energy: 42382691.50152342
[2022-04-08 01:50:02.773671]Total energy: 42486769.23984314
[2022-04-08 01:51:42.429376]Total energy: 42421693.077758394
[2022-04-08 01:53:18.375102]Total energy: 42437357.1649742
[2022-04-08 01:54:50.249171]Total energy: 42409682.6122439
[2022-04-08 01:56:29.320051]Total energy: 42455046.146288656
[2022-04-08 01:58:05.436823]Total energy: 42494674.662341066
[2022-04-08 01:59:41.510882]Total energy: 42362599.56176911
[2022-04-08 02:01:39.771173]Total energy: 42519662.718497984
[2022-04-08 02:03:23.713976]Total energy: 42480671.941891335
[2022-04-08 02:04:54.129548]Total energy: 42482783.29682968
[2022-04-08 02:06:25.116781]Total energy: 42514730.9205039
[2022-04-08 02:07:55.593304]Total energy: 42507041.18430508
[2022-04-08 02:09:23.832354]Total energy: 42522226.30804272
[2022-04-08 02:11:00.020732]Total energy: 42594281.76142573
[2022-04-08 02:12:37.736436]Total energy: 42604645.69140409
[2022-04-08 02:14:10.695117]Total energy: 42407147.062934086
[2022-04-08 02:15:40.037888]Total energy: 42579393.72618867
[2022-04-08 02:17:11.392062]Total energy: 42447550.730587244
[2022-04-08 02:18:42.783287]Total energy: 42531823.93184487
[2022-04-08 02:20:10.475858]Total energy: 42574966.92992902
[2022-04-08 02:21:48.200319]Total energy: 42504179.10647054
[2022-04-08 02:23:33.291668]Total energy: 42599867.03386157
[2022-04-08 02:25:09.991140]Total energy: 42499238.87300324
[2022-04-08 02:26:38.819164]Total energy: 42521434.638759956
[2022-04-08 02:28:04.666687]Total energy: 42363231.02741936
[2022-04-08 02:29:35.102886]Total energy: 42450780.89769187
[2022-04-08 02:31:26.717865]Total energy: 42496529.23778533
[2022-04-08 02:32:57.581325]Total energy: 42625016.48716573
[2022-04-08 02:34:21.579218]Total energy: 42667365.27401368
[2022-04-08 02:35:47.751820]Total energy: 42457540.303594746
[2022-04-08 02:37:12.455923]Total energy: 42578022.790048815
[2022-04-08 02:38:36.199315]Total energy: 42534518.328901485
[2022-04-08 02:40:01.057678]Total energy: 42544990.6196173
[2022-04-08 02:41:35.276282]Total energy: 42652900.97044349
[2022-04-08 02:43:14.368594]Total energy: 42484852.63796022
[2022-04-08 02:44:45.834265]Total energy: 42518303.904240265
[2022-04-08 02:46:11.522241]Total energy: 42515886.23055274
[2022-04-08 02:47:35.635578]Total energy: 42521841.50827039
[2022-04-08 02:49:00.469482]Total energy: 42411773.622815356
[2022-04-08 02:50:41.502202]Total energy: 42489620.23962238
[2022-04-08 02:52:13.985992]Total energy: 42569652.42315773
[2022-04-08 02:53:47.471817]Total energy: 42430610.797092885
[2022-04-08 02:55:13.936719]Total energy: 42427996.28924313
[2022-04-08 02:56:39.976239]Total energy: 42693090.35754704
[2022-04-08 02:58:06.147126]Total energy: 42476326.581571884
[2022-04-08 02:59:32.902970]Total energy: 42449840.923856504
[2022-04-08 03:01:05.559592]Total energy: 42337629.76136666
[2022-04-08 03:02:42.405097]Total energy: 42451695.20883606
[2022-04-08 03:04:06.276547]Total energy: 42524629.37790218
[2022-04-08 03:05:30.278653]Total energy: 42576051.52730763
[2022-04-08 03:06:55.099963]Total energy: 42501942.27672108
[2022-04-08 03:08:20.719239]Total energy: 42543653.69165968
[2022-04-08 03:09:44.835435]Total energy: 42515684.4561285
[2022-04-08 03:11:12.210541]Total energy: 42481080.633896425
[2022-04-08 03:12:35.666702]Total energy: 42446610.43246263
[2022-04-08 03:14:01.921360]Total energy: 42559418.84332135
[2022-04-08 03:15:30.676317]Total energy: 42604056.936618604
[2022-04-08 03:16:54.630963]Total energy: 42582088.594328605
[2022-04-08 03:18:18.182934]Total energy: 42422847.91920542
[2022-04-08 03:19:43.862071]Total energy: 42608488.762184046
[2022-04-08 03:21:26.465318]Total energy: 42538162.790296495
[2022-04-08 03:23:02.792057]Total energy: 42355165.18692233
[2022-04-08 03:24:44.152945]Total energy: 42441998.73219824
[2022-04-08 03:26:16.790532]Total energy: 42526533.21238647
[2022-04-08 03:27:44.869368]Total energy: 42367945.57871596
[2022-04-08 03:29:08.233183]Total energy: 42552240.90396644
[2022-04-08 03:30:58.029476]Total energy: 42503897.42160918
[2022-04-08 03:32:42.360849]Total energy: 42512736.08378459
[2022-04-08 03:34:08.248441]Total energy: 42398072.27326667
[2022-04-08 03:35:34.008578]Total energy: 42494794.34568572
[2022-04-08 03:36:59.530189]Total energy: 42464751.052677356
[2022-04-08 03:38:25.277318]Total energy: 42421885.63701499
[2022-04-08 03:39:49.804829]Total energy: 42455083.683046795
[2022-04-08 03:41:21.989746]Total energy: 42227193.00299559
[2022-04-08 03:42:53.599908]Total energy: 42297712.13189746
[2022-04-08 03:44:26.810739]Total energy: 42246897.74096919
[2022-04-08 03:45:59.054068]Total energy: 42058270.48826778
[2022-04-08 03:47:29.450723]Total energy: 42183756.55455982
[2022-04-08 03:48:57.467294]Total energy: 42100861.275953874
[2022-04-08 03:50:51.878775]Total energy: 42071333.020923495
[2022-04-08 03:52:28.048166]Total energy: 42200587.70984154
[2022-04-08 03:53:55.712164]Total energy: 42188035.419617295
[2022-04-08 03:55:34.029998]Total energy: 42273402.62460341
[2022-04-08 03:57:11.101808]Total energy: 42174178.995447025
[2022-04-08 03:58:41.182801]Total energy: 42198971.05803687
[2022-04-08 04:00:15.008395]Total energy: 42218557.89820312
[2022-04-08 04:01:50.299317]Total energy: 42104218.1888282
[2022-04-08 04:03:30.921991]Total energy: 42240022.46092661
[2022-04-08 04:04:59.249420]Total energy: 42274502.88560432
[2022-04-08 04:06:28.638248]Total energy: 42132002.340909176
[2022-04-08 04:07:56.168254]Total energy: 42188458.495697446
[2022-04-08 04:09:26.593086]Total energy: 42244216.48983099
[2022-04-08 04:11:08.977284]Total energy: 42237952.07051994
[2022-04-08 04:12:45.572023]Total energy: 42247929.783508204
[2022-04-08 04:14:15.168230]Total energy: 42078360.91832333
[2022-04-08 04:15:47.216680]Total energy: 42180780.00192368
[2022-04-08 04:17:15.417221]Total energy: 42265236.7271149
[2022-04-08 04:18:47.606075]Total energy: 42304114.85802033
[2022-04-08 04:20:16.082427]Total energy: 42162323.365039036
[2022-04-08 04:21:46.711293]Total energy: 42219792.47562714
[2022-04-08 04:23:14.593981]Total energy: 42223908.96203801
[2022-04-08 04:24:48.668303]Total energy: 42215596.131613284
[2022-04-08 04:26:18.841724]Total energy: 42179775.341977015
[2022-04-08 04:27:48.106398]Total energy: 42072021.28385484
[2022-04-08 04:29:19.569039]Total energy: 42222460.632086135
[2022-04-08 04:30:58.064782]Total energy: 42146749.78620576
[2022-04-08 04:32:40.002915]Total energy: 42191547.100064464
[2022-04-08 04:34:08.696930]Total energy: 42343863.539507285
[2022-04-08 04:35:38.532775]Total energy: 42332371.53646491
[2022-04-08 04:37:03.341699]Total energy: 41962018.52417005
[2022-04-08 04:38:28.917005]Total energy: 42023567.67918932
[2022-04-08 04:39:53.820824]Total energy: 42226169.77647291
[2022-04-08 04:41:28.283019]Total energy: 42282270.337534316
[2022-04-08 04:43:11.336057]Total energy: 42310780.74960967
[2022-04-08 04:44:56.097858]Total energy: 42201259.864993975
[2022-04-08 04:46:26.777616]Total energy: 41992747.70537958
[2022-04-08 04:47:57.462162]Total energy: 42228387.518580064
[2022-04-08 04:49:28.888265]Total energy: 42080492.12081939
[2022-04-08 04:51:27.596815]Total energy: 42233295.98518474
[2022-04-08 04:53:29.335102]Total energy: 42163732.444975585
[2022-04-08 04:55:05.908481]Total energy: 42338988.812372044
[2022-04-08 04:56:34.983850]Total energy: 42185290.6994344
[2022-04-08 04:58:04.908658]Total energy: 42154271.61468691
[2022-04-08 04:59:34.592796]Total energy: 42344818.48129328
[2022-04-08 05:01:03.922956]Total energy: 42055545.22971556
[2022-04-08 05:02:31.758566]Total energy: 42393042.75490952
[2022-04-08 05:03:59.778321]Total energy: 42174446.04072178
[2022-04-08 05:05:29.499424]Total energy: 42184214.670590356
[2022-04-08 05:06:57.392615]Total energy: 42086208.42163088
[2022-04-08 05:08:26.394203]Total energy: 42225335.270107746
[2022-04-08 05:09:55.366796]Total energy: 42069774.18492658
[2022-04-08 05:11:31.125000]Total energy: 42186096.98993148
[2022-04-08 05:13:04.803650]Total energy: 42230609.18733549
[2022-04-08 05:14:34.478667]Total energy: 42163214.71808889
[2022-04-08 05:16:04.347544]Total energy: 41895070.005712256
[2022-04-08 05:17:32.148863]Total energy: 42157017.18418095
[2022-04-08 05:19:01.237299]Total energy: 42155483.95363208
[2022-04-08 05:20:30.394404]Total energy: 42151786.21732979
[2022-04-08 05:21:59.729304]Total energy: 42392960.93200587
[2022-04-08 05:23:29.202760]Total energy: 42327621.60566356
[2022-04-08 05:24:59.254404]Total energy: 42249395.52854485
[2022-04-08 05:26:28.684617]Total energy: 42244219.295870595
[2022-04-08 05:27:58.355010]Total energy: 42423661.74198918
[2022-04-08 05:29:30.386508]Total energy: 42144810.011133015
[2022-04-08 05:31:11.569248]Total energy: 42054312.255303964
[2022-04-08 05:32:50.241500]Total energy: 42155011.1532631
[2022-04-08 05:34:19.597764]Total energy: 42361421.57422934
[2022-04-08 05:35:51.629134]Total energy: 42189620.1623252
[2022-04-08 05:37:21.935211]Total energy: 42259628.87490375
[2022-04-08 05:38:47.221699]Total energy: 42114435.64037866
[2022-04-08 05:40:12.363645]Total energy: 42168596.80882846
[2022-04-08 05:41:49.478234]Total energy: 42298732.14569857
[2022-04-08 05:43:24.439576]Total energy: 42089019.22942354
[2022-04-08 05:44:56.894187]Total energy: 42331082.57530993
[2022-04-08 05:46:23.813041]Total energy: 42124281.63467622
[2022-04-08 05:47:50.385381]Total energy: 42182841.900410786
[2022-04-08 05:49:15.100138]Total energy: 42255256.99640457
[2022-04-08 05:50:40.422054]Total energy: 42204625.37551556
[2022-04-08 05:52:05.729162]Total energy: 42322890.386270314
[2022-04-08 05:53:31.383981]Total energy: 42374817.73784769
[2022-04-08 05:54:56.889280]Total energy: 42328252.568839386
[2022-04-08 05:56:21.361710]Total energy: 42100287.78233019
[2022-04-08 05:57:45.800483]Total energy: 42134112.52116779
[2022-04-08 05:59:10.534580]Total energy: 42078952.84865139
[2022-04-08 06:00:45.506051]Total energy: 42132167.88522645
[2022-04-08 06:02:18.544812]Total energy: 42279086.46400921
[2022-04-08 06:03:45.450534]Total energy: 42058422.7440075
[2022-04-08 06:05:10.895577]Total energy: 42160611.33276829
[2022-04-08 06:06:36.839419]Total energy: 42030922.99177614
[2022-04-08 06:08:01.708496]Total energy: 42140762.24502745
[2022-04-08 06:09:28.536466]Total energy: 41999089.71289979
[2022-04-08 06:11:00.833190]Total energy: 42213328.076499835
[2022-04-08 06:12:26.456401]Total energy: 42035094.386153996
[2022-04-08 06:13:50.230109]Total energy: 42080897.98945847
[2022-04-08 06:15:30.647531]Total energy: 42162469.28055299
[2022-04-08 06:17:01.208549]Total energy: 42141945.105718486
[2022-04-08 06:18:26.255293]Total energy: 42182880.63296807
[2022-04-08 06:19:54.242815]Total energy: 42228702.25362059
[2022-04-08 06:21:24.389818]Total energy: 42084636.839705706
[2022-04-08 06:22:53.074568]Total energy: 42064850.726235636
[2022-04-08 06:25:09.324732]Total energy: 42207294.69599787
[2022-04-08 06:26:35.773514]Total energy: 41972522.324305676
[2022-04-08 06:28:00.185323]Total energy: 42129003.93331158
[2022-04-08 06:29:27.250718]Total energy: 42048299.88528537
[2022-04-08 06:30:54.261655]Total energy: 42182838.07904905
[2022-04-08 06:32:19.797014]Total energy: 42201399.88434627
[2022-04-08 06:33:44.964470]Total energy: 42171229.428755365
[2022-04-08 06:35:13.391052]Total energy: 41925874.64734449
[2022-04-08 06:36:38.735595]Total energy: 41959121.568225905
[2022-04-08 06:38:03.652202]Total energy: 42280700.79315998
[2022-04-08 06:39:30.549342]Total energy: 42063631.08882198
[2022-04-08 06:40:56.529412]Total energy: 42149161.74584487
[2022-04-08 06:42:23.027517]Total energy: 42173020.5684424
[2022-04-08 06:43:51.660286]Total energy: 42112313.30306409
[2022-04-08 06:45:16.995215]Total energy: 42193314.137380555
[2022-04-08 06:46:42.491383]Total energy: 42237623.64586282
[2022-04-08 06:48:09.188306]Total energy: 42271161.12856674
[2022-04-08 06:49:34.327690]Total energy: 42092853.31275064
[2022-04-08 06:51:17.717861]Total energy: 42191434.24341668
[2022-04-08 06:53:01.789939]Total energy: 42226374.95876164
[2022-04-08 06:54:41.306512]Total energy: 42083272.011721015
[2022-04-08 06:56:20.394798]Total energy: 42124786.49481654
[2022-04-08 06:57:47.529416]Total energy: 42073099.791387305
[2022-04-08 06:59:11.650964]Total energy: 42109072.06901897
[2022-04-08 07:00:58.517765]Total energy: 42209333.49928813
[2022-04-08 07:02:45.053949]Total energy: 42102610.12905058
[2022-04-08 07:04:21.997638]Total energy: 42139300.00382763
[2022-04-08 07:05:53.970147]Total energy: 42267745.90765514
[2022-04-08 07:07:18.861430]Total energy: 42155467.59902341
[2022-04-08 07:08:44.050107]Total energy: 42191786.78886982
[2022-04-08 07:10:07.966613]Total energy: 42048159.06068732
