initial: 116 - optimal_only_seed
[2022-04-08 01:23:30.289984]Total energy: 98711210.15189828
[2022-04-08 01:24:44.309184]Total energy: 98947205.03198837
[2022-04-08 01:25:59.091711]Total energy: 98814268.492369
[2022-04-08 01:27:13.309242]Total energy: 99027579.56672832
[2022-04-08 01:28:27.525598]Total energy: 98615346.71601038
[2022-04-08 01:29:41.923627]Total energy: 98944234.84781836
[2022-04-08 01:31:02.196071]Total energy: 98789222.06007478
[2022-04-08 01:32:25.610671]Total energy: 99040465.72457278
[2022-04-08 01:33:42.201605]Total energy: 98916388.27879384
[2022-04-08 01:34:55.979103]Total energy: 98799301.06186596
[2022-04-08 01:36:25.416046]Total energy: 98970410.36822206
[2022-04-08 01:37:39.854435]Total energy: 98896882.33319439
[2022-04-08 01:38:52.874333]Total energy: 98870204.13809562
[2022-04-08 01:40:06.897741]Total energy: 98881478.63425237
[2022-04-08 01:41:42.533104]Total energy: 98777382.41260739
[2022-04-08 01:43:04.685680]Total energy: 98879591.150668
[2022-04-08 01:44:17.778146]Total energy: 98729023.7288234
[2022-04-08 01:45:31.340131]Total energy: 99007599.10458693
[2022-04-08 01:46:45.917428]Total energy: 98856202.43257813
[2022-04-08 01:48:00.075051]Total energy: 99033003.34989814
[2022-04-08 01:49:17.451198]Total energy: 99044939.52989379
[2022-04-08 01:50:55.226530]Total energy: 98762475.4114539
[2022-04-08 01:52:17.893302]Total energy: 98968672.2684091
[2022-04-08 01:53:32.430831]Total energy: 98803524.24939942
[2022-04-08 01:54:45.501784]Total energy: 98938945.01911353
[2022-04-08 01:56:00.836523]Total energy: 98787995.21387286
[2022-04-08 01:57:15.977989]Total energy: 98857001.78183779
[2022-04-08 01:58:29.619581]Total energy: 98977540.70201598
[2022-04-08 01:59:43.006915]Total energy: 98923453.17476685
[2022-04-08 02:01:03.357792]Total energy: 99000114.2301823
[2022-04-08 02:02:25.464457]Total energy: 98872760.83028573
[2022-04-08 02:03:40.047738]Total energy: 98846037.49128993
[2022-04-08 02:04:56.381240]Total energy: 98685924.81687143
[2022-04-08 02:06:11.011185]Total energy: 98780240.03904544
[2022-04-08 02:07:24.619540]Total energy: 98754278.16912527
[2022-04-08 02:08:41.191619]Total energy: 98660450.03250675
[2022-04-08 02:09:53.648367]Total energy: 98775055.06027266
[2022-04-08 02:11:18.913789]Total energy: 99035211.18727314
[2022-04-08 02:12:38.596804]Total energy: 98854818.33925432
[2022-04-08 02:13:53.136323]Total energy: 98847958.92065161
[2022-04-08 02:15:08.145262]Total energy: 98902068.77467053
[2022-04-08 02:16:20.942098]Total energy: 98958049.22406968
[2022-04-08 02:17:34.686267]Total energy: 98880492.86645798
[2022-04-08 02:18:53.135880]Total energy: 98746351.48862298
[2022-04-08 02:20:07.621182]Total energy: 98923260.42589584
[2022-04-08 02:21:34.593006]Total energy: 98757801.59963946
[2022-04-08 02:23:00.173050]Total energy: 98785197.58010586
[2022-04-08 02:24:15.644660]Total energy: 98691151.95459929
[2022-04-08 02:25:38.087174]Total energy: 98766143.8626384
[2022-04-08 02:26:52.940619]Total energy: 98747772.8468398
[2022-04-08 02:28:06.758421]Total energy: 98863846.93649486
[2022-04-08 02:29:19.180212]Total energy: 98631557.09007247
[2022-04-08 02:30:38.556716]Total energy: 98620198.31525768
[2022-04-08 02:31:54.856735]Total energy: 98909215.32220909
[2022-04-08 02:33:08.996611]Total energy: 98851763.87886983
[2022-04-08 02:34:22.574689]Total energy: 98658928.4119763
[2022-04-08 02:35:35.257088]Total energy: 98679976.60301228
[2022-04-08 02:36:49.178911]Total energy: 98833634.10414256
[2022-04-08 02:38:01.872151]Total energy: 98894571.01971596
[2022-04-08 02:39:15.386652]Total energy: 98797984.5935206
[2022-04-08 02:40:58.382241]Total energy: 98738593.19495714
[2022-04-08 02:42:47.028721]Total energy: 98789606.40030962
[2022-04-08 02:44:12.307765]Total energy: 98881848.4392222
[2022-04-08 02:45:25.364743]Total energy: 98892610.77027844
[2022-04-08 02:46:40.032418]Total energy: 98857502.7970523
[2022-04-08 02:47:54.368853]Total energy: 98690634.93682037
[2022-04-08 02:49:08.735157]Total energy: 98910624.23987755
[2022-04-08 02:50:22.443930]Total energy: 98785198.46312194
[2022-04-08 02:51:40.951945]Total energy: 98958113.33420514
[2022-04-08 02:53:07.410520]Total energy: 98685779.89344572
[2022-04-08 02:54:23.307568]Total energy: 98775183.37266086
[2022-04-08 02:55:36.217782]Total energy: 98709526.67617092
[2022-04-08 02:56:49.626906]Total energy: 98667058.0939634
[2022-04-08 02:58:03.335379]Total energy: 98828935.13807712
[2022-04-08 02:59:16.773509]Total energy: 98800072.17594858
[2022-04-08 03:01:05.225229]Total energy: 98925926.37386258
[2022-04-08 03:02:40.456386]Total energy: 98529998.44881782
[2022-04-08 03:03:56.352535]Total energy: 98816081.78478815
[2022-04-08 03:05:11.500282]Total energy: 98761382.58873177
[2022-04-08 03:06:25.718929]Total energy: 98706839.2580173
[2022-04-08 03:07:39.393327]Total energy: 98853953.80110982
[2022-04-08 03:08:53.828882]Total energy: 98703124.65622014
[2022-04-08 03:10:07.018787]Total energy: 98783770.07845911
[2022-04-08 03:11:21.100928]Total energy: 98748094.56618589
[2022-04-08 03:12:33.506052]Total energy: 98755018.95946386
[2022-04-08 03:13:47.089948]Total energy: 98703134.98570856
[2022-04-08 03:15:04.735567]Total energy: 98842367.40020172
[2022-04-08 03:16:18.865002]Total energy: 98695502.90550785
[2022-04-08 03:17:32.133577]Total energy: 98882285.29688676
[2022-04-08 03:18:45.711512]Total energy: 98836417.98221333
[2022-04-08 03:20:00.831924]Total energy: 98852742.21000448
[2022-04-08 03:21:31.270991]Total energy: 98928430.58844584
[2022-04-08 03:23:06.360753]Total energy: 98782266.20446868
[2022-04-08 03:24:36.024702]Total energy: 98808562.07282828
[2022-04-08 03:25:59.980145]Total energy: 98828927.44496699
[2022-04-08 03:27:18.367061]Total energy: 98828174.78680345
[2022-04-08 03:28:33.061267]Total energy: 98762147.13948476
[2022-04-08 03:29:47.101963]Total energy: 98873466.3668053
[2022-04-08 03:31:10.241460]Total energy: 98654995.53244196
[2022-04-08 03:32:43.433214]Total energy: 98628519.06783955
[2022-04-08 03:34:00.232190]Total energy: 98974852.4270722
[2022-04-08 03:35:16.144696]Total energy: 98953470.6063616
[2022-04-08 03:36:30.103310]Total energy: 98941105.9939268
[2022-04-08 03:37:43.265257]Total energy: 98795275.6609031
[2022-04-08 03:38:57.020911]Total energy: 98999763.68791695
[2022-04-08 03:40:14.273500]Total energy: 98668830.13913874
[2022-04-08 03:41:28.089207]Total energy: 98597135.22755149
[2022-04-08 03:42:42.504740]Total energy: 98911492.26776072
[2022-04-08 03:43:57.292329]Total energy: 98832563.23142673
[2022-04-08 03:45:13.527107]Total energy: 98756491.17397515
[2022-04-08 03:46:32.086714]Total energy: 98580237.4690216
[2022-04-08 03:47:46.073147]Total energy: 98821186.06545366
[2022-04-08 03:49:00.054433]Total energy: 98927082.52282554
[2022-04-08 03:50:13.724143]Total energy: 98843431.72120127
[2022-04-08 03:51:26.511599]Total energy: 98776476.65384659
[2022-04-08 03:52:39.820328]Total energy: 98701052.24627638
[2022-04-08 03:53:53.657066]Total energy: 98721775.20751244
[2022-04-08 03:55:13.212786]Total energy: 98728565.95940335
[2022-04-08 03:56:38.038834]Total energy: 98778707.69778675
[2022-04-08 03:57:51.209296]Total energy: 98907051.76185286
[2022-04-08 03:59:03.979812]Total energy: 98894152.76904587
[2022-04-08 04:00:17.484008]Total energy: 98883490.86778615
[2022-04-08 04:01:42.865218]Total energy: 98808173.89223538
[2022-04-08 04:03:02.777531]Total energy: 98944675.45803681
[2022-04-08 04:04:16.038843]Total energy: 98692132.31817168
[2022-04-08 04:05:30.339345]Total energy: 98901868.46229264
[2022-04-08 04:06:43.718357]Total energy: 98692243.68346891
[2022-04-08 04:07:56.970505]Total energy: 98912628.94759002
[2022-04-08 04:09:13.922679]Total energy: 98939063.48062325
[2022-04-08 04:10:33.295036]Total energy: 98815787.50892727
[2022-04-08 04:11:55.860203]Total energy: 98843580.37496625
[2022-04-08 04:13:10.252424]Total energy: 98917919.2113997
[2022-04-08 04:14:24.810536]Total energy: 98850335.19166265
[2022-04-08 04:15:40.432605]Total energy: 98797943.47379917
[2022-04-08 04:16:55.464307]Total energy: 98618069.00078335
[2022-04-08 04:18:09.663563]Total energy: 98761334.49609455
[2022-04-08 04:19:25.652468]Total energy: 98636419.57669523
[2022-04-08 04:20:45.090953]Total energy: 98798311.88404943
[2022-04-08 04:22:14.080277]Total energy: 98818996.33471023
[2022-04-08 04:23:36.527328]Total energy: 98681732.12919524
[2022-04-08 04:24:52.269427]Total energy: 98705317.7722622
[2022-04-08 04:26:07.020503]Total energy: 98850832.31191787
[2022-04-08 04:27:20.802058]Total energy: 98789650.1578626
[2022-04-08 04:28:36.795855]Total energy: 98878760.88537739
[2022-04-08 04:29:50.810337]Total energy: 98865532.88691601
[2022-04-08 04:31:16.736118]Total energy: 98796536.29490013
[2022-04-08 04:32:39.790493]Total energy: 98815490.19523521
[2022-04-08 04:33:52.727053]Total energy: 98947745.51827508
[2022-04-08 04:35:08.896359]Total energy: 98887542.25156057
[2022-04-08 04:36:22.421396]Total energy: 98915920.13425972
[2022-04-08 04:37:36.594005]Total energy: 98758325.69733252
[2022-04-08 04:38:51.505050]Total energy: 98723391.3854221
[2022-04-08 04:40:06.083172]Total energy: 98756284.34605397
[2022-04-08 04:41:31.191583]Total energy: 98734846.63952568
[2022-04-08 04:43:06.131647]Total energy: 98777207.48381297
[2022-04-08 04:44:33.147292]Total energy: 98891817.65761666
[2022-04-08 04:45:54.280253]Total energy: 98727789.15147713
[2022-04-08 04:47:07.930396]Total energy: 98920537.25305238
[2022-04-08 04:48:25.641461]Total energy: 98899151.92458533
[2022-04-08 04:49:40.141313]Total energy: 98968047.99135229
[2022-04-08 04:51:15.224127]Total energy: 98725263.46113445
[2022-04-08 04:52:59.160230]Total energy: 98755733.52962773
[2022-04-08 04:54:27.187394]Total energy: 98744002.00536133
[2022-04-08 04:55:49.460580]Total energy: 98657148.60355175
[2022-04-08 04:57:05.858208]Total energy: 98646094.53171524
[2022-04-08 04:58:19.760368]Total energy: 98855605.55585383
[2022-04-08 04:59:33.187480]Total energy: 98748178.69535522
[2022-04-08 05:00:48.016280]Total energy: 98730787.73012452
[2022-04-08 05:02:01.798298]Total energy: 98889232.47368486
[2022-04-08 05:03:15.048434]Total energy: 98848237.71767446
[2022-04-08 05:04:28.472357]Total energy: 98915789.68399277
[2022-04-08 05:05:46.164611]Total energy: 98706595.58581983
[2022-04-08 05:06:59.854349]Total energy: 98588625.04956943
[2022-04-08 05:08:14.341948]Total energy: 98806435.9048113
[2022-04-08 05:09:28.828094]Total energy: 98706057.75877634
[2022-04-08 05:10:51.067212]Total energy: 98824647.97756259
[2022-04-08 05:12:16.230721]Total energy: 98935360.42700763
[2022-04-08 05:13:33.753122]Total energy: 98832242.40475902
[2022-04-08 05:14:48.343644]Total energy: 98805723.00770037
[2022-04-08 05:16:02.277769]Total energy: 98778122.13746892
[2022-04-08 05:17:16.560554]Total energy: 98795124.6632167
[2022-04-08 05:18:31.741847]Total energy: 98733386.1435404
[2022-04-08 05:19:46.790695]Total energy: 98812331.46394724
[2022-04-08 05:21:04.344809]Total energy: 98803150.4382813
[2022-04-08 05:22:19.079364]Total energy: 98808151.51844469
[2022-04-08 05:23:32.335917]Total energy: 98702198.7541889
[2022-04-08 05:24:47.686081]Total energy: 98755614.9570079
[2022-04-08 05:26:01.823209]Total energy: 98836069.67211218
[2022-04-08 05:27:16.094840]Total energy: 98871243.12904635
[2022-04-08 05:28:30.327400]Total energy: 98753298.70325865
[2022-04-08 05:29:44.379358]Total energy: 98835073.27919386
[2022-04-08 05:31:06.000633]Total energy: 98887406.45507818
[2022-04-08 05:32:23.367628]Total energy: 98752052.57392313
[2022-04-08 05:33:36.409827]Total energy: 98794640.91919784
[2022-04-08 05:34:50.158369]Total energy: 98773550.43058744
[2022-04-08 05:36:07.914926]Total energy: 98833215.39116836
[2022-04-08 05:37:22.589535]Total energy: 98728715.82298654
[2022-04-08 05:38:36.566594]Total energy: 98775285.68681826
[2022-04-08 05:39:51.524879]Total energy: 98654500.313157
[2022-04-08 05:41:26.440029]Total energy: 98626305.71957323
[2022-04-08 05:42:56.261229]Total energy: 98837251.55114043
[2022-04-08 05:44:20.166386]Total energy: 98781801.94702825
[2022-04-08 05:45:34.166136]Total energy: 98799028.31692612
[2022-04-08 05:46:47.929818]Total energy: 98842211.65326694
[2022-04-08 05:48:03.503804]Total energy: 98830266.56012903
[2022-04-08 05:49:17.724459]Total energy: 98864750.33604859
[2022-04-08 05:50:36.198709]Total energy: 98719264.7527464
[2022-04-08 05:51:59.618459]Total energy: 99087811.38944486
[2022-04-08 05:53:19.059077]Total energy: 98861233.55106704
[2022-04-08 05:54:32.584686]Total energy: 98778103.69642203
[2022-04-08 05:55:46.308986]Total energy: 98705192.52584368
[2022-04-08 05:56:59.917394]Total energy: 98680518.87614793
[2022-04-08 05:58:13.546883]Total energy: 98663699.78323866
[2022-04-08 05:59:27.823747]Total energy: 98825733.61286865
[2022-04-08 06:00:53.643415]Total energy: 98827950.53861675
[2022-04-08 06:02:09.393519]Total energy: 98638221.32375266
[2022-04-08 06:03:23.185170]Total energy: 98612760.87362799
[2022-04-08 06:04:37.094549]Total energy: 98877453.39372303
[2022-04-08 06:05:51.639179]Total energy: 98652117.0051835
[2022-04-08 06:07:05.063945]Total energy: 98867581.91741948
[2022-04-08 06:08:19.517918]Total energy: 98857636.26086184
[2022-04-08 06:09:32.837538]Total energy: 98907631.34170122
[2022-04-08 06:11:00.775405]Total energy: 98937018.11153482
[2022-04-08 06:12:15.252560]Total energy: 98841175.06289387
[2022-04-08 06:13:30.497307]Total energy: 98523080.1596121
[2022-04-08 06:14:50.350671]Total energy: 98721305.97753821
[2022-04-08 06:16:19.029351]Total energy: 98731734.10628843
[2022-04-08 06:17:34.487607]Total energy: 98639027.9246232
[2022-04-08 06:18:48.447293]Total energy: 98804185.61140233
[2022-04-08 06:20:02.164839]Total energy: 98820008.98627385
[2022-04-08 06:21:21.343135]Total energy: 98814008.97121185
[2022-04-08 06:22:39.831951]Total energy: 98887194.42540608
[2022-04-08 06:24:45.587602]Total energy: 98836426.75220844
[2022-04-08 06:26:02.209842]Total energy: 98751781.47659224
[2022-04-08 06:27:15.778771]Total energy: 98909714.76976494
[2022-04-08 06:28:28.598322]Total energy: 98722798.8773274
[2022-04-08 06:29:42.559772]Total energy: 98798362.44796476
[2022-04-08 06:30:57.568200]Total energy: 98868693.71165219
[2022-04-08 06:32:11.407656]Total energy: 98702092.06907246
[2022-04-08 06:33:25.428564]Total energy: 98971128.9087466
[2022-04-08 06:34:39.557688]Total energy: 98858725.99142009
[2022-04-08 06:35:55.704855]Total energy: 98966284.42196846
[2022-04-08 06:37:10.047675]Total energy: 98555584.05522187
[2022-04-08 06:38:26.816669]Total energy: 99043450.53216206
[2022-04-08 06:39:40.387518]Total energy: 98750181.84266022
[2022-04-08 06:41:02.060811]Total energy: 98939539.2885209
[2022-04-08 06:42:20.440760]Total energy: 98805246.51513864
[2022-04-08 06:43:34.371075]Total energy: 98817512.00182818
[2022-04-08 06:44:48.393701]Total energy: 98700734.19652298
[2022-04-08 06:46:01.638489]Total energy: 98877279.97379275
[2022-04-08 06:47:15.363101]Total energy: 98674410.77369627
[2022-04-08 06:48:31.619732]Total energy: 98819735.97372684
[2022-04-08 06:49:45.375045]Total energy: 98799905.33579904
[2022-04-08 06:51:05.565980]Total energy: 98722041.06586659
[2022-04-08 06:52:27.317176]Total energy: 98786705.85269853
[2022-04-08 06:53:49.724170]Total energy: 98735894.25561604
[2022-04-08 06:55:17.175617]Total energy: 98784904.34973504
[2022-04-08 06:56:32.523693]Total energy: 98798342.02375203
[2022-04-08 06:57:45.955575]Total energy: 98772388.16068794
[2022-04-08 06:58:59.545149]Total energy: 98908152.79520494
[2022-04-08 07:00:13.627808]Total energy: 98788357.89439057
[2022-04-08 07:01:39.382981]Total energy: 98947226.26575135
[2022-04-08 07:03:00.468675]Total energy: 98825189.76852578
[2022-04-08 07:04:17.000372]Total energy: 98759509.2200886
[2022-04-08 07:05:39.026953]Total energy: 98863753.81284235
[2022-04-08 07:06:54.063246]Total energy: 98756109.36543138
[2022-04-08 07:08:08.006251]Total energy: 98733313.40980436
[2022-04-08 07:09:22.118965]Total energy: 98675430.16074036
[2022-04-08 07:11:00.120842]Total energy: 98724113.20146798
[2022-04-08 07:12:15.962405]Total energy: 98825667.41315016
[2022-04-08 07:13:29.321982]Total energy: 98812541.55699308
[2022-04-08 07:14:43.128792]Total energy: 98947783.42375116
[2022-04-08 07:15:57.558777]Total energy: 98748163.91302021
[2022-04-08 07:17:11.174036]Total energy: 98904850.54450779
[2022-04-08 07:18:25.216579]Total energy: 98806406.01068178
[2022-04-08 07:19:38.473773]Total energy: 98896329.48129849
[2022-04-08 07:21:01.392508]Total energy: 98868590.24321218
[2022-04-08 07:22:24.031385]Total energy: 98892938.99812415
[2022-04-08 07:23:37.398543]Total energy: 98802664.28314534
[2022-04-08 07:24:50.186098]Total energy: 98639224.41911186
[2022-04-08 07:26:06.823542]Total energy: 98795811.75676766
[2022-04-08 07:27:20.043103]Total energy: 98813981.32185225
[2022-04-08 07:28:33.610318]Total energy: 98685081.00731008
[2022-04-08 07:29:47.879241]Total energy: 98760169.74745484
[2022-04-08 07:31:10.198265]Total energy: 98768093.4087235
[2022-04-08 07:32:34.139618]Total energy: 98900796.33826701
[2022-04-08 07:33:50.000103]Total energy: 98729718.45872986
[2022-04-08 07:35:03.343856]Total energy: 98766825.40197448
[2022-04-08 07:36:16.823177]Total energy: 98712352.75059174
[2022-04-08 07:37:30.445009]Total energy: 98609665.30616438
[2022-04-08 07:38:44.133784]Total energy: 98638606.51835765
[2022-04-08 07:39:58.415796]Total energy: 98863121.04568285
[2022-04-08 07:41:21.840560]Total energy: 98679641.27630827
[2022-04-08 07:42:39.056713]Total energy: 98680139.1930772
[2022-04-08 07:43:51.925330]Total energy: 98887981.64092188
[2022-04-08 07:45:07.082088]Total energy: 98653429.80859166
[2022-04-08 07:46:21.070061]Total energy: 98730496.4298404
[2022-04-08 07:47:35.935625]Total energy: 98627105.30361046
[2022-04-08 07:48:50.158590]Total energy: 98718547.30003792
[2022-04-08 07:50:04.244400]Total energy: 98715505.52760935
[2022-04-08 07:51:17.864686]Total energy: 98792121.20109303
[2022-04-08 07:52:30.539949]Total energy: 98575019.246392
[2022-04-08 07:53:44.665824]Total energy: 98864860.97543304
[2022-04-08 07:54:59.936552]Total energy: 98835752.21149501
[2022-04-08 07:56:13.544223]Total energy: 98810006.69722614
[2022-04-08 07:57:27.228245]Total energy: 98818128.55002645
[2022-04-08 07:58:41.393238]Total energy: 98851852.18592876
[2022-04-08 07:59:54.848063]Total energy: 98715029.47975077
[2022-04-08 08:01:19.148519]Total energy: 98875428.94172464
[2022-04-08 08:02:35.279732]Total energy: 98675483.12959372
[2022-04-08 08:03:51.355099]Total energy: 98689382.18756811
[2022-04-08 08:05:05.865748]Total energy: 98733913.18194646
[2022-04-08 08:06:20.313069]Total energy: 98928886.57009327
[2022-04-08 08:07:34.372860]Total energy: 98762577.99237362
[2022-04-08 08:08:48.711165]Total energy: 98689591.23276246
[2022-04-08 08:10:02.208387]Total energy: 98882216.02808855
[2022-04-08 08:11:31.104417]Total energy: 98690105.88797544
[2022-04-08 08:13:05.468688]Total energy: 98705721.64527139
