initial: all - diverse_no_blind_all
[2022-04-09 16:51:10.749172]Total energy: 16665660.086459097
[2022-04-09 16:52:37.729239]Total energy: 16620510.132055705
[2022-04-09 16:53:52.466905]Total energy: 16618772.804939732
[2022-04-09 16:55:08.229268]Total energy: 16635217.672114123
[2022-04-09 16:56:22.738124]Total energy: 16611415.287568258
[2022-04-09 16:57:36.787842]Total energy: 16642895.646626284
[2022-04-09 16:58:51.298463]Total energy: 16646910.19815124
[2022-04-09 17:00:08.138274]Total energy: 16594710.213129265
[2022-04-09 17:01:37.317728]Total energy: 16603305.69486811
[2022-04-09 17:03:10.017226]Total energy: 16623580.286703855
[2022-04-09 17:04:34.265128]Total energy: 16598972.443740308
[2022-04-09 17:05:49.878949]Total energy: 16612345.05074427
[2022-04-09 17:07:05.528150]Total energy: 16657552.275058473
[2022-04-09 17:08:19.951385]Total energy: 16609093.866608346
[2022-04-09 17:09:33.876689]Total energy: 16617219.473177163
[2022-04-09 17:11:05.910849]Total energy: 16613207.062902713
[2022-04-09 17:12:43.075130]Total energy: 16649969.952191358
[2022-04-09 17:14:03.812167]Total energy: 16622612.573645446
[2022-04-09 17:15:18.369734]Total energy: 16599785.938641232
[2022-04-09 17:16:33.526374]Total energy: 16643386.361633135
[2022-04-09 17:17:47.417091]Total energy: 16608176.19656438
[2022-04-09 17:19:02.455786]Total energy: 16657036.156906111
[2022-04-09 17:20:17.602106]Total energy: 16623724.127792604
[2022-04-09 17:21:44.170725]Total energy: 16652947.445439488
[2022-04-09 17:23:15.312125]Total energy: 16640521.534349015
[2022-04-09 17:24:38.996100]Total energy: 16610919.606178619
[2022-04-09 17:25:55.252666]Total energy: 16621042.404197289
[2022-04-09 17:27:09.285262]Total energy: 16605751.574682996
[2022-04-09 17:28:24.045838]Total energy: 16593892.248715255
[2022-04-09 17:29:38.176071]Total energy: 16634283.122061241
[2022-04-09 17:30:58.991361]Total energy: 16617456.074732808
[2022-04-09 17:32:22.845817]Total energy: 16644533.590075845
[2022-04-09 17:33:47.697658]Total energy: 16669088.167682804
[2022-04-09 17:35:02.867784]Total energy: 16632741.470718177
[2022-04-09 17:36:19.634956]Total energy: 16649265.503915017
[2022-04-09 17:37:33.382662]Total energy: 16637280.661605524
[2022-04-09 17:38:47.504697]Total energy: 16625556.266611276
[2022-04-09 17:40:02.726789]Total energy: 16661456.242790326
[2022-04-09 17:41:27.764474]Total energy: 16648452.472176377
[2022-04-09 17:42:53.078831]Total energy: 16654364.443305552
[2022-04-09 17:44:10.445221]Total energy: 16583850.20641144
[2022-04-09 17:45:27.612410]Total energy: 16650488.175793998
[2022-04-09 17:46:47.400886]Total energy: 16628369.62716702
[2022-04-09 17:48:02.346969]Total energy: 16646969.301474657
[2022-04-09 17:49:18.634512]Total energy: 16592435.665884031
[2022-04-09 17:51:08.057031]Total energy: 16637272.468740989
[2022-04-09 17:52:49.418586]Total energy: 16642260.534107072
[2022-04-09 17:54:09.440729]Total energy: 16626339.781541523
[2022-04-09 17:55:25.037057]Total energy: 16662775.706052013
[2022-04-09 17:56:41.164206]Total energy: 16626578.965988744
[2022-04-09 17:57:55.882982]Total energy: 16635210.775651796
[2022-04-09 17:59:13.062862]Total energy: 16569520.277261043
[2022-04-09 18:00:52.921134]Total energy: 16655948.28108631
[2022-04-09 18:02:12.996087]Total energy: 16652845.906098478
[2022-04-09 18:03:27.624691]Total energy: 16658008.69127199
[2022-04-09 18:04:41.935210]Total energy: 16654178.049788969
[2022-04-09 18:05:55.907697]Total energy: 16660972.63411643
[2022-04-09 18:07:10.364560]Total energy: 16692328.642725687
[2022-04-09 18:08:24.469268]Total energy: 16660848.29893452
[2022-04-09 18:09:39.393560]Total energy: 16662159.56225091
[2022-04-09 18:10:59.316376]Total energy: 16677390.401905749
[2022-04-09 18:12:20.714144]Total energy: 16692660.735058349
[2022-04-09 18:13:35.835425]Total energy: 16661530.18840916
[2022-04-09 18:14:50.926592]Total energy: 16655986.155877491
[2022-04-09 18:16:06.659431]Total energy: 16617731.640562939
[2022-04-09 18:17:21.729606]Total energy: 16669855.958523726
[2022-04-09 18:18:36.143699]Total energy: 16661738.133276813
[2022-04-09 18:19:50.620090]Total energy: 16646951.495340202
[2022-04-09 18:21:25.299054]Total energy: 16677553.243985342
[2022-04-09 18:22:58.185129]Total energy: 16692582.745595185
[2022-04-09 18:24:18.629691]Total energy: 16643144.65687475
[2022-04-09 18:25:32.789916]Total energy: 16662115.75010691
[2022-04-09 18:26:49.402776]Total energy: 16680446.942458618
[2022-04-09 18:28:04.709194]Total energy: 16684191.82808282
[2022-04-09 18:29:28.270157]Total energy: 16695530.851583999
[2022-04-09 18:31:11.982912]Total energy: 16667320.292094704
[2022-04-09 18:32:49.725839]Total energy: 16623872.273662893
[2022-04-09 18:34:07.712171]Total energy: 16650691.741028572
[2022-04-09 18:35:24.349903]Total energy: 16632468.189206308
[2022-04-09 18:36:39.619255]Total energy: 16645411.844847502
[2022-04-09 18:37:55.199742]Total energy: 16677683.243473127
[2022-04-09 18:39:10.106301]Total energy: 16678192.670062508
[2022-04-09 18:40:42.291392]Total energy: 16662819.979688007
[2022-04-09 18:42:23.007166]Total energy: 16655310.893851785
[2022-04-09 18:43:38.485160]Total energy: 16658316.712106481
[2022-04-09 18:44:53.670595]Total energy: 16685544.989709178
[2022-04-09 18:46:08.747719]Total energy: 16664165.602921827
[2022-04-09 18:47:23.341038]Total energy: 16694857.329434974
[2022-04-09 18:48:37.566881]Total energy: 16651707.997848522
[2022-04-09 18:49:51.661660]Total energy: 16657782.426379198
[2022-04-09 18:51:30.159749]Total energy: 16662098.416782344
[2022-04-09 18:53:06.117861]Total energy: 16652431.094599634
[2022-04-09 18:54:20.098313]Total energy: 16685670.621562386
[2022-04-09 18:55:34.564896]Total energy: 16683580.785408681
[2022-04-09 18:56:49.250494]Total energy: 16680452.271978479
[2022-04-09 18:58:03.540558]Total energy: 16662620.17809685
[2022-04-09 18:59:18.188787]Total energy: 16625982.352256496
[2022-04-09 19:01:13.127350]Total energy: 16661851.677194823
[2022-04-09 19:02:55.948453]Total energy: 16645820.919509878
[2022-04-09 19:04:25.540868]Total energy: 16667379.173038332
[2022-04-09 19:05:47.442991]Total energy: 16637455.050692193
[2022-04-09 19:07:02.733224]Total energy: 16651484.98810904
[2022-04-09 19:08:16.954342]Total energy: 16675762.269032758
[2022-04-09 19:09:32.057204]Total energy: 16619920.27779722
[2022-04-09 19:11:22.309890]Total energy: 16700861.278363263
[2022-04-09 19:12:51.733300]Total energy: 16647739.503637813
[2022-04-09 19:14:20.714647]Total energy: 16682450.687560288
[2022-04-09 19:15:38.860853]Total energy: 16687962.620910387
[2022-04-09 19:17:32.331037]Total energy: 16662867.909729147
[2022-04-09 19:20:07.613141]Total energy: 16660279.634559676
[2022-04-09 19:21:33.758993]Total energy: 16668588.21909456
[2022-04-09 19:22:58.725732]Total energy: 16652920.314801576
[2022-04-09 19:24:14.103772]Total energy: 16696474.807455465
[2022-04-09 19:25:29.726501]Total energy: 16632680.557552967
[2022-04-09 19:26:43.885749]Total energy: 16658998.212442094
[2022-04-09 19:27:59.485223]Total energy: 16691416.570300225
[2022-04-09 19:29:14.842401]Total energy: 16651784.058336308
[2022-04-09 19:31:06.583951]Total energy: 16690075.95200002
[2022-04-09 19:32:41.020228]Total energy: 16656463.462328875
[2022-04-09 19:34:09.892998]Total energy: 16660262.20325977
[2022-04-09 19:35:35.134996]Total energy: 16660961.36046728
[2022-04-09 19:36:51.206690]Total energy: 16659163.757855467
[2022-04-09 19:38:06.940530]Total energy: 16635389.466224382
[2022-04-09 19:39:20.975842]Total energy: 16679785.15727163
[2022-04-09 19:40:48.735263]Total energy: 16689207.85213685
[2022-04-09 19:42:08.339138]Total energy: 16667600.790615752
[2022-04-09 19:43:23.899715]Total energy: 16664321.942716716
[2022-04-09 19:44:39.064476]Total energy: 16651003.072850319
[2022-04-09 19:45:54.435314]Total energy: 16648627.508302856
[2022-04-09 19:47:09.540621]Total energy: 16663048.413356813
[2022-04-09 19:48:23.840213]Total energy: 16657389.555214025
[2022-04-09 19:49:38.644342]Total energy: 16614897.313215485
[2022-04-09 19:51:21.723908]Total energy: 16638171.209214978
[2022-04-09 19:53:02.225509]Total energy: 16678994.680983344
[2022-04-09 19:54:36.600789]Total energy: 16680554.033496024
[2022-04-09 19:55:57.675096]Total energy: 16653241.697466603
[2022-04-09 19:57:12.408335]Total energy: 16666526.676215539
[2022-04-09 19:58:27.748779]Total energy: 16640963.407943469
[2022-04-09 19:59:44.324414]Total energy: 16694952.979421569
[2022-04-09 20:01:12.246310]Total energy: 16681530.25242511
[2022-04-09 20:02:32.940231]Total energy: 16717509.371683124
[2022-04-09 20:03:47.914170]Total energy: 16673838.218275975
[2022-04-09 20:05:03.868986]Total energy: 16682668.421612691
[2022-04-09 20:06:17.305429]Total energy: 16709050.613608645
[2022-04-09 20:07:31.241029]Total energy: 16672584.009204794
[2022-04-09 20:08:47.431905]Total energy: 16652562.257138954
[2022-04-09 20:10:02.131783]Total energy: 16621704.261581426
[2022-04-09 20:11:37.314764]Total energy: 16662941.875925547
[2022-04-09 20:13:02.829613]Total energy: 16651021.772407584
[2022-04-09 20:14:30.465353]Total energy: 16685090.351778196
[2022-04-09 20:16:03.483354]Total energy: 16625270.688313251
[2022-04-09 20:17:24.710708]Total energy: 16605601.39579482
[2022-04-09 20:18:39.218856]Total energy: 16655222.444935944
[2022-04-09 20:19:54.794021]Total energy: 16646698.995265616
[2022-04-09 20:21:20.581562]Total energy: 16646411.177105367
[2022-04-09 20:22:59.992475]Total energy: 16599721.63382821
[2022-04-09 20:24:26.396832]Total energy: 16572106.617439097
[2022-04-09 20:25:40.939296]Total energy: 16644795.476234317
[2022-04-09 20:26:54.460388]Total energy: 16660296.857832791
[2022-04-09 20:28:10.014314]Total energy: 16638622.34117679
[2022-04-09 20:29:24.103895]Total energy: 16606195.17306784
[2022-04-09 20:30:58.733400]Total energy: 16660674.06210875
[2022-04-09 20:32:18.426990]Total energy: 16597511.312617373
[2022-04-09 20:33:34.480451]Total energy: 16596530.921298487
[2022-04-09 20:34:51.426871]Total energy: 16603910.521974685
[2022-04-09 20:36:07.342553]Total energy: 16662854.98485196
[2022-04-09 20:37:22.496931]Total energy: 16638900.21721096
[2022-04-09 20:38:38.799835]Total energy: 16632275.294045761
[2022-04-09 20:39:53.824233]Total energy: 16657951.438370265
[2022-04-09 20:41:30.390259]Total energy: 16656892.038517328
[2022-04-09 20:43:11.612181]Total energy: 16648391.716609372
[2022-04-09 20:44:36.834934]Total energy: 16662150.065384235
[2022-04-09 20:46:08.040622]Total energy: 16626641.15317094
[2022-04-09 20:47:23.310459]Total energy: 16620117.355988244
[2022-04-09 20:48:39.377322]Total energy: 16648795.273460263
[2022-04-09 20:49:54.614014]Total energy: 16608505.120774899
[2022-04-09 20:51:28.942422]Total energy: 16607325.362902153
[2022-04-09 20:53:08.011906]Total energy: 16651601.396888966
[2022-04-09 20:54:32.989571]Total energy: 16644456.835659318
[2022-04-09 20:55:47.500837]Total energy: 16616416.59540408
[2022-04-09 20:57:02.831538]Total energy: 16642473.922557991
[2022-04-09 20:58:17.520277]Total energy: 16677835.102262454
[2022-04-09 20:59:35.881257]Total energy: 16637312.74098928
[2022-04-09 21:01:09.364219]Total energy: 16643688.960894627
[2022-04-09 21:02:51.531998]Total energy: 16664918.09710222
[2022-04-09 21:04:23.778282]Total energy: 16636087.534589345
[2022-04-09 21:06:01.291332]Total energy: 16638333.889286047
[2022-04-09 21:07:35.379139]Total energy: 16618139.733674698
[2022-04-09 21:09:10.064863]Total energy: 16608382.174445316
[2022-04-09 21:10:35.394287]Total energy: 16631283.862602687
[2022-04-09 21:11:50.568835]Total energy: 16671317.39379401
[2022-04-09 21:13:05.317045]Total energy: 16620301.675002033
[2022-04-09 21:14:20.520474]Total energy: 16596826.82929119
[2022-04-09 21:15:38.933092]Total energy: 16637069.409887392
[2022-04-09 21:16:54.765985]Total energy: 16651861.932231618
[2022-04-09 21:18:10.137162]Total energy: 16619634.073794652
[2022-04-09 21:19:24.573440]Total energy: 16647175.316462178
[2022-04-09 21:21:07.884263]Total energy: 16633251.15148978
[2022-04-09 21:22:46.823551]Total energy: 16605308.265261833
[2022-04-09 21:24:26.518755]Total energy: 16655528.469136922
[2022-04-09 21:25:51.913631]Total energy: 16618664.522970596
[2022-04-09 21:27:07.954062]Total energy: 16617304.275637988
[2022-04-09 21:28:24.137559]Total energy: 16643867.79586511
[2022-04-09 21:29:39.543009]Total energy: 16623617.975780286
[2022-04-09 21:31:20.153616]Total energy: 16641789.971439514
[2022-04-09 21:32:55.538400]Total energy: 16592350.231280074
[2022-04-09 21:34:34.585169]Total energy: 16610267.004352309
[2022-04-09 21:36:13.325608]Total energy: 16658481.324320858
[2022-04-09 21:37:36.159905]Total energy: 16612612.942834442
[2022-04-09 21:38:50.733715]Total energy: 16629089.954719726
[2022-04-09 21:40:05.530937]Total energy: 16629800.31218365
[2022-04-09 21:41:28.964508]Total energy: 16609579.947073966
[2022-04-09 21:43:04.234704]Total energy: 16661750.891647577
[2022-04-09 21:44:30.488902]Total energy: 16629556.973728854
[2022-04-09 21:45:46.733472]Total energy: 16608108.356717594
[2022-04-09 21:47:03.603935]Total energy: 16661548.651759138
[2022-04-09 21:48:19.496532]Total energy: 16640056.572454985
[2022-04-09 21:49:35.540385]Total energy: 16658872.91787231
[2022-04-09 21:51:16.905949]Total energy: 16645112.293907069
[2022-04-09 21:52:52.467255]Total energy: 16635755.732364902
[2022-04-09 21:54:12.020815]Total energy: 16660425.113044215
[2022-04-09 21:55:27.371486]Total energy: 16649551.234146034
[2022-04-09 21:56:44.019079]Total energy: 16664785.636861691
[2022-04-09 21:58:00.876138]Total energy: 16633455.567864344
[2022-04-09 21:59:17.951664]Total energy: 16653050.686911969
[2022-04-09 22:00:36.747139]Total energy: 16620570.684360087
[2022-04-09 22:02:00.655601]Total energy: 16619606.257933196
[2022-04-09 22:03:24.487907]Total energy: 16626001.687999645
[2022-04-09 22:04:50.637117]Total energy: 16626612.387818646
[2022-04-09 22:06:16.488882]Total energy: 16653482.164022623
[2022-04-09 22:07:41.000733]Total energy: 16630244.858766949
[2022-04-09 22:08:57.075993]Total energy: 16656713.644289672
[2022-04-09 22:10:11.284712]Total energy: 16623700.263633639
[2022-04-09 22:11:48.900754]Total energy: 16628170.439503541
[2022-04-09 22:13:25.704360]Total energy: 16640161.12247293
[2022-04-09 22:14:49.653634]Total energy: 16628290.713494023
[2022-04-09 22:16:04.214146]Total energy: 16638861.10766569
[2022-04-09 22:17:20.465660]Total energy: 16610615.73765907
[2022-04-09 22:18:38.618869]Total energy: 16601037.295718208
[2022-04-09 22:19:53.341864]Total energy: 16646141.267405478
[2022-04-09 22:21:19.127719]Total energy: 16615581.118379297
[2022-04-09 22:22:44.873978]Total energy: 16620892.393372625
[2022-04-09 22:24:15.652915]Total energy: 16588411.518187048
[2022-04-09 22:25:30.587860]Total energy: 16618980.715287471
[2022-04-09 22:26:48.764257]Total energy: 16619994.379812712
[2022-04-09 22:28:04.311614]Total energy: 16605869.990789032
[2022-04-09 22:29:19.718286]Total energy: 16655752.822369093
[2022-04-09 22:30:57.492143]Total energy: 16640767.751605522
[2022-04-09 22:32:43.625150]Total energy: 16664294.970365338
[2022-04-09 22:34:08.294910]Total energy: 16629709.81881386
[2022-04-09 22:35:24.435953]Total energy: 16618846.553551512
[2022-04-09 22:36:39.793405]Total energy: 16599951.925085284
[2022-04-09 22:37:54.810372]Total energy: 16595017.718106594
[2022-04-09 22:39:09.905536]Total energy: 16617779.194102697
[2022-04-09 22:40:47.451194]Total energy: 16585358.64202297
[2022-04-09 22:42:27.587033]Total energy: 16598915.272956157
[2022-04-09 22:43:49.374667]Total energy: 16608901.847346395
[2022-04-09 22:45:04.366911]Total energy: 16606408.089409074
[2022-04-09 22:46:19.265362]Total energy: 16623661.170268731
[2022-04-09 22:47:34.943159]Total energy: 16633153.70339899
[2022-04-09 22:48:51.497262]Total energy: 16599636.183490006
[2022-04-09 22:50:08.473183]Total energy: 16600749.986137388
[2022-04-09 22:51:24.830363]Total energy: 16610989.289316274
[2022-04-09 22:52:40.869494]Total energy: 16606068.5014364
[2022-04-09 22:53:55.204565]Total energy: 16613284.162168559
[2022-04-09 22:55:10.472542]Total energy: 16583633.684093274
[2022-04-09 22:56:27.431575]Total energy: 16569097.24375695
[2022-04-09 22:57:43.449085]Total energy: 16603733.685141936
[2022-04-09 22:58:58.675478]Total energy: 16667458.571641345
[2022-04-09 23:00:14.929143]Total energy: 16631062.285694936
[2022-04-09 23:01:37.645184]Total energy: 16593890.490807664
[2022-04-09 23:03:04.473434]Total energy: 16623164.87909895
[2022-04-09 23:04:34.531207]Total energy: 16621983.448290102
[2022-04-09 23:06:02.533750]Total energy: 16596183.047176061
[2022-04-09 23:07:28.598629]Total energy: 16634118.968325192
[2022-04-09 23:08:47.228325]Total energy: 16628367.74410785
[2022-04-09 23:10:05.774249]Total energy: 16612590.087936562
[2022-04-09 23:11:23.059382]Total energy: 16614474.543015234
[2022-04-09 23:12:39.986878]Total energy: 16621190.398397535
[2022-04-09 23:13:55.589131]Total energy: 16623899.299701126
[2022-04-09 23:15:16.344542]Total energy: 16636305.0645615
[2022-04-09 23:16:34.542504]Total energy: 16612256.328625372
[2022-04-09 23:17:51.388479]Total energy: 16653368.197225258
[2022-04-09 23:19:09.921084]Total energy: 16607935.130896112
[2022-04-09 23:20:50.246899]Total energy: 16628116.534857044
[2022-04-09 23:22:30.207465]Total energy: 16625687.30088496
[2022-04-09 23:23:55.398267]Total energy: 16619805.604630794
[2022-04-09 23:25:27.835826]Total energy: 16603991.152370682
[2022-04-09 23:26:44.796702]Total energy: 16628169.049441047
[2022-04-09 23:28:00.539157]Total energy: 16624692.038479824
[2022-04-09 23:29:14.507407]Total energy: 16585727.220801199
[2022-04-09 23:30:52.895273]Total energy: 16616449.814287692
[2022-04-09 23:32:35.329540]Total energy: 16592855.909444831
[2022-04-09 23:34:06.193103]Total energy: 16606784.610661274
[2022-04-09 23:35:35.667923]Total energy: 16630003.445000706
[2022-04-09 23:37:10.629036]Total energy: 16612855.613414928
[2022-04-09 23:38:46.905219]Total energy: 16602728.34910325
[2022-04-09 23:40:11.248706]Total energy: 16613383.857069522
[2022-04-09 23:41:27.064659]Total energy: 16607636.709185118
[2022-04-09 23:42:41.653443]Total energy: 16624405.82815608
[2022-04-09 23:43:55.525024]Total energy: 16611471.99021114
[2022-04-09 23:45:10.115612]Total energy: 16601944.172033563
[2022-04-09 23:46:25.557858]Total energy: 16575441.004342042
[2022-04-09 23:47:41.625116]Total energy: 16654756.54320837
[2022-04-09 23:48:57.408459]Total energy: 16605520.592115493
[2022-04-09 23:50:12.510467]Total energy: 16648871.105320932
[2022-04-09 23:51:48.001304]Total energy: 16622633.354592437
[2022-04-09 23:53:13.865944]Total energy: 16620450.773153592
[2022-04-09 23:54:32.075024]Total energy: 16606049.306851259
[2022-04-09 23:55:47.227479]Total energy: 16589513.685433552
[2022-04-09 23:57:01.936086]Total energy: 16653745.826319398
[2022-04-09 23:58:16.767345]Total energy: 16591315.182160653
[2022-04-09 23:59:31.887509]Total energy: 16635408.576962557
[2022-04-10 00:01:10.982574]Total energy: 16588221.87906714
[2022-04-10 00:02:47.164720]Total energy: 16604026.411792079
[2022-04-10 00:04:17.971773]Total energy: 16600732.820332028
[2022-04-10 00:05:39.955134]Total energy: 16588927.180867437
[2022-04-10 00:06:54.641768]Total energy: 16605028.397089899
[2022-04-10 00:08:09.273161]Total energy: 16590944.785415066
[2022-04-10 00:09:23.994473]Total energy: 16619890.102047514
[2022-04-10 00:11:12.318420]Total energy: 16613989.313179726
[2022-04-10 00:13:00.777292]Total energy: 16626140.149142299
[2022-04-10 00:14:40.361745]Total energy: 16602089.835952256
[2022-04-10 00:16:04.101108]Total energy: 16603556.626963252
[2022-04-10 00:17:19.574794]Total energy: 16559970.674359132
[2022-04-10 00:18:34.905593]Total energy: 16588574.46054731
[2022-04-10 00:19:49.508166]Total energy: 16614539.837614601
[2022-04-10 00:21:26.516667]Total energy: 16649715.455603486
[2022-04-10 00:23:06.422387]Total energy: 16605052.562377308
[2022-04-10 00:24:35.545471]Total energy: 16642053.441051941
[2022-04-10 00:25:56.872890]Total energy: 16603255.95634695
[2022-04-10 00:27:12.206991]Total energy: 16627523.998884913
[2022-04-10 00:28:27.668607]Total energy: 16641681.411277674
[2022-04-10 00:29:43.090729]Total energy: 16656447.122839421
[2022-04-10 00:30:58.195294]Total energy: 16624989.301798582
[2022-04-10 00:32:13.048215]Total energy: 16606785.702007907
[2022-04-10 00:33:28.127966]Total energy: 16632090.019372582
[2022-04-10 00:34:44.830415]Total energy: 16634026.385665081
[2022-04-10 00:36:00.142415]Total energy: 16637889.920773162
[2022-04-10 00:37:15.491831]Total energy: 16612634.92151674
[2022-04-10 00:38:30.346616]Total energy: 16621426.65628791
[2022-04-10 00:39:45.917702]Total energy: 16654392.938680213
[2022-04-10 00:41:24.909326]Total energy: 16628451.860790394
[2022-04-10 00:43:02.741489]Total energy: 16636781.161546731
[2022-04-10 00:44:37.382522]Total energy: 16626329.969506653
[2022-04-10 00:46:00.560322]Total energy: 16631812.142359575
[2022-04-10 00:47:15.565398]Total energy: 16621020.914047457
[2022-04-10 00:48:30.987338]Total energy: 16653434.73302417
[2022-04-10 00:49:45.561792]Total energy: 16622604.465117829
[2022-04-10 00:51:24.602984]Total energy: 16651290.929573558
[2022-04-10 00:53:02.207241]Total energy: 16607408.517339125
[2022-04-10 00:54:29.738042]Total energy: 16603339.702470679
[2022-04-10 00:56:00.595423]Total energy: 16606610.927373704
[2022-04-10 00:57:27.976604]Total energy: 16621806.646988606
[2022-04-10 00:58:56.925464]Total energy: 16620338.182519976
[2022-04-10 01:00:13.813781]Total energy: 16609626.017146474
[2022-04-10 01:01:28.899481]Total energy: 16586955.757892517
[2022-04-10 01:02:44.913482]Total energy: 16636944.876898216
[2022-04-10 01:04:00.084597]Total energy: 16604248.944442594
[2022-04-10 01:05:14.399188]Total energy: 16582868.261804381
[2022-04-10 01:06:29.947663]Total energy: 16591754.360780133
[2022-04-10 01:07:45.033498]Total energy: 16636200.826912476
[2022-04-10 01:08:59.241548]Total energy: 16598241.577414522
[2022-04-10 01:10:14.990073]Total energy: 16614090.739900863
[2022-04-10 01:11:54.457859]Total energy: 16564278.865483228
[2022-04-10 01:13:30.223246]Total energy: 16638194.413455354
[2022-04-10 01:15:03.349635]Total energy: 16606910.481595874
[2022-04-10 01:16:27.041378]Total energy: 16618513.812970685
[2022-04-10 01:17:41.989456]Total energy: 16579060.457433974
[2022-04-10 01:18:57.938752]Total energy: 16643991.737590425
[2022-04-10 01:20:12.404100]Total energy: 16593578.924844354
[2022-04-10 01:21:27.987677]Total energy: 16621266.775424879
[2022-04-10 01:22:42.197233]Total energy: 16641759.344804086
[2022-04-10 01:23:56.515757]Total energy: 16643109.020840643
[2022-04-10 01:25:11.718964]Total energy: 16622938.776969748
[2022-04-10 01:26:26.122041]Total energy: 16615851.674492791
[2022-04-10 01:27:41.193840]Total energy: 16609844.390423523
[2022-04-10 01:28:57.149365]Total energy: 16590523.962469334
[2022-04-10 01:30:14.905553]Total energy: 16618658.617334392
[2022-04-10 01:31:41.029457]Total energy: 16663749.14197476
[2022-04-10 01:33:17.683982]Total energy: 16599286.037734784
[2022-04-10 01:34:37.272293]Total energy: 16580446.160092534
[2022-04-10 01:35:51.922320]Total energy: 16627100.250645868
[2022-04-10 01:37:06.690318]Total energy: 16624459.427455083
[2022-04-10 01:38:25.172997]Total energy: 16590458.582039226
[2022-04-10 01:39:39.950275]Total energy: 16657049.545000402
[2022-04-10 01:41:19.632967]Total energy: 16634333.634252373
[2022-04-10 01:42:54.991348]Total energy: 16646845.782485401
[2022-04-10 01:44:09.594435]Total energy: 16590740.96390758
[2022-04-10 01:45:25.488126]Total energy: 16614352.964158054
[2022-04-10 01:46:43.459677]Total energy: 16649517.810286997
[2022-04-10 01:47:58.268894]Total energy: 16634107.039960034
[2022-04-10 01:49:12.698796]Total energy: 16632223.020619987
[2022-04-10 01:50:27.791445]Total energy: 16608048.625126302
[2022-04-10 01:51:42.287622]Total energy: 16583532.611916576
[2022-04-10 01:52:57.581687]Total energy: 16596980.01105772
[2022-04-10 01:54:12.060576]Total energy: 16589511.386997703
[2022-04-10 01:55:27.299985]Total energy: 16607723.564603576
[2022-04-10 01:56:42.522431]Total energy: 16610105.940073948
[2022-04-10 01:57:57.154501]Total energy: 16597103.007040687
