initial: 117 - optimal_only_seed
[2022-04-07 23:41:36.240976]Total energy: 57468581.80168593
[2022-04-07 23:42:55.029138]Total energy: 57418515.14543929
[2022-04-07 23:44:13.483240]Total energy: 57250487.11462098
[2022-04-07 23:45:32.760648]Total energy: 57418236.27341411
[2022-04-07 23:46:52.396898]Total energy: 57345086.644832
[2022-04-07 23:48:12.302905]Total energy: 57421153.33047831
[2022-04-07 23:49:34.753984]Total energy: 57500860.119658135
[2022-04-07 23:51:14.105190]Total energy: 57398573.89913878
[2022-04-07 23:52:52.660753]Total energy: 57438067.30575368
[2022-04-07 23:54:20.376230]Total energy: 57439143.05178955
[2022-04-07 23:55:43.971915]Total energy: 57424427.68003881
[2022-04-07 23:57:02.463551]Total energy: 57423796.645674795
[2022-04-07 23:58:21.961240]Total energy: 57468804.392588645
[2022-04-07 23:59:44.109442]Total energy: 57379185.11209619
[2022-04-08 00:01:05.689005]Total energy: 57377148.38375859
[2022-04-08 00:02:25.678008]Total energy: 57420710.654776305
[2022-04-08 00:03:43.575865]Total energy: 57458733.980129614
[2022-04-08 00:05:04.097101]Total energy: 57537829.73581555
[2022-04-08 00:06:29.866250]Total energy: 57478175.75934827
[2022-04-08 00:07:48.115912]Total energy: 57480420.95055345
[2022-04-08 00:09:08.263961]Total energy: 57372230.901273
[2022-04-08 00:10:32.012406]Total energy: 57347832.267658256
[2022-04-08 00:11:51.736525]Total energy: 57455667.48525291
[2022-04-08 00:13:10.750707]Total energy: 57401755.611554064
[2022-04-08 00:14:28.822675]Total energy: 57449659.09869988
[2022-04-08 00:15:48.826658]Total energy: 57467167.69140381
[2022-04-08 00:17:06.441110]Total energy: 57333565.61778
[2022-04-08 00:18:25.365194]Total energy: 57467130.44289853
[2022-04-08 00:19:45.752932]Total energy: 57438598.678828694
[2022-04-08 00:21:17.213439]Total energy: 57376826.78975455
[2022-04-08 00:22:46.106676]Total energy: 57402193.76101617
[2022-04-08 00:24:06.512399]Total energy: 57440909.72537449
[2022-04-08 00:25:26.453880]Total energy: 57704053.23319944
[2022-04-08 00:26:45.607726]Total energy: 57381878.03613648
[2022-04-08 00:28:05.208084]Total energy: 57281792.15957885
[2022-04-08 00:29:23.558588]Total energy: 57336228.340042576
[2022-04-08 00:30:52.615281]Total energy: 57421977.76473319
[2022-04-08 00:32:20.693333]Total energy: 57431877.45048671
[2022-04-08 00:33:44.401681]Total energy: 57425846.65248937
[2022-04-08 00:35:02.896938]Total energy: 57340097.40313668
[2022-04-08 00:36:23.059596]Total energy: 57464515.9325912
[2022-04-08 00:37:41.405950]Total energy: 57359437.32941282
[2022-04-08 00:38:59.834725]Total energy: 57438398.15866945
[2022-04-08 00:40:20.667199]Total energy: 57288039.58136939
[2022-04-08 00:41:39.640617]Total energy: 57479322.487897344
[2022-04-08 00:42:59.503922]Total energy: 57425138.97816264
[2022-04-08 00:44:17.953813]Total energy: 57459716.37504021
[2022-04-08 00:45:35.980568]Total energy: 57649479.52210423
[2022-04-08 00:46:54.529166]Total energy: 57529699.89395575
[2022-04-08 00:48:13.852941]Total energy: 57366441.26993158
[2022-04-08 00:49:32.703744]Total energy: 57503516.257987745
[2022-04-08 00:50:56.148140]Total energy: 57457509.989630684
[2022-04-08 00:52:20.057969]Total energy: 57377652.7242119
[2022-04-08 00:53:41.022649]Total energy: 57384391.56869624
[2022-04-08 00:54:58.553283]Total energy: 57471580.10761131
[2022-04-08 00:56:17.461660]Total energy: 57432941.25172617
[2022-04-08 00:57:36.059628]Total energy: 57466040.12879829
[2022-04-08 00:58:57.650458]Total energy: 57462022.14160348
[2022-04-08 01:00:18.324188]Total energy: 57396571.631904356
[2022-04-08 01:01:44.366649]Total energy: 57477649.683028705
[2022-04-08 01:03:03.002393]Total energy: 57398206.03473357
[2022-04-08 01:04:21.452080]Total energy: 57473035.67031118
[2022-04-08 01:05:41.169604]Total energy: 57445045.70656233
[2022-04-08 01:07:00.301778]Total energy: 57466606.16801199
[2022-04-08 01:08:19.660451]Total energy: 57326862.398677826
[2022-04-08 01:09:39.565623]Total energy: 57409053.361953214
[2022-04-08 01:11:08.167422]Total energy: 57352479.667627715
[2022-04-08 01:12:29.342220]Total energy: 57347612.76465466
[2022-04-08 01:13:49.775256]Total energy: 57324352.84005562
[2022-04-08 01:15:08.865049]Total energy: 57587334.83318075
[2022-04-08 01:16:28.316115]Total energy: 57365893.87437626
[2022-04-08 01:17:47.204802]Total energy: 57355027.07777804
[2022-04-08 01:19:07.336370]Total energy: 57330772.82949683
[2022-04-08 01:20:43.737745]Total energy: 57462240.48948567
[2022-04-08 01:22:09.399698]Total energy: 57433194.078363806
[2022-04-08 01:23:27.092446]Total energy: 57462651.38592229
[2022-04-08 01:24:46.274961]Total energy: 57286160.460471936
[2022-04-08 01:26:04.732678]Total energy: 57469050.171109825
[2022-04-08 01:27:25.183259]Total energy: 57336224.43563114
[2022-04-08 01:28:45.290380]Total energy: 57365117.04121014
[2022-04-08 01:30:06.698391]Total energy: 57507687.07474598
[2022-04-08 01:31:28.253025]Total energy: 57372730.80567286
[2022-04-08 01:32:47.474278]Total energy: 57558772.22695506
[2022-04-08 01:34:05.873382]Total energy: 57431251.384911686
[2022-04-08 01:35:25.727000]Total energy: 57561174.09930574
[2022-04-08 01:36:57.426070]Total energy: 57559418.947989196
[2022-04-08 01:38:16.729395]Total energy: 57376198.09769626
[2022-04-08 01:39:38.545261]Total energy: 57530941.379976965
[2022-04-08 01:41:06.393346]Total energy: 57511159.492312096
[2022-04-08 01:42:40.468270]Total energy: 57530358.31486535
[2022-04-08 01:44:06.063762]Total energy: 57487379.10173346
[2022-04-08 01:45:25.863794]Total energy: 57474373.83398204
[2022-04-08 01:46:48.249908]Total energy: 57385230.44800109
[2022-04-08 01:48:08.520224]Total energy: 57411206.203802206
[2022-04-08 01:49:30.006486]Total energy: 57343414.6452148
[2022-04-08 01:50:58.994525]Total energy: 57367224.874851495
[2022-04-08 01:52:30.375673]Total energy: 57399466.16163264
[2022-04-08 01:53:55.244575]Total energy: 57385586.79654464
[2022-04-08 01:55:15.086551]Total energy: 57398321.95519739
[2022-04-08 01:56:36.707504]Total energy: 57460239.2656621
[2022-04-08 01:57:55.431479]Total energy: 57455424.11063639
[2022-04-08 01:59:15.877890]Total energy: 57412249.860569656
[2022-04-08 02:00:58.396097]Total energy: 57338118.9198774
[2022-04-08 02:02:35.649432]Total energy: 57591091.42275878
[2022-04-08 02:03:53.753000]Total energy: 57467215.322175406
[2022-04-08 02:05:13.063860]Total energy: 57496902.79667022
[2022-04-08 02:06:30.972598]Total energy: 57404998.7872238
[2022-04-08 02:07:48.903576]Total energy: 57387959.09071733
[2022-04-08 02:09:09.555836]Total energy: 57457631.55864274
[2022-04-08 02:10:47.940809]Total energy: 57423447.732303776
[2022-04-08 02:12:13.414135]Total energy: 57433770.17435368
[2022-04-08 02:13:32.356127]Total energy: 57481131.32937071
[2022-04-08 02:14:51.929073]Total energy: 57325253.82862318
[2022-04-08 02:16:11.945329]Total energy: 57444774.29216428
[2022-04-08 02:17:30.162370]Total energy: 57414996.50667158
[2022-04-08 02:18:53.046160]Total energy: 57510711.8870759
[2022-04-08 02:20:10.951239]Total energy: 57363145.360713266
[2022-04-08 02:21:42.346565]Total energy: 57406570.090013005
[2022-04-08 02:23:08.456349]Total energy: 57475076.923987664
[2022-04-08 02:24:36.232402]Total energy: 57426146.09521955
[2022-04-08 02:26:04.751910]Total energy: 57491664.25162541
[2022-04-08 02:27:25.358537]Total energy: 57407872.61139619
[2022-04-08 02:28:44.505320]Total energy: 57405760.32729445
[2022-04-08 02:30:05.427178]Total energy: 57470075.37486323
[2022-04-08 02:31:34.631114]Total energy: 57430484.84810122
[2022-04-08 02:32:55.926221]Total energy: 57380405.80983668
[2022-04-08 02:34:15.792025]Total energy: 57408285.38622328
[2022-04-08 02:35:34.290198]Total energy: 57412513.172317356
[2022-04-08 02:36:53.001584]Total energy: 57395886.148184866
[2022-04-08 02:38:10.150645]Total energy: 57380655.00360783
[2022-04-08 02:39:27.192865]Total energy: 57408359.81180444
[2022-04-08 02:40:54.356521]Total energy: 57349132.07643547
[2022-04-08 02:42:27.467883]Total energy: 57551938.13266864
[2022-04-08 02:43:56.313581]Total energy: 57255544.37011702
[2022-04-08 02:45:15.043598]Total energy: 57410738.915684626
[2022-04-08 02:46:35.418748]Total energy: 57517346.394629925
[2022-04-08 02:47:54.162878]Total energy: 57327078.27374469
[2022-04-08 02:49:12.490085]Total energy: 57474634.45066385
[2022-04-08 02:50:42.867176]Total energy: 57431955.74067877
[2022-04-08 02:52:13.532995]Total energy: 57552686.748678036
[2022-04-08 02:53:39.356552]Total energy: 57344520.554325655
[2022-04-08 02:55:00.327834]Total energy: 57376580.08282707
[2022-04-08 02:56:18.945802]Total energy: 57369831.26098154
[2022-04-08 02:57:39.197239]Total energy: 57349331.8957914
[2022-04-08 02:58:58.628341]Total energy: 57447868.85653956
[2022-04-08 03:00:21.880934]Total energy: 57364070.36352101
[2022-04-08 03:02:06.447851]Total energy: 57403527.056849875
[2022-04-08 03:03:36.697244]Total energy: 57415421.49770414
[2022-04-08 03:04:56.542775]Total energy: 57387019.86422783
[2022-04-08 03:06:15.889174]Total energy: 57455263.8976211
[2022-04-08 03:07:34.857315]Total energy: 57378987.474604025
[2022-04-08 03:08:55.079334]Total energy: 57525367.339183435
[2022-04-08 03:10:13.773179]Total energy: 57577355.50997099
[2022-04-08 03:11:35.016392]Total energy: 57484264.22521055
[2022-04-08 03:12:52.739813]Total energy: 57305649.30812141
[2022-04-08 03:14:10.868613]Total energy: 57399013.583200134
[2022-04-08 03:15:30.844779]Total energy: 57486995.74409823
[2022-04-08 03:16:50.764030]Total energy: 57490542.595323555
[2022-04-08 03:18:09.669035]Total energy: 57563030.80248841
[2022-04-08 03:19:27.047739]Total energy: 57400001.371866025
[2022-04-08 03:21:07.987969]Total energy: 57484099.767307036
[2022-04-08 03:22:46.989915]Total energy: 57510444.51811942
[2022-04-08 03:24:17.759180]Total energy: 57447140.26656798
[2022-04-08 03:25:40.121591]Total energy: 57345973.04577598
[2022-04-08 03:27:02.205991]Total energy: 57373026.348838784
[2022-04-08 03:28:22.567722]Total energy: 57424784.16165141
[2022-04-08 03:29:42.286544]Total energy: 57405446.46220859
[2022-04-08 03:31:12.566612]Total energy: 57495475.5795359
[2022-04-08 03:32:49.788103]Total energy: 57445138.81682508
[2022-04-08 03:34:09.622494]Total energy: 57372806.34543044
[2022-04-08 03:35:31.850859]Total energy: 57354276.77590464
[2022-04-08 03:36:51.024951]Total energy: 57391482.34127065
[2022-04-08 03:38:09.079286]Total energy: 57339996.375301845
[2022-04-08 03:39:28.239596]Total energy: 57274641.01593
[2022-04-08 03:40:50.972855]Total energy: 57401056.88076265
[2022-04-08 03:42:10.583478]Total energy: 57459184.58656761
[2022-04-08 03:43:29.177535]Total energy: 57471466.753226295
[2022-04-08 03:44:51.885084]Total energy: 57452076.46000854
[2022-04-08 03:46:14.210162]Total energy: 57383715.91993626
[2022-04-08 03:47:34.676320]Total energy: 57477819.49884157
[2022-04-08 03:48:55.297181]Total energy: 57532436.60587691
[2022-04-08 03:50:14.330474]Total energy: 57424568.46995113
[2022-04-08 03:51:33.067450]Total energy: 57465417.78545329
[2022-04-08 03:52:50.716086]Total energy: 57306891.2928663
[2022-04-08 03:54:09.217888]Total energy: 57422033.93682975
[2022-04-08 03:55:34.274871]Total energy: 57436167.32224699
[2022-04-08 03:56:58.965613]Total energy: 57464797.97795668
[2022-04-08 03:58:17.225286]Total energy: 57438125.52994863
[2022-04-08 03:59:40.341359]Total energy: 57444193.702700436
[2022-04-08 04:01:09.213097]Total energy: 57499006.74302302
[2022-04-08 04:02:36.789739]Total energy: 57354548.59711436
[2022-04-08 04:03:54.858159]Total energy: 57516280.25472811
[2022-04-08 04:05:14.548188]Total energy: 57421453.17178337
[2022-04-08 04:06:35.934506]Total energy: 57402628.40460308
[2022-04-08 04:07:54.444663]Total energy: 57453949.37060113
[2022-04-08 04:09:18.566258]Total energy: 57470399.333260365
[2022-04-08 04:10:47.824183]Total energy: 57349240.19905969
[2022-04-08 04:12:20.963046]Total energy: 57359283.546607584
[2022-04-08 04:13:40.502286]Total energy: 57502696.09883013
[2022-04-08 04:15:00.789654]Total energy: 57494424.131160274
[2022-04-08 04:16:22.443221]Total energy: 57355861.22501895
[2022-04-08 04:17:41.936116]Total energy: 57357629.77498894
[2022-04-08 04:19:04.113111]Total energy: 57421579.122292526
[2022-04-08 04:20:27.925574]Total energy: 57486570.22281907
[2022-04-08 04:21:51.348847]Total energy: 57341174.91224214
[2022-04-08 04:23:13.867157]Total energy: 57420151.54970568
[2022-04-08 04:24:39.172751]Total energy: 57494512.401952915
[2022-04-08 04:25:59.032870]Total energy: 57488053.63314327
[2022-04-08 04:27:17.827356]Total energy: 57412033.79383007
[2022-04-08 04:28:38.345062]Total energy: 57481482.64138707
[2022-04-08 04:29:57.713737]Total energy: 57419229.4401725
[2022-04-08 04:31:29.836607]Total energy: 57324846.24628121
[2022-04-08 04:32:58.088378]Total energy: 57639798.89320015
[2022-04-08 04:34:16.886040]Total energy: 57456153.99464869
[2022-04-08 04:35:37.377495]Total energy: 57513492.16672436
[2022-04-08 04:36:55.733476]Total energy: 57375359.80010908
[2022-04-08 04:38:14.651022]Total energy: 57490104.44654637
[2022-04-08 04:39:32.419381]Total energy: 57512981.385075465
[2022-04-08 04:41:16.524201]Total energy: 57499947.27259138
[2022-04-08 04:42:50.227717]Total energy: 57513926.35383403
[2022-04-08 04:44:25.119873]Total energy: 57412178.94626494
[2022-04-08 04:45:57.037426]Total energy: 57514549.588706635
[2022-04-08 04:47:14.754812]Total energy: 57435367.03184213
[2022-04-08 04:48:34.299920]Total energy: 57455561.41527692
[2022-04-08 04:49:53.159319]Total energy: 57258726.449604906
[2022-04-08 04:51:37.861323]Total energy: 57434354.07297985
[2022-04-08 04:53:23.976805]Total energy: 57473600.25638079
[2022-04-08 04:54:51.875815]Total energy: 57347780.96195371
[2022-04-08 04:56:10.616043]Total energy: 57466254.606745385
[2022-04-08 04:57:30.799722]Total energy: 57371383.92963107
[2022-04-08 04:58:50.292678]Total energy: 57378728.99195174
[2022-04-08 05:00:08.434802]Total energy: 57348226.78325877
[2022-04-08 05:01:27.042837]Total energy: 57359400.74676285
[2022-04-08 05:02:45.568898]Total energy: 57447619.49717368
[2022-04-08 05:04:02.788244]Total energy: 57463432.8022439
[2022-04-08 05:05:20.653434]Total energy: 57483466.31473128
[2022-04-08 05:06:37.929235]Total energy: 57454605.236494295
[2022-04-08 05:07:56.691857]Total energy: 57483257.688913286
[2022-04-08 05:09:16.250350]Total energy: 57427225.6111206
[2022-04-08 05:11:00.676694]Total energy: 57389609.54734774
[2022-04-08 05:12:43.497606]Total energy: 57443904.71042254
[2022-04-08 05:14:10.869109]Total energy: 57364073.826896235
[2022-04-08 05:15:29.654024]Total energy: 57481511.67932499
[2022-04-08 05:16:48.261382]Total energy: 57498105.74288886
[2022-04-08 05:18:07.177049]Total energy: 57581754.314216815
[2022-04-08 05:19:25.940560]Total energy: 57442290.00907109
[2022-04-08 05:20:44.836500]Total energy: 57404395.02424317
[2022-04-08 05:22:01.884341]Total energy: 57530491.28316613
[2022-04-08 05:23:18.945475]Total energy: 57413698.13993237
[2022-04-08 05:24:38.560164]Total energy: 57359911.644667074
[2022-04-08 05:25:57.073014]Total energy: 57521680.03144278
[2022-04-08 05:27:16.057442]Total energy: 57458729.193669945
[2022-04-08 05:28:35.042179]Total energy: 57350835.534845434
[2022-04-08 05:29:53.271382]Total energy: 57382050.27896019
[2022-04-08 05:31:21.681588]Total energy: 57314303.82788983
[2022-04-08 05:32:45.666449]Total energy: 57397814.46474695
[2022-04-08 05:34:03.779487]Total energy: 57445741.93357641
[2022-04-08 05:35:28.673977]Total energy: 57451097.39219831
[2022-04-08 05:36:45.740841]Total energy: 57564421.82867687
[2022-04-08 05:38:08.067698]Total energy: 57327064.75205191
[2022-04-08 05:39:27.642098]Total energy: 57470872.613430426
[2022-04-08 05:41:00.643385]Total energy: 57427228.89779992
[2022-04-08 05:42:41.339134]Total energy: 57492524.82598733
[2022-04-08 05:44:16.951074]Total energy: 57391616.029377304
[2022-04-08 05:45:36.278769]Total energy: 57404090.21567659
[2022-04-08 05:46:54.707930]Total energy: 57371582.547765635
[2022-04-08 05:48:15.080402]Total energy: 57416016.943465695
[2022-04-08 05:49:35.239647]Total energy: 57440312.044490844
[2022-04-08 05:50:54.564125]Total energy: 57452077.19389292
[2022-04-08 05:52:14.380238]Total energy: 57470787.53145048
[2022-04-08 05:53:33.976172]Total energy: 57417022.38827652
[2022-04-08 05:54:52.887206]Total energy: 57525318.42247592
[2022-04-08 05:56:11.808553]Total energy: 57416992.07300716
[2022-04-08 05:57:29.814393]Total energy: 57489436.71212517
[2022-04-08 05:58:46.769450]Total energy: 57551857.756070204
[2022-04-08 06:00:06.674426]Total energy: 57528411.120739065
[2022-04-08 06:01:23.919041]Total energy: 57429444.80229676
[2022-04-08 06:02:43.480059]Total energy: 57431049.33962257
[2022-04-08 06:04:02.134168]Total energy: 57406951.29603544
[2022-04-08 06:05:20.429994]Total energy: 57440044.8178065
[2022-04-08 06:06:39.852899]Total energy: 57547622.09150926
[2022-04-08 06:07:58.061660]Total energy: 57464510.86235459
[2022-04-08 06:09:18.144546]Total energy: 57437369.36675906
[2022-04-08 06:10:37.673277]Total energy: 57467718.20206221
[2022-04-08 06:11:57.968740]Total energy: 57361519.563937925
[2022-04-08 06:13:16.881053]Total energy: 57451332.42745714
[2022-04-08 06:14:40.236282]Total energy: 57491151.40595945
[2022-04-08 06:16:12.855776]Total energy: 57321196.43359269
[2022-04-08 06:17:31.769875]Total energy: 57495533.928594485
[2022-04-08 06:18:51.387024]Total energy: 57440858.130637616
[2022-04-08 06:20:10.188206]Total energy: 57437680.9596163
[2022-04-08 06:21:27.714389]Total energy: 57486004.023247436
[2022-04-08 06:22:49.589045]Total energy: 57431256.26413018
[2022-04-08 06:24:58.644704]Total energy: 57449172.007244274
[2022-04-08 06:26:19.777042]Total energy: 57392439.577914566
[2022-04-08 06:27:37.947682]Total energy: 57452849.76272632
[2022-04-08 06:28:58.596774]Total energy: 57422669.97940882
[2022-04-08 06:30:17.339054]Total energy: 57418405.31979433
[2022-04-08 06:31:37.532029]Total energy: 57480016.70738506
[2022-04-08 06:32:56.570129]Total energy: 57222550.23255376
[2022-04-08 06:34:15.202223]Total energy: 57377791.561721936
[2022-04-08 06:35:38.532888]Total energy: 57383575.48534627
[2022-04-08 06:36:57.475077]Total energy: 57518950.27394119
[2022-04-08 06:38:16.416764]Total energy: 57391030.04234381
[2022-04-08 06:39:35.398440]Total energy: 57427770.96133824
[2022-04-08 06:40:55.320716]Total energy: 57364832.95739247
[2022-04-08 06:42:15.144943]Total energy: 57493369.88620293
[2022-04-08 06:43:34.822149]Total energy: 57440148.29011035
[2022-04-08 06:44:54.085194]Total energy: 57436401.45956706
[2022-04-08 06:46:13.018249]Total energy: 57490148.87466963
[2022-04-08 06:47:31.752253]Total energy: 57417126.07056536
[2022-04-08 06:48:52.325161]Total energy: 57368755.73196019
[2022-04-08 06:50:11.785117]Total energy: 57480763.22965546
[2022-04-08 06:51:37.594334]Total energy: 57449537.95812395
[2022-04-08 06:53:04.815943]Total energy: 57495260.0368053
[2022-04-08 06:54:35.399003]Total energy: 57423237.30902046
[2022-04-08 06:56:07.480730]Total energy: 57437725.46890711
[2022-04-08 06:57:32.622792]Total energy: 57439667.54087596
[2022-04-08 06:58:52.670877]Total energy: 57444742.19284696
[2022-04-08 07:00:11.560828]Total energy: 57377271.42991972
[2022-04-08 07:01:44.179098]Total energy: 57393659.06666702
[2022-04-08 07:03:13.321608]Total energy: 57481787.978525735
[2022-04-08 07:04:38.934639]Total energy: 57477603.29232389
[2022-04-08 07:05:58.172827]Total energy: 57392440.40115596
[2022-04-08 07:07:16.318513]Total energy: 57546661.66644119
[2022-04-08 07:08:33.804907]Total energy: 57450226.8969757
[2022-04-08 07:09:52.244959]Total energy: 57471729.2524125
[2022-04-08 07:11:10.589026]Total energy: 57504854.50045077
[2022-04-08 07:12:28.967464]Total energy: 57492744.03822306
[2022-04-08 07:13:48.175754]Total energy: 57618128.833348386
[2022-04-08 07:15:06.955598]Total energy: 57510346.99465351
[2022-04-08 07:16:26.011505]Total energy: 57445246.87326668
[2022-04-08 07:17:44.329908]Total energy: 57401804.12126803
[2022-04-08 07:19:02.083442]Total energy: 57504702.83613126
[2022-04-08 07:20:20.753089]Total energy: 57497808.51457432
[2022-04-08 07:21:45.389189]Total energy: 57385575.58149026
[2022-04-08 07:23:03.229246]Total energy: 57402153.22431779
[2022-04-08 07:24:20.849552]Total energy: 57502795.428553194
[2022-04-08 07:25:41.290325]Total energy: 57458553.94446298
[2022-04-08 07:26:59.232850]Total energy: 57404289.6517206
[2022-04-08 07:28:16.416589]Total energy: 57451121.875032544
[2022-04-08 07:29:35.058989]Total energy: 57429100.32467843
[2022-04-08 07:31:01.895872]Total energy: 57340807.10926962
[2022-04-08 07:32:43.019991]Total energy: 57407290.882299
[2022-04-08 07:34:13.488637]Total energy: 57440733.08734165
[2022-04-08 07:35:32.390604]Total energy: 57459797.17542679
[2022-04-08 07:36:50.847575]Total energy: 57508089.99137501
[2022-04-08 07:38:09.189134]Total energy: 57398251.93131319
[2022-04-08 07:39:27.984056]Total energy: 57501329.552438855
[2022-04-08 07:40:57.834264]Total energy: 57359428.39252167
[2022-04-08 07:42:24.271102]Total energy: 57484047.38442858
[2022-04-08 07:43:42.185180]Total energy: 57579297.68790642
[2022-04-08 07:45:00.172941]Total energy: 57325371.13775295
[2022-04-08 07:46:18.254334]Total energy: 57485123.396337904
[2022-04-08 07:47:36.054342]Total energy: 57395677.56303511
[2022-04-08 07:48:53.730440]Total energy: 57415178.64297576
[2022-04-08 07:50:14.328268]Total energy: 57408606.688053556
[2022-04-08 07:51:31.823461]Total energy: 57448780.93990664
[2022-04-08 07:52:48.879622]Total energy: 57423525.98557741
[2022-04-08 07:54:06.765237]Total energy: 57509662.228864335
[2022-04-08 07:55:25.219424]Total energy: 57376449.45669347
[2022-04-08 07:56:44.290348]Total energy: 57523736.735067755
[2022-04-08 07:58:02.062589]Total energy: 57500489.10525076
[2022-04-08 07:59:20.708574]Total energy: 57510940.1009143
[2022-04-08 08:00:56.102928]Total energy: 57332274.38332912
[2022-04-08 08:02:22.631243]Total energy: 57373799.29330723
[2022-04-08 08:03:41.533222]Total energy: 57468809.34968125
[2022-04-08 08:05:00.476096]Total energy: 57434347.37136021
[2022-04-08 08:06:19.770563]Total energy: 57497724.588873655
[2022-04-08 08:07:38.095640]Total energy: 57422710.99855791
[2022-04-08 08:08:56.158693]Total energy: 57527583.73579261
[2022-04-08 08:10:13.449841]Total energy: 57397420.018328875
[2022-04-08 08:11:45.725976]Total energy: 57326347.21465856
[2022-04-08 08:13:12.320187]Total energy: 57533275.91272508
[2022-04-08 08:14:29.737139]Total energy: 57440001.53838945
[2022-04-08 08:15:46.949944]Total energy: 57516025.27398648
[2022-04-08 08:17:05.134590]Total energy: 57376443.36155039
[2022-04-08 08:18:22.107388]Total energy: 57471628.75519488
[2022-04-08 08:19:38.691195]Total energy: 57498533.55684332
[2022-04-08 08:21:08.128414]Total energy: 57444168.50201992
[2022-04-08 08:22:39.636142]Total energy: 57383769.436009474
[2022-04-08 08:24:01.439991]Total energy: 57357176.647113614
[2022-04-08 08:25:18.536906]Total energy: 57427952.92280589
[2022-04-08 08:26:36.762768]Total energy: 57520065.938800976
[2022-04-08 08:27:55.216854]Total energy: 57476405.18085889
[2022-04-08 08:29:13.199662]Total energy: 57375957.204784766
[2022-04-08 08:30:53.931285]Total energy: 57522974.00496822
[2022-04-08 08:32:22.551274]Total energy: 57554745.787652634
[2022-04-08 08:33:41.522600]Total energy: 57512968.89955511
[2022-04-08 08:34:59.632873]Total energy: 57470341.698251694
[2022-04-08 08:36:29.264942]Total energy: 57484224.3475229
[2022-04-08 08:37:46.783816]Total energy: 57449596.34103109
[2022-04-08 08:39:08.039338]Total energy: 57522815.03103297
[2022-04-08 08:40:54.332885]Total energy: 57352531.1816739
[2022-04-08 08:42:37.235620]Total energy: 57431220.413205944
[2022-04-08 08:44:01.768466]Total energy: 57486265.437859915
[2022-04-08 08:45:24.966954]Total energy: 57488213.46102412
[2022-04-08 08:46:45.047085]Total energy: 57617523.57773761
[2022-04-08 08:48:05.663616]Total energy: 57449944.09980776
[2022-04-08 08:49:25.751591]Total energy: 57441165.309838764
[2022-04-08 08:51:06.414908]Total energy: 57531341.17484909
