initial: 112 - diverse_no_blind_seed
[2022-04-09 16:52:40.088557]Total energy: 16958868.791756675
[2022-04-09 16:54:04.490240]Total energy: 16964828.62063767
[2022-04-09 16:55:28.484376]Total energy: 16949566.455970295
[2022-04-09 16:56:51.634780]Total energy: 16969029.190999594
[2022-04-09 16:58:15.763848]Total energy: 16903960.709945057
[2022-04-09 16:59:42.847495]Total energy: 16969642.379978366
[2022-04-09 17:01:24.182333]Total energy: 17001602.78605874
[2022-04-09 17:03:09.189227]Total energy: 17013406.23054457
[2022-04-09 17:04:43.148876]Total energy: 16962597.371064007
[2022-04-09 17:06:07.584829]Total energy: 17024957.47829352
[2022-04-09 17:07:33.444730]Total energy: 17026025.414631084
[2022-04-09 17:08:57.273073]Total energy: 16976424.47793411
[2022-04-09 17:10:21.824019]Total energy: 16988549.790003322
[2022-04-09 17:11:59.164302]Total energy: 16983467.870281212
[2022-04-09 17:13:25.869080]Total energy: 16995612.353767462
[2022-04-09 17:14:51.417191]Total energy: 16990055.884142257
[2022-04-09 17:16:17.742178]Total energy: 16924566.627144948
[2022-04-09 17:17:41.507789]Total energy: 16927596.485436473
[2022-04-09 17:19:07.097549]Total energy: 16981232.489113376
[2022-04-09 17:20:42.614947]Total energy: 16982194.198231976
[2022-04-09 17:22:24.509820]Total energy: 16993486.265263278
[2022-04-09 17:23:56.583683]Total energy: 16969701.66713598
[2022-04-09 17:25:21.069158]Total energy: 17009191.121820662
[2022-04-09 17:26:47.696464]Total energy: 17010394.416285977
[2022-04-09 17:28:13.378625]Total energy: 17001097.2398294
[2022-04-09 17:29:37.228151]Total energy: 16938124.288279105
[2022-04-09 17:31:05.980888]Total energy: 17024863.43768632
[2022-04-09 17:32:44.501516]Total energy: 17006895.12990068
[2022-04-09 17:34:16.111944]Total energy: 16979387.16064174
[2022-04-09 17:35:40.782780]Total energy: 16995773.049474142
[2022-04-09 17:37:03.713479]Total energy: 16976417.193816137
[2022-04-09 17:38:25.894692]Total energy: 17062800.900905255
[2022-04-09 17:39:52.370602]Total energy: 16945138.93875896
[2022-04-09 17:41:29.837865]Total energy: 16976073.350256756
[2022-04-09 17:43:03.475224]Total energy: 16969910.41191984
[2022-04-09 17:44:30.378941]Total energy: 16968048.84444635
[2022-04-09 17:45:58.786062]Total energy: 16953094.86753229
[2022-04-09 17:47:29.763065]Total energy: 16981416.02270462
[2022-04-09 17:48:53.922135]Total energy: 16998981.359840535
[2022-04-09 17:50:16.460282]Total energy: 16990906.337909862
[2022-04-09 17:51:57.059008]Total energy: 17054804.181215227
[2022-04-09 17:53:36.696089]Total energy: 16993696.220398128
[2022-04-09 17:55:07.346923]Total energy: 17022469.150245387
[2022-04-09 17:56:30.222799]Total energy: 16999879.26696569
[2022-04-09 17:57:54.129182]Total energy: 16980189.470806815
[2022-04-09 17:59:18.089488]Total energy: 17003463.550137557
[2022-04-09 18:00:59.046030]Total energy: 17012067.741476778
[2022-04-09 18:02:31.715388]Total energy: 16983898.49441569
[2022-04-09 18:03:57.425826]Total energy: 17002434.257317476
[2022-04-09 18:05:21.796961]Total energy: 16991531.93648119
[2022-04-09 18:06:45.413220]Total energy: 17058134.480028603
[2022-04-09 18:08:09.160773]Total energy: 16940081.223130066
[2022-04-09 18:09:32.361766]Total energy: 17027284.816541053
[2022-04-09 18:11:02.372524]Total energy: 16987351.461164545
[2022-04-09 18:12:30.538181]Total energy: 16984547.855442494
[2022-04-09 18:13:53.657349]Total energy: 16933611.129294273
[2022-04-09 18:15:16.511519]Total energy: 16961472.058963433
[2022-04-09 18:16:41.040168]Total energy: 16939349.795034453
[2022-04-09 18:18:05.526927]Total energy: 17043592.629137754
[2022-04-09 18:19:30.176987]Total energy: 17010532.964029275
[2022-04-09 18:21:12.324238]Total energy: 16941831.547476105
[2022-04-09 18:22:57.722589]Total energy: 16993415.553363554
[2022-04-09 18:24:24.502781]Total energy: 17023975.439259473
[2022-04-09 18:25:48.995706]Total energy: 16975345.01303482
[2022-04-09 18:27:17.193550]Total energy: 16948730.865916967
[2022-04-09 18:28:41.609286]Total energy: 16928557.884311013
[2022-04-09 18:30:15.230153]Total energy: 16930313.413753513
[2022-04-09 18:32:00.259727]Total energy: 16985284.88559902
[2022-04-09 18:33:43.961087]Total energy: 17006291.397420403
[2022-04-09 18:35:16.782394]Total energy: 16977737.438128177
[2022-04-09 18:36:41.142221]Total energy: 16986016.322042167
[2022-04-09 18:38:05.929501]Total energy: 16983995.428435393
[2022-04-09 18:39:29.143738]Total energy: 16962707.221420392
[2022-04-09 18:41:15.916912]Total energy: 16972821.990448795
[2022-04-09 18:42:50.369589]Total energy: 16996613.81226538
[2022-04-09 18:44:15.748218]Total energy: 16912564.305962455
[2022-04-09 18:45:39.168995]Total energy: 16939552.789659698
[2022-04-09 18:47:04.318651]Total energy: 16954530.98131494
[2022-04-09 18:48:28.218027]Total energy: 16975304.68633567
[2022-04-09 18:49:50.841217]Total energy: 16932950.553337973
[2022-04-09 18:51:40.648380]Total energy: 16986080.848365173
[2022-04-09 18:53:25.305863]Total energy: 16951349.755286526
[2022-04-09 18:54:51.286885]Total energy: 16969575.311112516
[2022-04-09 18:56:15.188437]Total energy: 16977645.94067653
[2022-04-09 18:57:38.682635]Total energy: 17001829.973320156
[2022-04-09 18:59:03.726428]Total energy: 16954487.49649697
[2022-04-09 19:01:07.247191]Total energy: 16991114.0263443
[2022-04-09 19:03:01.408873]Total energy: 16943800.817321587
[2022-04-09 19:04:37.927643]Total energy: 16940939.00859221
[2022-04-09 19:06:11.725230]Total energy: 16954688.93255918
[2022-04-09 19:07:35.044205]Total energy: 16970044.48914975
[2022-04-09 19:08:59.266457]Total energy: 16927030.915467
[2022-04-09 19:10:42.768093]Total energy: 16977712.15490236
[2022-04-09 19:12:46.460666]Total energy: 16938758.854072995
[2022-04-09 19:14:25.877848]Total energy: 16965528.60586118
[2022-04-09 19:15:53.970193]Total energy: 16997849.249989733
[2022-04-09 19:18:34.651526]Total energy: 16940102.565068226
[2022-04-09 19:21:03.223523]Total energy: 16984920.67605883
[2022-04-09 19:22:42.591276]Total energy: 16988933.612502053
[2022-04-09 19:24:09.298809]Total energy: 16986289.75984097
[2022-04-09 19:25:34.821398]Total energy: 16963944.273062807
[2022-04-09 19:26:58.936195]Total energy: 16981260.070973117
[2022-04-09 19:28:23.866424]Total energy: 16989463.863947198
[2022-04-09 19:29:46.840463]Total energy: 16986954.263630792
[2022-04-09 19:31:31.324740]Total energy: 16970313.30395459
[2022-04-09 19:33:03.370726]Total energy: 16922545.04147063
[2022-04-09 19:34:41.075001]Total energy: 16976297.261507574
[2022-04-09 19:36:13.077324]Total energy: 16934048.692392547
[2022-04-09 19:37:36.597781]Total energy: 16999876.962345216
[2022-04-09 19:39:01.560748]Total energy: 16949009.925975498
[2022-04-09 19:40:37.321638]Total energy: 16910764.466679513
[2022-04-09 19:42:10.267503]Total energy: 17013499.286869593
[2022-04-09 19:43:35.376061]Total energy: 16976926.12545307
[2022-04-09 19:44:58.171439]Total energy: 16951904.729469877
[2022-04-09 19:46:21.279940]Total energy: 17023749.60233381
[2022-04-09 19:47:44.932373]Total energy: 16999978.06850559
[2022-04-09 19:49:08.342037]Total energy: 16942247.040551346
[2022-04-09 19:51:05.719400]Total energy: 16967528.252670147
[2022-04-09 19:52:55.554608]Total energy: 16956635.360044856
[2022-04-09 19:54:34.546832]Total energy: 16989167.14361608
[2022-04-09 19:56:07.168328]Total energy: 17007126.485200703
[2022-04-09 19:57:33.063087]Total energy: 17004843.09523595
[2022-04-09 19:58:56.737372]Total energy: 16944284.142215345
[2022-04-09 20:00:24.024825]Total energy: 16997105.241183586
[2022-04-09 20:01:57.037191]Total energy: 16968529.875654023
[2022-04-09 20:03:20.824690]Total energy: 16937075.979171988
[2022-04-09 20:04:44.338948]Total energy: 16957484.133071832
[2022-04-09 20:06:07.747322]Total energy: 16975673.263538063
[2022-04-09 20:07:31.177527]Total energy: 16975436.904612236
[2022-04-09 20:08:57.782234]Total energy: 17019812.74538158
[2022-04-09 20:10:28.617223]Total energy: 16964855.547088064
[2022-04-09 20:12:19.074240]Total energy: 16960057.187408015
[2022-04-09 20:13:57.097444]Total energy: 16981800.876607373
[2022-04-09 20:15:35.470866]Total energy: 16962458.396648988
[2022-04-09 20:17:06.465838]Total energy: 16982762.425772037
[2022-04-09 20:18:29.990482]Total energy: 16965494.839985132
[2022-04-09 20:19:55.015429]Total energy: 16989985.36121268
[2022-04-09 20:21:29.000946]Total energy: 16949683.102939993
[2022-04-09 20:23:14.536389]Total energy: 16968213.610920984
[2022-04-09 20:24:42.530581]Total energy: 16986595.930814978
[2022-04-09 20:26:07.768220]Total energy: 16960828.289948694
[2022-04-09 20:27:31.346621]Total energy: 16984455.659454573
[2022-04-09 20:28:56.878693]Total energy: 16949407.267223917
[2022-04-09 20:30:20.920422]Total energy: 16935549.1224842
[2022-04-09 20:32:02.949665]Total energy: 16972730.748727754
[2022-04-09 20:33:25.970185]Total energy: 16976418.610897996
[2022-04-09 20:34:52.823016]Total energy: 16952524.399909362
[2022-04-09 20:36:16.652877]Total energy: 16944965.115987703
[2022-04-09 20:37:38.450854]Total energy: 16941170.06192887
[2022-04-09 20:39:03.039456]Total energy: 16973785.01121301
[2022-04-09 20:41:01.454161]Total energy: 17024973.486685805
[2022-04-09 20:42:52.336447]Total energy: 16954227.418713626
[2022-04-09 20:44:33.039985]Total energy: 16953695.35294478
[2022-04-09 20:46:16.620621]Total energy: 16971914.154626943
[2022-04-09 20:47:39.342890]Total energy: 16967015.954253566
[2022-04-09 20:49:02.392341]Total energy: 16923713.538723607
[2022-04-09 20:50:44.725488]Total energy: 16924624.33254042
[2022-04-09 20:52:30.490910]Total energy: 16932463.938666333
[2022-04-09 20:54:02.569575]Total energy: 16946610.832204398
[2022-04-09 20:55:32.959826]Total energy: 16966837.824602917
[2022-04-09 20:56:56.030331]Total energy: 16957841.52918749
[2022-04-09 20:58:20.057004]Total energy: 16960367.701947987
[2022-04-09 20:59:46.507673]Total energy: 16963142.290596418
[2022-04-09 21:01:31.515843]Total energy: 16918738.4313351
[2022-04-09 21:03:24.249876]Total energy: 16948235.34380795
[2022-04-09 21:05:07.437732]Total energy: 16987125.531859297
[2022-04-09 21:06:50.265750]Total energy: 16989278.89811236
[2022-04-09 21:08:38.653135]Total energy: 16950197.109803166
[2022-04-09 21:10:12.460939]Total energy: 16961820.82605916
[2022-04-09 21:11:37.830638]Total energy: 16930014.91633039
[2022-04-09 21:13:01.222973]Total energy: 16956206.433282714
[2022-04-09 21:14:25.540174]Total energy: 16921201.67421077
[2022-04-09 21:15:52.806472]Total energy: 17006129.53819673
[2022-04-09 21:17:15.066550]Total energy: 16944882.533415165
[2022-04-09 21:18:40.439323]Total energy: 16954217.523110654
[2022-04-09 21:20:05.528042]Total energy: 16998224.17704726
[2022-04-09 21:21:55.360896]Total energy: 16957545.0122272
[2022-04-09 21:23:45.987652]Total energy: 16924877.088016063
[2022-04-09 21:25:12.469953]Total energy: 16963449.250868496
[2022-04-09 21:26:35.215132]Total energy: 16912178.12911219
[2022-04-09 21:27:56.934497]Total energy: 16979186.73198087
[2022-04-09 21:29:19.956558]Total energy: 16907747.494851526
[2022-04-09 21:31:08.052108]Total energy: 16927289.191367716
[2022-04-09 21:32:56.240130]Total energy: 16988905.034242395
[2022-04-09 21:34:43.419276]Total energy: 16945297.189448643
[2022-04-09 21:36:26.845218]Total energy: 16971976.00941112
[2022-04-09 21:37:52.373733]Total energy: 16954177.58826364
[2022-04-09 21:39:16.973019]Total energy: 16991095.388943795
[2022-04-09 21:40:46.049278]Total energy: 16915505.967550576
[2022-04-09 21:42:21.020478]Total energy: 16950969.575977243
[2022-04-09 21:44:01.730072]Total energy: 16966129.06773684
[2022-04-09 21:45:32.669681]Total energy: 16948629.6228424
[2022-04-09 21:46:55.962665]Total energy: 16941345.77940449
[2022-04-09 21:48:19.468744]Total energy: 16967124.72338774
[2022-04-09 21:49:43.376228]Total energy: 16946901.674945585
[2022-04-09 21:51:29.126587]Total energy: 16969434.19738348
[2022-04-09 21:53:08.609783]Total energy: 16930642.983048316
[2022-04-09 21:54:37.693447]Total energy: 16949952.370778654
[2022-04-09 21:56:03.337615]Total energy: 16970906.08694509
[2022-04-09 21:57:28.820989]Total energy: 16974431.45492105
[2022-04-09 21:58:55.161447]Total energy: 16941726.783248954
[2022-04-09 22:00:19.539437]Total energy: 16964889.764614765
[2022-04-09 22:01:51.300820]Total energy: 16929732.32981056
[2022-04-09 22:03:23.376013]Total energy: 16980469.60633222
[2022-04-09 22:04:56.397199]Total energy: 16950422.5573331
[2022-04-09 22:06:37.201123]Total energy: 16987292.970348146
[2022-04-09 22:08:08.644431]Total energy: 16984270.892901544
[2022-04-09 22:09:33.470059]Total energy: 16958943.718230642
[2022-04-09 22:11:24.153121]Total energy: 16936362.39787502
[2022-04-09 22:13:20.040683]Total energy: 16919570.356643014
[2022-04-09 22:14:53.027768]Total energy: 16958364.029769022
[2022-04-09 22:16:16.180870]Total energy: 16937009.700280603
[2022-04-09 22:17:40.640419]Total energy: 16931257.700133108
[2022-04-09 22:19:09.400500]Total energy: 16953880.2822021
[2022-04-09 22:20:42.282349]Total energy: 16921543.470828254
[2022-04-09 22:22:24.302783]Total energy: 16919699.716141056
[2022-04-09 22:24:07.937466]Total energy: 16978881.238622215
[2022-04-09 22:25:36.542966]Total energy: 16935776.18636376
[2022-04-09 22:27:02.410946]Total energy: 17024904.178239293
[2022-04-09 22:28:25.343706]Total energy: 16934058.09642582
[2022-04-09 22:29:48.565963]Total energy: 16949207.37266619
[2022-04-09 22:31:30.769987]Total energy: 16894003.650070727
[2022-04-09 22:33:11.792202]Total energy: 16976946.046195608
[2022-04-09 22:34:35.684674]Total energy: 17016796.494111862
[2022-04-09 22:35:59.934847]Total energy: 17011552.120540395
[2022-04-09 22:37:21.753630]Total energy: 17067036.30189221
[2022-04-09 22:38:43.503667]Total energy: 16998334.434230715
[2022-04-09 22:40:06.485612]Total energy: 17018758.841184042
[2022-04-09 22:41:53.787418]Total energy: 17009727.021409456
[2022-04-09 22:43:45.587013]Total energy: 16997401.816750877
[2022-04-09 22:45:08.259350]Total energy: 16947772.62795806
[2022-04-09 22:46:31.038628]Total energy: 17004475.735612683
[2022-04-09 22:47:54.038711]Total energy: 17020460.923656486
[2022-04-09 22:49:17.212314]Total energy: 17000032.97464649
[2022-04-09 22:50:39.043368]Total energy: 16983439.102001604
[2022-04-09 22:52:03.060593]Total energy: 16984211.088055022
[2022-04-09 22:53:27.179718]Total energy: 16997231.011059128
[2022-04-09 22:54:50.708276]Total energy: 17019778.70491303
[2022-04-09 22:56:14.180351]Total energy: 16976096.287296016
[2022-04-09 22:57:37.929989]Total energy: 16960080.337912176
[2022-04-09 22:58:59.550873]Total energy: 17017438.006817065
[2022-04-09 23:00:33.787968]Total energy: 17048127.57992087
[2022-04-09 23:02:17.672886]Total energy: 17000271.09056452
[2022-04-09 23:03:51.452861]Total energy: 16957119.47893651
[2022-04-09 23:05:27.015584]Total energy: 16990810.4251565
[2022-04-09 23:07:00.592357]Total energy: 17004731.797879912
[2022-04-09 23:08:29.601708]Total energy: 17003185.471178778
[2022-04-09 23:09:55.108667]Total energy: 16991227.765902862
[2022-04-09 23:11:17.823396]Total energy: 16968633.875598088
[2022-04-09 23:12:40.077207]Total energy: 17011471.695106436
[2022-04-09 23:14:02.026725]Total energy: 16983724.58747439
[2022-04-09 23:15:30.090702]Total energy: 17064651.68857921
[2022-04-09 23:16:52.447815]Total energy: 16980628.02629221
[2022-04-09 23:18:15.146971]Total energy: 17019094.25627396
[2022-04-09 23:19:38.122082]Total energy: 16985932.984514486
[2022-04-09 23:21:21.988614]Total energy: 16980103.67504041
[2022-04-09 23:23:02.437470]Total energy: 17010764.474158462
[2022-04-09 23:24:41.633886]Total energy: 16980138.07698647
[2022-04-09 23:26:14.460231]Total energy: 16974584.46266434
[2022-04-09 23:27:37.445798]Total energy: 16980239.395884257
[2022-04-09 23:29:00.413666]Total energy: 16994336.029021244
[2022-04-09 23:30:40.795182]Total energy: 17002400.28983728
[2022-04-09 23:32:26.377400]Total energy: 17001966.95432558
[2022-04-09 23:34:08.464511]Total energy: 16976492.112686537
[2022-04-09 23:35:47.939086]Total energy: 16986401.32759155
[2022-04-09 23:37:24.966838]Total energy: 17012370.811086476
[2022-04-09 23:39:12.106888]Total energy: 17004492.353041466
[2022-04-09 23:40:46.652465]Total energy: 16946163.479675326
[2022-04-09 23:42:11.451773]Total energy: 16989274.92150389
[2022-04-09 23:43:35.398499]Total energy: 16964007.426581856
[2022-04-09 23:45:00.288799]Total energy: 16991004.06000355
[2022-04-09 23:46:23.968560]Total energy: 16943537.23969805
[2022-04-09 23:47:49.135399]Total energy: 16990521.91007467
[2022-04-09 23:49:11.276845]Total energy: 16990000.917097066
[2022-04-09 23:50:55.059771]Total energy: 17016465.39134994
[2022-04-09 23:52:35.698284]Total energy: 16981346.26683034
[2022-04-09 23:54:07.056273]Total energy: 16970172.36469832
[2022-04-09 23:55:35.546936]Total energy: 17039534.382545184
[2022-04-09 23:57:01.558247]Total energy: 16984806.901383482
[2022-04-09 23:58:26.569009]Total energy: 16962997.85563574
[2022-04-09 23:59:49.692548]Total energy: 16976823.501257114
[2022-04-10 00:01:29.129729]Total energy: 16981181.51975842
[2022-04-10 00:03:10.561167]Total energy: 16969474.019551303
[2022-04-10 00:04:49.718332]Total energy: 16918907.89436606
[2022-04-10 00:06:24.499279]Total energy: 16975392.64898784
[2022-04-10 00:07:47.650113]Total energy: 16996955.14096964
[2022-04-10 00:09:10.638295]Total energy: 16959804.924974877
[2022-04-10 00:11:07.872633]Total energy: 16976500.457300685
[2022-04-10 00:13:07.913640]Total energy: 16951234.872914024
[2022-04-10 00:14:49.701911]Total energy: 16990126.343328558
[2022-04-10 00:16:14.849742]Total energy: 17005311.820432983
[2022-04-10 00:17:37.981089]Total energy: 16969185.947372302
[2022-04-10 00:19:00.369154]Total energy: 16969312.12648104
[2022-04-10 00:20:38.147842]Total energy: 17026124.305039678
[2022-04-10 00:22:29.673725]Total energy: 16978151.52259089
[2022-04-10 00:24:06.341056]Total energy: 17007451.076909132
[2022-04-10 00:25:45.060953]Total energy: 16993864.41623059
[2022-04-10 00:27:14.166422]Total energy: 16977824.812087752
[2022-04-10 00:28:37.637309]Total energy: 16996593.083915167
[2022-04-10 00:30:01.317904]Total energy: 16985421.67698529
[2022-04-10 00:31:27.001362]Total energy: 16959784.204231877
[2022-04-10 00:32:51.175326]Total energy: 16998724.668472048
[2022-04-10 00:34:15.073796]Total energy: 16977312.406186264
[2022-04-10 00:35:39.548980]Total energy: 16986836.114561528
[2022-04-10 00:37:03.194933]Total energy: 16955265.749303866
[2022-04-10 00:38:25.549077]Total energy: 16999845.829405874
[2022-04-10 00:39:49.116643]Total energy: 17010811.415498264
[2022-04-10 00:41:35.036770]Total energy: 17017519.624283843
[2022-04-10 00:43:17.456646]Total energy: 16969357.174342662
[2022-04-10 00:44:51.661073]Total energy: 16994320.06673571
[2022-04-10 00:46:16.241900]Total energy: 16962994.01971479
[2022-04-10 00:47:42.722978]Total energy: 16964420.751826536
[2022-04-10 00:49:06.306136]Total energy: 16990723.423970755
[2022-04-10 00:51:03.835210]Total energy: 17017477.909207717
[2022-04-10 00:52:49.291073]Total energy: 16967097.700741783
[2022-04-10 00:54:25.974994]Total energy: 16974378.851533923
[2022-04-10 00:56:03.569735]Total energy: 16944090.967541434
[2022-04-10 00:57:40.253654]Total energy: 16956458.527614377
[2022-04-10 00:59:12.299750]Total energy: 16956160.23315829
[2022-04-10 01:00:35.709535]Total energy: 17014403.107135333
[2022-04-10 01:01:59.144573]Total energy: 16943604.05101397
[2022-04-10 01:03:25.846343]Total energy: 17022651.324412815
[2022-04-10 01:04:50.232897]Total energy: 16994823.202329744
[2022-04-10 01:06:14.502112]Total energy: 17032652.122364648
[2022-04-10 01:07:37.825108]Total energy: 17012546.57309631
[2022-04-10 01:09:01.353123]Total energy: 16994632.175392285
[2022-04-10 01:10:50.836055]Total energy: 17007679.634195056
[2022-04-10 01:12:43.029196]Total energy: 16985565.592671208
[2022-04-10 01:14:24.366460]Total energy: 16974737.81499051
[2022-04-10 01:16:03.087022]Total energy: 16973442.677623488
[2022-04-10 01:17:31.189217]Total energy: 16965233.133621205
[2022-04-10 01:18:55.896343]Total energy: 16973536.32580419
[2022-04-10 01:20:19.329659]Total energy: 16967971.706077527
[2022-04-10 01:21:42.098856]Total energy: 16957673.520062316
[2022-04-10 01:23:04.976557]Total energy: 16981338.518111557
[2022-04-10 01:24:28.007372]Total energy: 16969034.800768707
[2022-04-10 01:25:54.084163]Total energy: 17005358.54985688
[2022-04-10 01:27:17.968553]Total energy: 16987777.349296127
[2022-04-10 01:28:42.732315]Total energy: 16954693.90635589
[2022-04-10 01:30:08.389057]Total energy: 17018360.541861214
[2022-04-10 01:31:41.807352]Total energy: 17026225.324733745
[2022-04-10 01:33:29.094491]Total energy: 16973812.608010616
[2022-04-10 01:34:58.365802]Total energy: 16953514.78074214
[2022-04-10 01:36:22.365376]Total energy: 17003485.161791217
[2022-04-10 01:37:44.747864]Total energy: 16966919.79183022
[2022-04-10 01:39:09.637033]Total energy: 16983992.78254662
[2022-04-10 01:40:54.274257]Total energy: 16941587.291230988
[2022-04-10 01:42:46.630957]Total energy: 16999285.577776816
[2022-04-10 01:44:10.414923]Total energy: 16970664.30568121
[2022-04-10 01:45:34.000977]Total energy: 17026640.759382024
[2022-04-10 01:47:01.324431]Total energy: 16960913.653813116
[2022-04-10 01:48:24.228328]Total energy: 17009269.185517818
[2022-04-10 01:49:46.907959]Total energy: 16987163.298067354
[2022-04-10 01:51:10.927838]Total energy: 17006760.698605563
[2022-04-10 01:52:33.799254]Total energy: 16926994.569849283
[2022-04-10 01:53:57.517482]Total energy: 17012150.658875234
[2022-04-10 01:55:20.235645]Total energy: 16967476.89466156
[2022-04-10 01:56:44.322213]Total energy: 16946398.164146617
[2022-04-10 01:58:07.634977]Total energy: 17007383.157245595
[2022-04-10 01:59:30.407641]Total energy: 16948491.56766844
[2022-04-10 02:01:16.200611]Total energy: 16952871.84920356
[2022-04-10 02:03:09.945455]Total energy: 16979460.63979493
[2022-04-10 02:04:48.607916]Total energy: 17041476.548648916
[2022-04-10 02:06:25.471136]Total energy: 16966538.95210089
[2022-04-10 02:07:57.954723]Total energy: 16983241.174044453
[2022-04-10 02:09:23.263519]Total energy: 16977805.1462836
[2022-04-10 02:10:45.226682]Total energy: 16983530.717674714
[2022-04-10 02:12:09.984212]Total energy: 16968660.68238214
[2022-04-10 02:13:32.810749]Total energy: 17003568.33494913
[2022-04-10 02:14:55.205433]Total energy: 16925858.111515146
[2022-04-10 02:16:19.751089]Total energy: 17001148.08747683
[2022-04-10 02:17:43.724003]Total energy: 16990540.749198675
[2022-04-10 02:19:07.442405]Total energy: 16918889.594680008
[2022-04-10 02:21:09.377649]Total energy: 16951791.28337408
[2022-04-10 02:23:14.258238]Total energy: 16975022.472391598
[2022-04-10 02:24:47.059008]Total energy: 16965199.101173777
[2022-04-10 02:26:12.104347]Total energy: 16973798.273181118
[2022-04-10 02:27:34.353027]Total energy: 16977753.64614141
[2022-04-10 02:28:58.492191]Total energy: 16973425.1399414
[2022-04-10 02:30:28.127157]Total energy: 16961604.673633654
[2022-04-10 02:32:07.765799]Total energy: 16987911.359342765
[2022-04-10 02:33:51.876579]Total energy: 16978187.939904533
[2022-04-10 02:35:36.220675]Total energy: 16950870.842717085
[2022-04-10 02:37:11.764106]Total energy: 16995555.363518577
[2022-04-10 02:38:35.194873]Total energy: 16981246.97390405
[2022-04-10 02:39:58.028094]Total energy: 16956295.77406549
[2022-04-10 02:41:21.967877]Total energy: 16967806.959265858
[2022-04-10 02:42:45.698492]Total energy: 16977282.626623996
[2022-04-10 02:44:11.710477]Total energy: 16974849.412298266
[2022-04-10 02:45:34.644939]Total energy: 16937797.73561602
[2022-04-10 02:46:57.755282]Total energy: 16991043.5826222
[2022-04-10 02:48:22.352762]Total energy: 16981024.546511453
[2022-04-10 02:49:46.035267]Total energy: 16983978.492031485
[2022-04-10 02:51:19.000871]Total energy: 16975319.282253247
[2022-04-10 02:52:58.238408]Total energy: 16948278.698781203
[2022-04-10 02:54:30.493315]Total energy: 17001352.975218475
[2022-04-10 02:55:55.875456]Total energy: 16929525.206263468
[2022-04-10 02:57:18.503118]Total energy: 16991269.72759123
[2022-04-10 02:58:41.586402]Total energy: 16985633.217488457
[2022-04-10 03:00:04.369102]Total energy: 17001161.972373284
[2022-04-10 03:01:54.346110]Total energy: 16986484.26875071
[2022-04-10 03:03:37.649465]Total energy: 17004691.08804802
[2022-04-10 03:05:08.993632]Total energy: 17010269.733541578
[2022-04-10 03:06:43.068346]Total energy: 16978201.83152175
