initial: all - diverse_all
[2022-04-07 22:44:32.150340]Total energy: 16790938.582774464
[2022-04-07 22:45:40.142861]Total energy: 16840725.852131404
[2022-04-07 22:46:48.145903]Total energy: 16771428.615107836
[2022-04-07 22:47:55.697236]Total energy: 16814018.43512125
[2022-04-07 22:49:02.491994]Total energy: 16779551.98176703
[2022-04-07 22:50:10.518206]Total energy: 16784609.221858036
[2022-04-07 22:51:27.285343]Total energy: 16759303.832622696
[2022-04-07 22:52:44.891925]Total energy: 16759296.813078193
[2022-04-07 22:53:55.902764]Total energy: 16808355.59926877
[2022-04-07 22:55:03.598778]Total energy: 16792650.514304228
[2022-04-07 22:56:13.598765]Total energy: 16783976.02324399
[2022-04-07 22:57:21.395499]Total energy: 16764843.321705237
[2022-04-07 22:58:28.902580]Total energy: 16777583.50498668
[2022-04-07 22:59:43.360109]Total energy: 16790881.120021027
[2022-04-07 23:01:12.801558]Total energy: 16810992.64643224
[2022-04-07 23:02:30.837473]Total energy: 16793957.734338153
[2022-04-07 23:03:37.818963]Total energy: 16739132.716274166
[2022-04-07 23:04:45.332767]Total energy: 16765724.935568312
[2022-04-07 23:05:52.511080]Total energy: 16777363.994901754
[2022-04-07 23:07:00.787502]Total energy: 16808603.33760057
[2022-04-07 23:08:08.065736]Total energy: 16767606.839327559
[2022-04-07 23:09:15.688778]Total energy: 16826563.445531618
[2022-04-07 23:10:39.739999]Total energy: 16779318.26549939
[2022-04-07 23:12:09.626649]Total energy: 16817414.414229713
[2022-04-07 23:13:17.254544]Total energy: 16848582.108875502
[2022-04-07 23:14:25.945621]Total energy: 16821349.030155044
[2022-04-07 23:15:36.454270]Total energy: 16784339.894259654
[2022-04-07 23:16:59.682146]Total energy: 16824418.331489343
[2022-04-07 23:18:07.368224]Total energy: 16766168.208436908
[2022-04-07 23:19:16.772702]Total energy: 16702264.946514467
[2022-04-07 23:20:44.569304]Total energy: 16771008.025218278
[2022-04-07 23:22:15.988015]Total energy: 16741972.052911945
[2022-04-07 23:23:33.679250]Total energy: 16680607.616060004
[2022-04-07 23:24:40.926261]Total energy: 16777081.362412753
[2022-04-07 23:25:48.537387]Total energy: 16717873.04122061
[2022-04-07 23:26:57.293535]Total energy: 16771850.569299156
[2022-04-07 23:28:04.670111]Total energy: 16725447.174233507
[2022-04-07 23:29:12.589828]Total energy: 16760260.576743038
[2022-04-07 23:30:24.549147]Total energy: 16798021.751587592
[2022-04-07 23:31:52.750617]Total energy: 16760908.650534756
[2022-04-07 23:33:01.194879]Total energy: 16758153.475138202
[2022-04-07 23:34:09.318319]Total energy: 16792926.246422976
[2022-04-07 23:35:17.748913]Total energy: 16731152.242747737
[2022-04-07 23:36:27.240724]Total energy: 16758641.427349875
[2022-04-07 23:37:34.852357]Total energy: 16730298.451697724
[2022-04-07 23:38:43.249903]Total energy: 16779032.068089373
[2022-04-07 23:39:54.335428]Total energy: 16722462.81171077
[2022-04-07 23:41:14.692082]Total energy: 16748500.81923005
[2022-04-07 23:42:24.757782]Total energy: 16739580.706236897
[2022-04-07 23:43:32.922021]Total energy: 16781690.83363282
[2022-04-07 23:44:40.514014]Total energy: 16766555.250703402
[2022-04-07 23:45:47.896814]Total energy: 16764263.131900042
[2022-04-07 23:46:54.840445]Total energy: 16749321.677479591
[2022-04-07 23:48:03.121652]Total energy: 16732930.627886478
[2022-04-07 23:49:11.603231]Total energy: 16730234.452908628
[2022-04-07 23:50:19.830908]Total energy: 16743109.728035048
[2022-04-07 23:51:42.645931]Total energy: 16730364.355902487
[2022-04-07 23:53:06.732277]Total energy: 16784559.11872512
[2022-04-07 23:54:20.448996]Total energy: 16774426.995961132
[2022-04-07 23:55:30.893175]Total energy: 16765539.885989692
[2022-04-07 23:56:37.819953]Total energy: 16743313.668062806
[2022-04-07 23:57:46.308002]Total energy: 16705623.408542182
[2022-04-07 23:58:55.863768]Total energy: 16720674.600404609
[2022-04-08 00:00:06.126809]Total energy: 16764069.955880467
[2022-04-08 00:01:14.758827]Total energy: 16803821.893844582
[2022-04-08 00:02:24.401953]Total energy: 16766504.661199676
[2022-04-08 00:03:32.982183]Total energy: 16737233.64160273
[2022-04-08 00:04:39.732490]Total energy: 16733081.699449923
[2022-04-08 00:05:58.217753]Total energy: 16721711.729524873
[2022-04-08 00:07:05.218659]Total energy: 16732571.432443285
[2022-04-08 00:08:12.112403]Total energy: 16767875.063843073
[2022-04-08 00:09:22.229057]Total energy: 16764837.830115143
[2022-04-08 00:10:32.017782]Total energy: 16806438.58056054
[2022-04-08 00:11:40.069055]Total energy: 16775711.166351732
[2022-04-08 00:12:47.482403]Total energy: 16759518.104146997
[2022-04-08 00:13:55.747298]Total energy: 16753768.029511925
[2022-04-08 00:15:04.972989]Total energy: 16719381.409131732
[2022-04-08 00:16:13.440146]Total energy: 16782210.51990009
[2022-04-08 00:17:21.418955]Total energy: 16775014.414999848
[2022-04-08 00:18:29.254832]Total energy: 16753774.656065805
[2022-04-08 00:19:37.910638]Total energy: 16752910.218758214
[2022-04-08 00:21:18.467270]Total energy: 16776653.877760192
[2022-04-08 00:22:37.890526]Total energy: 16765416.518132398
[2022-04-08 00:23:47.288567]Total energy: 16736415.185781326
[2022-04-08 00:24:55.745230]Total energy: 16765457.129315073
[2022-04-08 00:26:03.487984]Total energy: 16749899.729183322
[2022-04-08 00:27:12.219203]Total energy: 16787493.8948397
[2022-04-08 00:28:20.383652]Total energy: 16731758.803202868
[2022-04-08 00:29:27.376243]Total energy: 16759552.511010291
[2022-04-08 00:30:59.496097]Total energy: 16733061.064711949
[2022-04-08 00:32:27.320309]Total energy: 16766802.320470868
[2022-04-08 00:33:44.986319]Total energy: 16780609.657288842
[2022-04-08 00:34:51.229025]Total energy: 16754376.64549677
[2022-04-08 00:35:58.202039]Total energy: 16779836.73957417
[2022-04-08 00:37:03.661403]Total energy: 16772111.652389139
[2022-04-08 00:38:09.196259]Total energy: 16744846.615689496
[2022-04-08 00:39:14.876976]Total energy: 16781770.687902726
[2022-04-08 00:40:21.541068]Total energy: 16776374.066003982
[2022-04-08 00:41:28.851657]Total energy: 16765168.056901833
[2022-04-08 00:42:35.646110]Total energy: 16759061.69975431
[2022-04-08 00:43:41.901022]Total energy: 16764039.289187185
[2022-04-08 00:44:47.660606]Total energy: 16757458.340580827
[2022-04-08 00:45:54.152038]Total energy: 16756456.857675098
[2022-04-08 00:47:00.763442]Total energy: 16755088.958075913
[2022-04-08 00:48:06.090230]Total energy: 16752444.582261229
[2022-04-08 00:49:11.435269]Total energy: 16779922.436284337
[2022-04-08 00:50:17.325036]Total energy: 16727284.38389892
[2022-04-08 00:51:27.939754]Total energy: 16752091.627729747
[2022-04-08 00:52:40.452648]Total energy: 16728717.562498402
[2022-04-08 00:53:50.413665]Total energy: 16761509.851601297
[2022-04-08 00:54:59.348581]Total energy: 16750876.560173295
[2022-04-08 00:56:08.690413]Total energy: 16805943.102502443
[2022-04-08 00:57:17.709466]Total energy: 16761398.977341827
[2022-04-08 00:58:26.588012]Total energy: 16734188.820252882
[2022-04-08 00:59:36.243470]Total energy: 16780210.833771307
[2022-04-08 01:00:58.594239]Total energy: 16730321.094087888
[2022-04-08 01:02:17.082416]Total energy: 16768857.992070023
[2022-04-08 01:03:28.113052]Total energy: 16758698.704780996
[2022-04-08 01:04:36.993747]Total energy: 16776460.113578895
[2022-04-08 01:05:45.822111]Total energy: 16730255.922360864
[2022-04-08 01:06:56.329771]Total energy: 16779802.138700165
[2022-04-08 01:08:05.153452]Total energy: 16743987.388065914
[2022-04-08 01:09:16.516277]Total energy: 16732002.491470197
[2022-04-08 01:10:36.101235]Total energy: 16798137.385641757
[2022-04-08 01:11:55.098491]Total energy: 16757797.371048108
[2022-04-08 01:13:05.888256]Total energy: 16748207.352873433
[2022-04-08 01:14:17.439451]Total energy: 16730737.347804653
[2022-04-08 01:15:27.014389]Total energy: 16726823.991291964
[2022-04-08 01:16:36.269883]Total energy: 16764102.072786676
[2022-04-08 01:17:46.585253]Total energy: 16756649.689601667
[2022-04-08 01:18:56.058950]Total energy: 16708150.2233012
[2022-04-08 01:20:06.665618]Total energy: 16743102.236625785
[2022-04-08 01:21:27.916290]Total energy: 16725368.610442827
[2022-04-08 01:22:47.636315]Total energy: 16735360.37973503
[2022-04-08 01:23:56.539998]Total energy: 16722832.113105275
[2022-04-08 01:25:06.883297]Total energy: 16738438.644567376
[2022-04-08 01:26:15.951031]Total energy: 16715029.370103344
[2022-04-08 01:27:25.677441]Total energy: 16718579.95492423
[2022-04-08 01:28:36.180722]Total energy: 16717994.509457417
[2022-04-08 01:29:47.031310]Total energy: 16763042.672538863
[2022-04-08 01:31:06.260975]Total energy: 16719164.212205764
[2022-04-08 01:32:29.715922]Total energy: 16735508.910546489
[2022-04-08 01:33:39.862683]Total energy: 16746269.327341132
[2022-04-08 01:34:48.816183]Total energy: 16719355.874480866
[2022-04-08 01:36:09.486993]Total energy: 16723728.525337478
[2022-04-08 01:37:23.621962]Total energy: 16730752.796039205
[2022-04-08 01:38:32.166982]Total energy: 16754726.40241739
[2022-04-08 01:39:43.313843]Total energy: 16725965.868718293
[2022-04-08 01:41:17.121718]Total energy: 16755154.978946393
[2022-04-08 01:42:52.673828]Total energy: 16719227.026708748
[2022-04-08 01:44:01.857249]Total energy: 16728819.463599155
[2022-04-08 01:45:13.146709]Total energy: 16719540.625827506
[2022-04-08 01:46:25.473184]Total energy: 16771838.29866242
[2022-04-08 01:47:35.382775]Total energy: 16743364.183969134
[2022-04-08 01:48:46.071711]Total energy: 16759739.992062807
[2022-04-08 01:49:58.531376]Total energy: 16669746.14511091
[2022-04-08 01:51:14.475652]Total energy: 16728541.089372573
[2022-04-08 01:52:38.178928]Total energy: 16750192.841660466
[2022-04-08 01:53:55.407176]Total energy: 16774557.218621152
[2022-04-08 01:55:06.071094]Total energy: 16720591.637809103
[2022-04-08 01:56:18.825061]Total energy: 16760243.926726323
[2022-04-08 01:57:27.002088]Total energy: 16748913.643952183
[2022-04-08 01:58:36.337429]Total energy: 16756137.216708886
[2022-04-08 01:59:46.807514]Total energy: 16717122.551294636
[2022-04-08 02:01:04.701856]Total energy: 16718830.380157689
[2022-04-08 02:02:23.873101]Total energy: 16747449.05708814
[2022-04-08 02:03:34.439670]Total energy: 16733813.416167822
[2022-04-08 02:04:43.856771]Total energy: 16758282.608268702
[2022-04-08 02:05:55.313315]Total energy: 16726656.409168737
[2022-04-08 02:07:04.073765]Total energy: 16743848.534843577
[2022-04-08 02:08:12.874083]Total energy: 16789199.46166174
[2022-04-08 02:09:25.312099]Total energy: 16747813.965191683
[2022-04-08 02:10:55.857806]Total energy: 16761379.091972176
[2022-04-08 02:12:13.996591]Total energy: 16731798.50220868
[2022-04-08 02:13:24.461027]Total energy: 16774350.123986473
[2022-04-08 02:14:36.226189]Total energy: 16767573.039105127
[2022-04-08 02:15:48.091813]Total energy: 16701592.371980274
[2022-04-08 02:16:57.876301]Total energy: 16726163.820824265
[2022-04-08 02:18:07.720074]Total energy: 16722618.169175083
[2022-04-08 02:19:18.348007]Total energy: 16702342.647387303
[2022-04-08 02:20:49.012418]Total energy: 16750413.135360738
[2022-04-08 02:22:23.410058]Total energy: 16734324.587503197
[2022-04-08 02:23:41.204612]Total energy: 16766639.487740528
[2022-04-08 02:24:59.903508]Total energy: 16766995.181337573
[2022-04-08 02:26:20.169919]Total energy: 16722076.726586187
[2022-04-08 02:27:28.375687]Total energy: 16754791.362458574
[2022-04-08 02:28:37.363024]Total energy: 16730500.946907133
[2022-04-08 02:29:44.790191]Total energy: 16716917.508258542
[2022-04-08 02:31:03.334126]Total energy: 16743119.895710006
[2022-04-08 02:32:17.014325]Total energy: 16727873.190432496
[2022-04-08 02:33:25.647087]Total energy: 16762025.255076582
[2022-04-08 02:34:36.796559]Total energy: 16717449.646791214
[2022-04-08 02:35:45.411634]Total energy: 16762364.293878796
[2022-04-08 02:36:54.348283]Total energy: 16717526.766158571
[2022-04-08 02:38:01.799705]Total energy: 16731103.96362921
[2022-04-08 02:39:09.658471]Total energy: 16724846.028060708
[2022-04-08 02:40:18.631035]Total energy: 16759615.730856532
[2022-04-08 02:41:49.548238]Total energy: 16761592.242706982
[2022-04-08 02:43:14.317229]Total energy: 16760361.51501346
[2022-04-08 02:44:30.552926]Total energy: 16725021.157234821
[2022-04-08 02:45:39.740214]Total energy: 16732854.513484603
[2022-04-08 02:46:48.474357]Total energy: 16734634.463494066
[2022-04-08 02:47:57.726497]Total energy: 16721170.993962886
[2022-04-08 02:49:07.117264]Total energy: 16703166.883548833
[2022-04-08 02:50:16.236371]Total energy: 16731477.297639137
[2022-04-08 02:51:33.120508]Total energy: 16761244.822497014
[2022-04-08 02:52:55.216190]Total energy: 16765483.61315017
[2022-04-08 02:54:13.611023]Total energy: 16716736.98449862
[2022-04-08 02:55:22.530251]Total energy: 16735440.963618947
[2022-04-08 02:56:30.452571]Total energy: 16765971.062159073
[2022-04-08 02:57:39.122661]Total energy: 16753502.604263864
[2022-04-08 02:58:46.812922]Total energy: 16768094.154580245
[2022-04-08 02:59:56.889942]Total energy: 16715975.158372428
[2022-04-08 03:01:22.754163]Total energy: 16750660.66001941
[2022-04-08 03:02:34.815993]Total energy: 16722796.54861542
[2022-04-08 03:03:47.501088]Total energy: 16762322.26017089
[2022-04-08 03:04:55.870796]Total energy: 16727268.470163107
[2022-04-08 03:06:03.789984]Total energy: 16739482.747687675
[2022-04-08 03:07:12.147690]Total energy: 16741859.734353313
[2022-04-08 03:08:20.179600]Total energy: 16772165.868492737
[2022-04-08 03:09:28.719436]Total energy: 16742660.5740503
[2022-04-08 03:10:46.793984]Total energy: 16759623.783443257
[2022-04-08 03:12:01.592822]Total energy: 16731827.511989323
[2022-04-08 03:13:08.690572]Total energy: 16728414.031267742
[2022-04-08 03:14:16.140501]Total energy: 16730933.371810354
[2022-04-08 03:15:26.474963]Total energy: 16748515.785557907
[2022-04-08 03:16:34.104917]Total energy: 16719761.050179005
[2022-04-08 03:17:42.051711]Total energy: 16732745.035863008
[2022-04-08 03:18:48.846141]Total energy: 16747209.652862025
[2022-04-08 03:19:58.787546]Total energy: 16728475.627193576
[2022-04-08 03:21:24.810216]Total energy: 16696388.975728456
[2022-04-08 03:22:56.687812]Total energy: 16722562.3258716
[2022-04-08 03:24:19.360054]Total energy: 16713453.538618296
[2022-04-08 03:25:33.176610]Total energy: 16746206.292177442
[2022-04-08 03:26:42.225599]Total energy: 16703548.32455367
[2022-04-08 03:27:50.160309]Total energy: 16702931.289528068
[2022-04-08 03:28:58.614954]Total energy: 16718681.185117451
[2022-04-08 03:30:07.676266]Total energy: 16748916.319712142
[2022-04-08 03:31:24.836318]Total energy: 16693689.032412317
[2022-04-08 03:32:46.045171]Total energy: 16661126.124476533
[2022-04-08 03:33:55.992008]Total energy: 16738847.841842424
[2022-04-08 03:35:04.574687]Total energy: 16784487.855792824
[2022-04-08 03:36:11.572692]Total energy: 16735324.63656813
[2022-04-08 03:37:19.906584]Total energy: 16743352.517132636
[2022-04-08 03:38:28.335373]Total energy: 16778303.12575685
[2022-04-08 03:39:36.360415]Total energy: 16782835.141015857
[2022-04-08 03:40:59.028829]Total energy: 16771724.941476816
[2022-04-08 03:42:07.781085]Total energy: 16761513.352215165
[2022-04-08 03:43:15.534464]Total energy: 16773100.47215419
[2022-04-08 03:44:24.682098]Total energy: 16797298.02994782
[2022-04-08 03:45:33.473074]Total energy: 16746275.928994546
[2022-04-08 03:46:44.722431]Total energy: 16750966.857110279
[2022-04-08 03:47:52.378306]Total energy: 16767449.770200973
[2022-04-08 03:49:00.400641]Total energy: 16770916.327758899
[2022-04-08 03:50:08.689216]Total energy: 16739681.014607182
[2022-04-08 03:51:17.252393]Total energy: 16777957.294706997
[2022-04-08 03:52:24.958056]Total energy: 16784233.42220785
[2022-04-08 03:53:32.696950]Total energy: 16769124.186418505
[2022-04-08 03:54:41.594007]Total energy: 16767425.811064221
[2022-04-08 03:55:57.799781]Total energy: 16759025.613056656
[2022-04-08 03:57:04.871779]Total energy: 16748453.135573419
[2022-04-08 03:58:13.448692]Total energy: 16824361.310616214
[2022-04-08 03:59:21.193546]Total energy: 16773146.31210512
[2022-04-08 04:00:55.686775]Total energy: 16748123.570370687
[2022-04-08 04:02:30.391083]Total energy: 16749076.050429052
[2022-04-08 04:03:37.950886]Total energy: 16791491.73721862
[2022-04-08 04:04:45.279526]Total energy: 16776210.404842334
[2022-04-08 04:05:54.730631]Total energy: 16771196.564945703
[2022-04-08 04:07:01.124726]Total energy: 16785775.86337943
[2022-04-08 04:08:08.531577]Total energy: 16776753.203755565
[2022-04-08 04:09:17.787701]Total energy: 16770480.074711753
[2022-04-08 04:10:33.860153]Total energy: 16791024.198851373
[2022-04-08 04:11:52.388835]Total energy: 16793898.984590355
[2022-04-08 04:13:03.231963]Total energy: 16781831.063568033
[2022-04-08 04:14:12.281406]Total energy: 16775516.61648177
[2022-04-08 04:15:23.665685]Total energy: 16795931.879142057
[2022-04-08 04:16:32.170098]Total energy: 16803098.760794442
[2022-04-08 04:17:40.886767]Total energy: 16746340.968759416
[2022-04-08 04:18:53.139495]Total energy: 16771433.026009161
[2022-04-08 04:20:02.733912]Total energy: 16796096.126165807
[2022-04-08 04:21:20.582970]Total energy: 16761137.706695696
[2022-04-08 04:22:35.593469]Total energy: 16772881.517956631
[2022-04-08 04:23:45.745901]Total energy: 16812505.719044723
[2022-04-08 04:24:57.654521]Total energy: 16761811.970257305
[2022-04-08 04:26:07.952637]Total energy: 16802722.09067059
[2022-04-08 04:27:17.892516]Total energy: 16767458.050630067
[2022-04-08 04:28:31.333774]Total energy: 16784133.69201357
[2022-04-08 04:29:41.018740]Total energy: 16779957.02102807
[2022-04-08 04:30:53.940037]Total energy: 16775973.300623719
[2022-04-08 04:32:15.161908]Total energy: 16791854.99899582
[2022-04-08 04:33:25.071246]Total energy: 16789036.43789769
[2022-04-08 04:34:33.720414]Total energy: 16792306.81660704
[2022-04-08 04:35:42.279744]Total energy: 16793838.003455035
[2022-04-08 04:36:51.422840]Total energy: 16785629.931203727
[2022-04-08 04:38:02.739241]Total energy: 16800200.7784488
[2022-04-08 04:39:11.725823]Total energy: 16737287.670941673
[2022-04-08 04:40:22.081422]Total energy: 16753580.692004796
[2022-04-08 04:41:59.047765]Total energy: 16795160.107464153
[2022-04-08 04:43:28.057236]Total energy: 16821960.078627817
[2022-04-08 04:44:49.526295]Total energy: 16797390.664137684
[2022-04-08 04:46:01.938860]Total energy: 16758087.183015335
[2022-04-08 04:47:10.284406]Total energy: 16801594.413213603
[2022-04-08 04:48:21.946225]Total energy: 16800791.087306425
[2022-04-08 04:49:31.832256]Total energy: 16778919.714518517
[2022-04-08 04:51:05.269259]Total energy: 16814846.385086376
[2022-04-08 04:52:45.725488]Total energy: 16753501.540554577
[2022-04-08 04:54:09.555967]Total energy: 16757791.633699028
[2022-04-08 04:55:24.031949]Total energy: 16774720.225306747
[2022-04-08 04:56:32.812992]Total energy: 16792925.619908158
[2022-04-08 04:57:41.928447]Total energy: 16791959.533223685
[2022-04-08 04:58:51.452095]Total energy: 16780207.600839484
[2022-04-08 04:59:59.067085]Total energy: 16758903.40259035
[2022-04-08 05:01:13.054239]Total energy: 16778873.512632295
[2022-04-08 05:02:23.561609]Total energy: 16759219.746092096
[2022-04-08 05:03:32.235592]Total energy: 16767009.670657774
[2022-04-08 05:04:41.414695]Total energy: 16785920.37986501
[2022-04-08 05:05:53.790574]Total energy: 16772396.39406762
[2022-04-08 05:07:02.692881]Total energy: 16783516.376775168
[2022-04-08 05:08:11.541339]Total energy: 16772353.992798768
[2022-04-08 05:09:22.847180]Total energy: 16731731.864135478
[2022-04-08 05:10:43.391848]Total energy: 16777832.254644506
[2022-04-08 05:12:11.417688]Total energy: 16750841.089624176
[2022-04-08 05:13:31.251967]Total energy: 16755665.524227295
[2022-04-08 05:14:40.557846]Total energy: 16744744.384129079
[2022-04-08 05:15:48.697688]Total energy: 16773709.87174457
[2022-04-08 05:16:57.223227]Total energy: 16766328.963502921
[2022-04-08 05:18:06.694345]Total energy: 16780417.707236685
[2022-04-08 05:19:15.744902]Total energy: 16760966.544557411
[2022-04-08 05:20:36.131094]Total energy: 16797666.348363537
[2022-04-08 05:21:50.119593]Total energy: 16706427.800145784
[2022-04-08 05:22:58.621967]Total energy: 16721711.833745128
[2022-04-08 05:24:06.579584]Total energy: 16744598.995391928
[2022-04-08 05:25:15.205258]Total energy: 16749078.975950414
[2022-04-08 05:26:25.307103]Total energy: 16753009.923854373
[2022-04-08 05:27:34.408876]Total energy: 16783722.772708733
[2022-04-08 05:28:43.702378]Total energy: 16732665.611463455
[2022-04-08 05:29:52.284684]Total energy: 16746346.307794765
[2022-04-08 05:31:12.099520]Total energy: 16723577.986726366
[2022-04-08 05:32:30.567231]Total energy: 16697804.25019935
[2022-04-08 05:33:39.490878]Total energy: 16762356.878312865
[2022-04-08 05:34:47.673467]Total energy: 16748036.41133947
[2022-04-08 05:35:59.525041]Total energy: 16719818.887373125
[2022-04-08 05:37:09.376989]Total energy: 16770642.813836161
[2022-04-08 05:38:21.272488]Total energy: 16729371.293553054
[2022-04-08 05:39:30.085232]Total energy: 16752913.299218105
[2022-04-08 05:41:02.406093]Total energy: 16802120.56271432
[2022-04-08 05:42:44.187758]Total energy: 16744994.439615652
[2022-04-08 05:44:11.881199]Total energy: 16780323.83342276
[2022-04-08 05:45:20.321672]Total energy: 16730357.70439842
[2022-04-08 05:46:30.850702]Total energy: 16727971.346882138
[2022-04-08 05:47:40.546531]Total energy: 16774468.267814755
[2022-04-08 05:48:49.316621]Total energy: 16744890.613958709
[2022-04-08 05:49:57.737292]Total energy: 16726757.377857376
[2022-04-08 05:51:15.342072]Total energy: 16746604.128494967
[2022-04-08 05:52:41.397900]Total energy: 16735885.947569845
[2022-04-08 05:53:56.736907]Total energy: 16714402.715009525
[2022-04-08 05:55:05.728445]Total energy: 16754572.298284827
[2022-04-08 05:56:14.126684]Total energy: 16761300.675102405
[2022-04-08 05:57:22.296191]Total energy: 16755721.26062159
[2022-04-08 05:58:30.616685]Total energy: 16759795.009524409
[2022-04-08 05:59:39.028859]Total energy: 16769904.524163628
[2022-04-08 06:00:55.613022]Total energy: 16758832.32883769
[2022-04-08 06:02:10.029831]Total energy: 16745952.22568148
[2022-04-08 06:03:18.101471]Total energy: 16755690.920977237
[2022-04-08 06:04:26.918097]Total energy: 16750597.26530605
[2022-04-08 06:05:35.329819]Total energy: 16752828.336601688
[2022-04-08 06:06:44.829936]Total energy: 16730337.148700897
[2022-04-08 06:07:53.131208]Total energy: 16737576.991880747
[2022-04-08 06:09:03.771981]Total energy: 16778209.791449938
[2022-04-08 06:10:11.320641]Total energy: 16738014.563340928
[2022-04-08 06:11:25.998230]Total energy: 16758261.930716224
[2022-04-08 06:12:34.716910]Total energy: 16758548.917189527
[2022-04-08 06:13:41.520709]Total energy: 16744061.443285106
[2022-04-08 06:14:51.065930]Total energy: 16796394.048426293
[2022-04-08 06:16:13.204022]Total energy: 16743366.617335988
[2022-04-08 06:17:19.336676]Total energy: 16757336.150083823
[2022-04-08 06:18:26.335492]Total energy: 16743017.242993042
[2022-04-08 06:19:38.158656]Total energy: 16738504.776703833
[2022-04-08 06:20:56.626401]Total energy: 16744939.515112024
