initial: all - optimal_only_all
[2022-04-07 21:50:49.481239]Total energy: 32089590.803836685
[2022-04-07 21:51:46.724560]Total energy: 32029651.519491818
[2022-04-07 21:52:37.085814]Total energy: 32065677.55408144
[2022-04-07 21:53:27.707564]Total energy: 31968349.41510543
[2022-04-07 21:54:18.191113]Total energy: 32032774.929258462
[2022-04-07 21:55:08.428332]Total energy: 32078410.461240828
[2022-04-07 21:55:59.508611]Total energy: 32008745.34777292
[2022-04-07 21:56:50.961668]Total energy: 32099291.722242843
[2022-04-07 21:57:42.696049]Total energy: 32072050.87929196
[2022-04-07 21:58:33.193948]Total energy: 32051667.28623889
[2022-04-07 21:59:23.775179]Total energy: 31929483.91879574
[2022-04-07 22:00:13.965409]Total energy: 32041449.290583216
[2022-04-07 22:01:17.636702]Total energy: 31955722.475824438
[2022-04-07 22:02:16.577604]Total energy: 32042407.242275864
[2022-04-07 22:03:07.095646]Total energy: 31895273.572545595
[2022-04-07 22:03:57.557917]Total energy: 31968465.821748726
[2022-04-07 22:04:47.489211]Total energy: 31970593.328756977
[2022-04-07 22:05:38.034407]Total energy: 31992129.55277934
[2022-04-07 22:06:28.145324]Total energy: 31968402.860334415
[2022-04-07 22:07:19.171592]Total energy: 31965315.18831125
[2022-04-07 22:08:10.824840]Total energy: 32037358.236031767
[2022-04-07 22:09:01.471445]Total energy: 31998198.47925812
[2022-04-07 22:09:51.991205]Total energy: 31907643.019986644
[2022-04-07 22:10:57.451380]Total energy: 31907838.189036887
[2022-04-07 22:12:01.973740]Total energy: 32086747.070615347
[2022-04-07 22:12:52.461315]Total energy: 32038397.075573
[2022-04-07 22:13:43.502658]Total energy: 32043797.902567178
[2022-04-07 22:14:33.461138]Total energy: 32016895.890000243
[2022-04-07 22:15:24.002384]Total energy: 32061980.596771445
[2022-04-07 22:16:14.390106]Total energy: 31825617.43782151
[2022-04-07 22:17:05.969733]Total energy: 32036553.118292328
[2022-04-07 22:17:57.254380]Total energy: 31970314.262746528
[2022-04-07 22:18:49.097025]Total energy: 32050982.080007467
[2022-04-07 22:19:39.996883]Total energy: 32110188.636003993
[2022-04-07 22:20:48.352935]Total energy: 32119034.171955284
[2022-04-07 22:21:46.474058]Total energy: 32015158.059075624
[2022-04-07 22:22:36.813314]Total energy: 32019151.65895703
[2022-04-07 22:23:26.768690]Total energy: 31934428.25097111
[2022-04-07 22:24:18.246039]Total energy: 32089179.943955857
[2022-04-07 22:25:08.623421]Total energy: 32117960.56772124
[2022-04-07 22:25:59.298824]Total energy: 32052505.38285736
[2022-04-07 22:26:49.524784]Total energy: 32046811.751375716
[2022-04-07 22:27:40.308910]Total energy: 31996999.19519087
[2022-04-07 22:28:31.071019]Total energy: 32001304.46476844
[2022-04-07 22:29:22.127004]Total energy: 32064010.56775868
[2022-04-07 22:30:14.526029]Total energy: 32059993.62732627
[2022-04-07 22:31:22.652365]Total energy: 32107041.442716416
[2022-04-07 22:32:24.995606]Total energy: 31923282.582169883
[2022-04-07 22:33:17.542706]Total energy: 32008672.885806717
[2022-04-07 22:34:08.687584]Total energy: 32074454.71865846
[2022-04-07 22:34:58.940975]Total energy: 31945178.914423447
[2022-04-07 22:35:49.063025]Total energy: 32051019.8615026
[2022-04-07 22:36:39.541045]Total energy: 32076504.294198453
[2022-04-07 22:37:30.382287]Total energy: 32039254.184091114
[2022-04-07 22:38:20.774708]Total energy: 32105148.764448516
[2022-04-07 22:39:12.637941]Total energy: 31886727.00539645
[2022-04-07 22:40:05.516667]Total energy: 32116083.851930805
[2022-04-07 22:41:12.532348]Total energy: 32011599.136207107
[2022-04-07 22:42:15.742816]Total energy: 31980242.636914972
[2022-04-07 22:43:05.664452]Total energy: 32068079.5280893
[2022-04-07 22:43:56.278140]Total energy: 31942816.436730705
[2022-04-07 22:44:46.646351]Total energy: 32048750.045149136
[2022-04-07 22:45:38.722415]Total energy: 31876170.15052795
[2022-04-07 22:46:29.746580]Total energy: 32040926.28987853
[2022-04-07 22:47:20.878976]Total energy: 31988883.527065285
[2022-04-07 22:48:10.579921]Total energy: 31961652.96924293
[2022-04-07 22:49:01.485980]Total energy: 32034274.012479737
[2022-04-07 22:49:52.450031]Total energy: 32026957.67760577
[2022-04-07 22:50:53.423839]Total energy: 31986697.44840902
[2022-04-07 22:51:57.608964]Total energy: 32031584.706476044
[2022-04-07 22:52:52.911952]Total energy: 32014542.296422716
[2022-04-07 22:53:42.725786]Total energy: 32050053.815374386
[2022-04-07 22:54:33.753421]Total energy: 31891118.084366396
[2022-04-07 22:55:25.709128]Total energy: 31981164.491544925
[2022-04-07 22:56:17.451980]Total energy: 32070272.860652424
[2022-04-07 22:57:08.421172]Total energy: 31925572.32815533
[2022-04-07 22:57:58.833324]Total energy: 31894955.34257527
[2022-04-07 22:58:49.528740]Total energy: 31934050.155724816
[2022-04-07 22:59:48.670593]Total energy: 32064797.114632938
[2022-04-07 23:00:55.383241]Total energy: 32099436.40806866
[2022-04-07 23:02:08.860290]Total energy: 32200345.463172704
[2022-04-07 23:03:00.081974]Total energy: 32007755.92517394
[2022-04-07 23:03:50.687042]Total energy: 31923441.562648755
[2022-04-07 23:04:41.293314]Total energy: 32057779.511024144
[2022-04-07 23:05:31.300596]Total energy: 31909539.348365076
[2022-04-07 23:06:22.820553]Total energy: 32014204.903609157
[2022-04-07 23:07:12.320142]Total energy: 32064438.297147755
[2022-04-07 23:08:02.959312]Total energy: 31823059.881659724
[2022-04-07 23:08:53.903818]Total energy: 31892272.138209455
[2022-04-07 23:09:45.106965]Total energy: 31986732.66607843
[2022-04-07 23:10:54.677036]Total energy: 31997108.029491626
[2022-04-07 23:12:08.796758]Total energy: 32069929.345971663
[2022-04-07 23:13:00.314718]Total energy: 31905002.939676736
[2022-04-07 23:13:52.007635]Total energy: 31836959.95974341
[2022-04-07 23:14:43.131269]Total energy: 31888221.60681658
[2022-04-07 23:15:35.490598]Total energy: 32040445.96811479
[2022-04-07 23:16:42.797431]Total energy: 31892644.774628773
[2022-04-07 23:17:33.203946]Total energy: 31880317.84120054
[2022-04-07 23:18:23.040442]Total energy: 31871008.38452035
[2022-04-07 23:19:13.903825]Total energy: 31912651.76878623
[2022-04-07 23:20:07.473713]Total energy: 31973965.255254652
[2022-04-07 23:21:08.613087]Total energy: 31837834.803934213
[2022-04-07 23:22:12.864759]Total energy: 31978124.514422853
[2022-04-07 23:23:12.449091]Total energy: 31793047.72625488
[2022-04-07 23:24:02.873884]Total energy: 31884644.340728413
[2022-04-07 23:24:53.571234]Total energy: 31891136.813810818
[2022-04-07 23:25:44.353702]Total energy: 31977054.093184367
[2022-04-07 23:26:37.536437]Total energy: 31882476.686864145
[2022-04-07 23:27:28.150856]Total energy: 32002157.069003172
[2022-04-07 23:28:19.609017]Total energy: 31770564.033735976
[2022-04-07 23:29:10.443823]Total energy: 31814816.77262877
[2022-04-07 23:30:06.402974]Total energy: 31918652.851804897
[2022-04-07 23:31:14.772859]Total energy: 31882175.522993118
[2022-04-07 23:32:23.810325]Total energy: 31908464.64982253
[2022-04-07 23:33:15.966029]Total energy: 31697097.45941285
[2022-04-07 23:34:06.690608]Total energy: 31782455.805406418
[2022-04-07 23:34:56.891449]Total energy: 31969703.59622536
[2022-04-07 23:35:48.957243]Total energy: 31951910.541624807
[2022-04-07 23:36:39.138670]Total energy: 31753985.3804671
[2022-04-07 23:37:29.231107]Total energy: 31921842.99247138
[2022-04-07 23:38:20.273701]Total energy: 31996435.318401985
[2022-04-07 23:39:13.543065]Total energy: 31809496.421874594
[2022-04-07 23:40:04.292491]Total energy: 31798097.544623666
[2022-04-07 23:41:11.409724]Total energy: 31918386.969121363
[2022-04-07 23:42:05.186255]Total energy: 31867287.374952078
[2022-04-07 23:42:57.383717]Total energy: 31891788.6693282
[2022-04-07 23:43:48.524830]Total energy: 31816602.859475937
[2022-04-07 23:44:39.083340]Total energy: 31913254.580992486
[2022-04-07 23:45:29.569425]Total energy: 31881235.338655334
[2022-04-07 23:46:20.805029]Total energy: 31869977.420594215
[2022-04-07 23:47:11.252107]Total energy: 31745783.37295334
[2022-04-07 23:48:01.924195]Total energy: 31940967.54898343
[2022-04-07 23:48:55.300694]Total energy: 31888132.710236225
[2022-04-07 23:49:45.946571]Total energy: 31934262.863157313
[2022-04-07 23:50:56.191837]Total energy: 31976063.643575888
[2022-04-07 23:52:13.862780]Total energy: 32015483.754391618
[2022-04-07 23:53:15.987316]Total energy: 31878738.493902065
[2022-04-07 23:54:14.337146]Total energy: 31968169.95674246
[2022-04-07 23:55:05.177604]Total energy: 31952931.793386083
[2022-04-07 23:55:57.581739]Total energy: 31929873.136339206
[2022-04-07 23:56:48.478896]Total energy: 31897764.66085821
[2022-04-07 23:57:39.465593]Total energy: 31880867.49812573
[2022-04-07 23:58:30.914160]Total energy: 31858412.43039398
[2022-04-07 23:59:23.463030]Total energy: 31980848.531102248
[2022-04-08 00:00:13.992339]Total energy: 31964175.607393675
[2022-04-08 00:01:07.238487]Total energy: 31768044.932917185
[2022-04-08 00:02:00.669817]Total energy: 32133464.132878378
[2022-04-08 00:02:50.801920]Total energy: 31797298.455497105
[2022-04-08 00:03:41.759731]Total energy: 31903267.697760858
[2022-04-08 00:04:32.533833]Total energy: 31824658.069465008
[2022-04-08 00:05:35.255755]Total energy: 31790253.8111217
[2022-04-08 00:06:26.087739]Total energy: 31975469.504189573
[2022-04-08 00:07:16.617820]Total energy: 31843791.26531394
[2022-04-08 00:08:06.813880]Total energy: 31875330.74749907
[2022-04-08 00:08:58.774937]Total energy: 31953716.643349808
[2022-04-08 00:09:49.075945]Total energy: 31880050.226297062
[2022-04-08 00:10:45.985878]Total energy: 31973017.80274565
[2022-04-08 00:11:44.114342]Total energy: 31818871.728252538
[2022-04-08 00:12:34.909613]Total energy: 32010085.06986126
[2022-04-08 00:13:25.511686]Total energy: 31814984.598678976
[2022-04-08 00:14:16.181155]Total energy: 31868719.98151555
[2022-04-08 00:15:09.271570]Total energy: 31843451.522638425
[2022-04-08 00:16:00.929744]Total energy: 31916500.83384845
[2022-04-08 00:16:51.207635]Total energy: 31855199.105789464
[2022-04-08 00:17:43.209025]Total energy: 31817965.55001263
[2022-04-08 00:18:33.765212]Total energy: 31838014.70818138
[2022-04-08 00:19:24.964937]Total energy: 31987561.400796458
[2022-04-08 00:20:15.783674]Total energy: 31819711.901412576
[2022-04-08 00:21:23.154899]Total energy: 31792739.531625424
[2022-04-08 00:22:25.055920]Total energy: 31967161.12235989
[2022-04-08 00:23:17.399840]Total energy: 31802837.697846103
[2022-04-08 00:24:09.470859]Total energy: 31982079.295872796
[2022-04-08 00:25:01.455868]Total energy: 31973886.859845635
[2022-04-08 00:25:51.289887]Total energy: 31978645.727137037
[2022-04-08 00:26:42.813087]Total energy: 31833621.32601083
[2022-04-08 00:27:34.567584]Total energy: 31873616.93146364
[2022-04-08 00:28:25.623714]Total energy: 32009587.52697371
[2022-04-08 00:29:16.131625]Total energy: 31813935.250658426
[2022-04-08 00:30:07.768973]Total energy: 31946476.3367291
[2022-04-08 00:31:15.471677]Total energy: 31781447.293798957
[2022-04-08 00:32:31.397670]Total energy: 31864184.025587518
[2022-04-08 00:33:30.243270]Total energy: 31813957.92318369
[2022-04-08 00:34:24.745386]Total energy: 31938212.970125515
[2022-04-08 00:35:16.162340]Total energy: 31899523.957227707
[2022-04-08 00:36:07.368623]Total energy: 31829444.22308883
[2022-04-08 00:36:58.140258]Total energy: 31854263.16852272
[2022-04-08 00:37:48.634043]Total energy: 32039166.69405898
[2022-04-08 00:38:39.205272]Total energy: 31718198.7495185
[2022-04-08 00:39:29.940924]Total energy: 31580374.69942325
[2022-04-08 00:40:23.306666]Total energy: 31796900.10074825
[2022-04-08 00:41:20.469057]Total energy: 31834925.215997323
[2022-04-08 00:42:12.952318]Total energy: 31767906.523641825
[2022-04-08 00:43:04.235996]Total energy: 31739637.47533812
[2022-04-08 00:43:55.951998]Total energy: 31725859.110087
[2022-04-08 00:44:47.459337]Total energy: 31797080.916265737
[2022-04-08 00:45:37.547438]Total energy: 31844555.72296587
[2022-04-08 00:46:29.251855]Total energy: 31704179.820726924
[2022-04-08 00:47:21.337452]Total energy: 31759299.979228143
[2022-04-08 00:48:11.995979]Total energy: 31822696.086329635
[2022-04-08 00:49:02.161566]Total energy: 31761179.421852592
[2022-04-08 00:49:53.131152]Total energy: 31746151.521411587
[2022-04-08 00:50:49.497907]Total energy: 31636644.913493432
[2022-04-08 00:51:43.940029]Total energy: 31699597.35742894
[2022-04-08 00:52:40.442953]Total energy: 31920528.405070104
[2022-04-08 00:53:33.776419]Total energy: 31632241.300629262
[2022-04-08 00:54:24.746939]Total energy: 31751859.90692795
[2022-04-08 00:55:15.906220]Total energy: 31798601.557798784
[2022-04-08 00:56:06.560965]Total energy: 31911178.318566013
[2022-04-08 00:56:57.773692]Total energy: 31672453.388521694
[2022-04-08 00:57:48.931472]Total energy: 31802172.96727054
[2022-04-08 00:58:40.074772]Total energy: 31742494.36142857
[2022-04-08 00:59:30.712026]Total energy: 31714173.594216533
[2022-04-08 01:00:22.750290]Total energy: 31823582.745121222
[2022-04-08 01:01:24.528609]Total energy: 31752886.189004928
[2022-04-08 01:02:17.360079]Total energy: 31874417.172162842
[2022-04-08 01:03:08.825188]Total energy: 31697586.721975267
[2022-04-08 01:03:59.153602]Total energy: 31760070.321861267
[2022-04-08 01:04:50.408628]Total energy: 31740789.90196872
[2022-04-08 01:05:41.652804]Total energy: 31843486.07315602
[2022-04-08 01:06:32.959168]Total energy: 31785068.312992755
[2022-04-08 01:07:24.471410]Total energy: 31712959.151381873
[2022-04-08 01:08:15.498130]Total energy: 31753090.772528384
[2022-04-08 01:09:09.052412]Total energy: 31770904.64710463
[2022-04-08 01:10:00.018346]Total energy: 31671498.77291598
[2022-04-08 01:10:59.540045]Total energy: 31764308.947159655
[2022-04-08 01:11:51.248020]Total energy: 31735790.18360919
[2022-04-08 01:12:42.390064]Total energy: 31866240.478830434
[2022-04-08 01:13:35.483600]Total energy: 31824384.54996215
[2022-04-08 01:14:27.252142]Total energy: 31785246.263491202
[2022-04-08 01:15:17.618617]Total energy: 31681244.81580448
[2022-04-08 01:16:09.064562]Total energy: 31803662.416717835
[2022-04-08 01:16:59.993790]Total energy: 31626378.851380743
[2022-04-08 01:17:52.375237]Total energy: 31867018.897714753
[2022-04-08 01:18:43.137267]Total energy: 31647191.55359279
[2022-04-08 01:19:34.651319]Total energy: 31757591.578215722
[2022-04-08 01:20:40.192003]Total energy: 31910129.39682962
[2022-04-08 01:21:44.340794]Total energy: 31854812.588927865
[2022-04-08 01:22:34.879117]Total energy: 31784278.028491836
[2022-04-08 01:23:25.119321]Total energy: 31741657.09150466
[2022-04-08 01:24:15.527776]Total energy: 31733266.212572165
[2022-04-08 01:25:07.667699]Total energy: 31602667.848554004
[2022-04-08 01:25:58.464728]Total energy: 31769817.746952128
[2022-04-08 01:26:50.223046]Total energy: 31792886.386884827
[2022-04-08 01:27:41.368161]Total energy: 31851456.250131596
[2022-04-08 01:28:33.715548]Total energy: 31841816.18115931
[2022-04-08 01:29:23.792817]Total energy: 31758735.65352285
[2022-04-08 01:30:15.180538]Total energy: 31780119.524476305
[2022-04-08 01:31:14.366686]Total energy: 31665315.86407802
[2022-04-08 01:32:17.702961]Total energy: 31772996.479465157
[2022-04-08 01:33:15.296620]Total energy: 31766298.44372445
[2022-04-08 01:34:06.041003]Total energy: 31661804.68307021
[2022-04-08 01:34:56.962585]Total energy: 31766271.99132903
[2022-04-08 01:35:52.133978]Total energy: 31682296.72641289
[2022-04-08 01:36:53.746117]Total energy: 31729821.294022247
[2022-04-08 01:37:45.582108]Total energy: 31690496.02709621
[2022-04-08 01:38:36.088701]Total energy: 31755054.80470064
[2022-04-08 01:39:30.584958]Total energy: 31791147.891534064
[2022-04-08 01:40:21.732300]Total energy: 31816249.34413858
[2022-04-08 01:41:30.405343]Total energy: 31839544.559109904
[2022-04-08 01:42:50.745597]Total energy: 31696879.78737434
[2022-04-08 01:43:41.239337]Total energy: 31663386.134044666
[2022-04-08 01:44:32.727896]Total energy: 31780176.38310583
[2022-04-08 01:45:23.137564]Total energy: 31763073.845284157
[2022-04-08 01:46:16.144090]Total energy: 31638191.318557385
[2022-04-08 01:47:07.562913]Total energy: 31699066.439743653
[2022-04-08 01:47:58.665903]Total energy: 31807776.51448168
[2022-04-08 01:48:51.684752]Total energy: 31605649.59318183
[2022-04-08 01:49:45.595372]Total energy: 31939208.489482515
[2022-04-08 01:50:55.968040]Total energy: 31692045.9904059
[2022-04-08 01:51:56.260753]Total energy: 31766643.48087908
[2022-04-08 01:53:01.994956]Total energy: 31711697.032587286
[2022-04-08 01:53:53.887360]Total energy: 31842040.583556082
[2022-04-08 01:54:44.012763]Total energy: 31711368.310310856
[2022-04-08 01:55:37.060318]Total energy: 31735901.39590548
[2022-04-08 01:56:28.130250]Total energy: 31691216.77089268
[2022-04-08 01:57:19.347346]Total energy: 31681535.175691176
[2022-04-08 01:58:10.372569]Total energy: 31661899.19559852
[2022-04-08 01:59:02.813531]Total energy: 31739628.798854697
[2022-04-08 01:59:52.875163]Total energy: 31723725.11630769
[2022-04-08 02:00:52.573646]Total energy: 31727455.159586344
[2022-04-08 02:01:54.449193]Total energy: 31811559.837178823
[2022-04-08 02:02:51.196998]Total energy: 31734316.73385006
[2022-04-08 02:03:43.287707]Total energy: 31627747.085775316
[2022-04-08 02:04:35.517727]Total energy: 31662647.18476379
[2022-04-08 02:05:28.871529]Total energy: 31726805.99705431
[2022-04-08 02:06:19.270265]Total energy: 31671066.179751698
[2022-04-08 02:07:10.438258]Total energy: 31747247.647430778
[2022-04-08 02:08:01.273348]Total energy: 31639010.7595512
[2022-04-08 02:08:55.030078]Total energy: 31739147.666836943
[2022-04-08 02:09:45.414820]Total energy: 31657890.07471828
[2022-04-08 02:10:52.883458]Total energy: 31660617.779250983
[2022-04-08 02:11:54.514021]Total energy: 31631937.670957487
[2022-04-08 02:12:49.607276]Total energy: 31465810.667339575
[2022-04-08 02:13:40.989300]Total energy: 31539202.06486253
[2022-04-08 02:14:32.911870]Total energy: 31606578.42723444
[2022-04-08 02:15:24.359352]Total energy: 31598459.147444956
[2022-04-08 02:16:15.197275]Total energy: 31536243.69246385
[2022-04-08 02:17:06.223498]Total energy: 31561193.60260721
[2022-04-08 02:17:59.600583]Total energy: 31617360.474153664
[2022-04-08 02:18:54.582454]Total energy: 31552921.32939486
[2022-04-08 02:19:45.408117]Total energy: 31641471.220884625
[2022-04-08 02:20:55.430826]Total energy: 31644531.649994645
[2022-04-08 02:22:08.283412]Total energy: 31415014.043876857
[2022-04-08 02:23:05.059771]Total energy: 31691408.613672737
[2022-04-08 02:23:59.850115]Total energy: 31696592.599592455
[2022-04-08 02:24:54.546758]Total energy: 31577933.649403546
[2022-04-08 02:25:53.657904]Total energy: 31735184.035367403
[2022-04-08 02:26:46.133739]Total energy: 31639814.14600071
[2022-04-08 02:27:36.961499]Total energy: 31657005.644574724
[2022-04-08 02:28:26.980421]Total energy: 31593436.464463826
[2022-04-08 02:29:17.071814]Total energy: 31754651.873673853
[2022-04-08 02:30:08.068144]Total energy: 31868943.6065603
[2022-04-08 02:31:07.653560]Total energy: 31688810.97252629
[2022-04-08 02:32:04.373381]Total energy: 31604818.368075967
[2022-04-08 02:32:56.085806]Total energy: 31759332.180745885
[2022-04-08 02:33:46.597434]Total energy: 31733927.63706191
[2022-04-08 02:34:37.958210]Total energy: 31669977.040129427
[2022-04-08 02:35:29.252436]Total energy: 31712263.24658241
[2022-04-08 02:36:19.636519]Total energy: 31645919.68810391
[2022-04-08 02:37:10.404957]Total energy: 31568503.714230355
[2022-04-08 02:38:00.670451]Total energy: 31632608.22580463
[2022-04-08 02:38:51.908799]Total energy: 31742700.260717057
[2022-04-08 02:39:43.168281]Total energy: 31684334.160513606
[2022-04-08 02:41:03.490305]Total energy: 31778065.075503886
[2022-04-08 02:42:23.586402]Total energy: 31700296.733225536
[2022-04-08 02:43:24.487784]Total energy: 31750954.45810266
[2022-04-08 02:44:16.942765]Total energy: 31716157.68330807
[2022-04-08 02:45:07.413152]Total energy: 31632284.364834893
[2022-04-08 02:45:57.980043]Total energy: 31670907.159819517
[2022-04-08 02:46:48.521717]Total energy: 31589652.439436283
[2022-04-08 02:47:38.854099]Total energy: 31646715.919799767
[2022-04-08 02:48:30.343820]Total energy: 31731272.745522305
[2022-04-08 02:49:20.068429]Total energy: 31848959.211492326
[2022-04-08 02:50:11.957742]Total energy: 31710128.36586549
[2022-04-08 02:51:11.662711]Total energy: 31651209.113313068
[2022-04-08 02:52:13.741206]Total energy: 31645442.2580061
[2022-04-08 02:53:19.411658]Total energy: 31747406.696215548
