initial: 108 - optimal_only_seed
[2022-04-07 20:43:56.470910]Total energy: 50529218.75525643
[2022-04-07 20:44:53.856651]Total energy: 50433670.123186596
[2022-04-07 20:45:55.254527]Total energy: 50482475.124903955
[2022-04-07 20:46:53.154716]Total energy: 50507935.51830712
[2022-04-07 20:47:51.161511]Total energy: 50497637.88661194
[2022-04-07 20:48:49.837146]Total energy: 50502161.367764845
[2022-04-07 20:49:47.575004]Total energy: 50656285.704505324
[2022-04-07 20:51:02.383561]Total energy: 50415766.552969545
[2022-04-07 20:52:03.652151]Total energy: 50454250.51149201
[2022-04-07 20:53:04.330950]Total energy: 50365366.6199278
[2022-04-07 20:54:02.309771]Total energy: 50464284.60606694
[2022-04-07 20:54:59.322452]Total energy: 50279690.84453441
[2022-04-07 20:56:08.351213]Total energy: 50614873.83023806
[2022-04-07 20:57:16.612800]Total energy: 50532757.76857868
[2022-04-07 20:58:13.975862]Total energy: 50484874.31546704
[2022-04-07 20:59:10.882185]Total energy: 50529040.715010785
[2022-04-07 21:00:08.611071]Total energy: 50596356.82440902
[2022-04-07 21:01:17.228483]Total energy: 50400661.557914406
[2022-04-07 21:02:16.581890]Total energy: 50520739.68136172
[2022-04-07 21:03:13.859352]Total energy: 50574851.81805207
[2022-04-07 21:04:13.257314]Total energy: 50543362.10054347
[2022-04-07 21:05:10.488088]Total energy: 50556566.65559873
[2022-04-07 21:06:08.478202]Total energy: 50546486.34552062
[2022-04-07 21:07:06.538792]Total energy: 50328324.09256442
[2022-04-07 21:08:04.102680]Total energy: 50542940.23418034
[2022-04-07 21:09:01.977480]Total energy: 50502724.54299465
[2022-04-07 21:10:00.665518]Total energy: 50378743.893595755
[2022-04-07 21:10:59.619529]Total energy: 50561198.40973737
[2022-04-07 21:11:58.871095]Total energy: 50431852.15662288
[2022-04-07 21:12:57.039816]Total energy: 50455209.11011589
[2022-04-07 21:13:56.140051]Total energy: 50430843.826951794
[2022-04-07 21:14:54.706750]Total energy: 50520636.54640611
[2022-04-07 21:15:51.976138]Total energy: 50498461.672919035
[2022-04-07 21:16:53.955650]Total energy: 50421781.1242311
[2022-04-07 21:17:52.296662]Total energy: 50355615.40026962
[2022-04-07 21:18:51.164361]Total energy: 50447220.98654087
[2022-04-07 21:19:50.514487]Total energy: 50535171.785549834
[2022-04-07 21:20:54.245017]Total energy: 50601897.652015515
[2022-04-07 21:21:57.392937]Total energy: 50376966.104550295
[2022-04-07 21:22:57.769791]Total energy: 50547345.72628779
[2022-04-07 21:23:56.421438]Total energy: 50299695.18460405
[2022-04-07 21:24:54.575809]Total energy: 50455854.53899971
[2022-04-07 21:25:52.785270]Total energy: 50316434.254429534
[2022-04-07 21:26:52.774107]Total energy: 50493798.50063411
[2022-04-07 21:27:50.554637]Total energy: 50525964.516171396
[2022-04-07 21:28:48.978982]Total energy: 50539121.18987715
[2022-04-07 21:29:49.129558]Total energy: 50668892.28973451
[2022-04-07 21:30:53.445862]Total energy: 50600965.19128811
[2022-04-07 21:31:52.923455]Total energy: 50224443.14133929
[2022-04-07 21:32:51.581966]Total energy: 50444438.911358215
[2022-04-07 21:33:49.898502]Total energy: 50549725.701706566
[2022-04-07 21:34:47.440752]Total energy: 50519631.771397136
[2022-04-07 21:35:44.555901]Total energy: 50461028.79067813
[2022-04-07 21:36:43.525653]Total energy: 50442285.37112541
[2022-04-07 21:37:41.814909]Total energy: 50447434.98409019
[2022-04-07 21:38:39.458353]Total energy: 50507602.64755348
[2022-04-07 21:39:39.005308]Total energy: 50443067.152287476
[2022-04-07 21:40:39.372129]Total energy: 50370509.929571144
[2022-04-07 21:41:37.477679]Total energy: 50511946.09074328
[2022-04-07 21:42:37.361545]Total energy: 50370499.98725168
[2022-04-07 21:43:34.731044]Total energy: 50592607.046399176
[2022-04-07 21:44:33.152696]Total energy: 50562429.82679323
[2022-04-07 21:45:30.617665]Total energy: 50533553.99921683
[2022-04-07 21:46:39.331071]Total energy: 50595873.24980053
[2022-04-07 21:47:37.204717]Total energy: 50577124.85892699
[2022-04-07 21:48:35.649922]Total energy: 50609843.48572262
[2022-04-07 21:49:33.636311]Total energy: 50404507.68901407
[2022-04-07 21:50:37.940772]Total energy: 50494872.492436014
[2022-04-07 21:51:37.749639]Total energy: 50576920.03126231
[2022-04-07 21:52:36.825179]Total energy: 50498220.35928724
[2022-04-07 21:53:35.866897]Total energy: 50495943.29344062
[2022-04-07 21:54:33.035659]Total energy: 50334092.39434924
[2022-04-07 21:55:30.995626]Total energy: 50469503.181244776
[2022-04-07 21:56:29.340621]Total energy: 50627932.37541257
[2022-04-07 21:57:27.989351]Total energy: 50679479.298500426
[2022-04-07 21:58:25.278644]Total energy: 50458733.50367981
[2022-04-07 21:59:22.837993]Total energy: 50599960.133239694
[2022-04-07 22:00:21.634078]Total energy: 50502589.18867307
[2022-04-07 22:01:26.629253]Total energy: 50441284.679928675
[2022-04-07 22:02:25.640338]Total energy: 50419869.95907651
[2022-04-07 22:03:24.394294]Total energy: 50638830.974737264
[2022-04-07 22:04:23.750473]Total energy: 50555375.1748127
[2022-04-07 22:05:22.261322]Total energy: 50470948.11979483
[2022-04-07 22:06:19.983742]Total energy: 50402635.574779525
[2022-04-07 22:07:18.015124]Total energy: 50553020.03205843
[2022-04-07 22:08:17.355193]Total energy: 50294184.99173365
[2022-04-07 22:09:16.106157]Total energy: 50440285.11053567
[2022-04-07 22:10:13.511361]Total energy: 50403920.00560213
[2022-04-07 22:11:20.536818]Total energy: 50441809.172232926
[2022-04-07 22:12:20.602172]Total energy: 50451298.99922604
[2022-04-07 22:13:18.989214]Total energy: 50408837.84405415
[2022-04-07 22:14:17.395143]Total energy: 50459782.99670481
[2022-04-07 22:15:16.416945]Total energy: 50505182.292356476
[2022-04-07 22:16:14.728899]Total energy: 50424863.69887448
[2022-04-07 22:17:13.233694]Total energy: 50322221.028703146
[2022-04-07 22:18:12.797707]Total energy: 50378783.624137044
[2022-04-07 22:19:11.104531]Total energy: 50544515.5088295
[2022-04-07 22:20:09.592850]Total energy: 50481332.39000732
[2022-04-07 22:21:14.122679]Total energy: 50384167.45380473
[2022-04-07 22:22:13.020574]Total energy: 50623907.565380104
[2022-04-07 22:23:13.506120]Total energy: 50374189.496387206
[2022-04-07 22:24:14.290808]Total energy: 50507764.8710673
[2022-04-07 22:25:14.426998]Total energy: 50437732.708467424
[2022-04-07 22:26:14.669447]Total energy: 50567592.94999891
[2022-04-07 22:27:13.642077]Total energy: 50598881.70314995
[2022-04-07 22:28:13.862332]Total energy: 50595934.96752738
[2022-04-07 22:29:14.899430]Total energy: 50447122.55880103
[2022-04-07 22:30:13.220735]Total energy: 50580476.523838654
[2022-04-07 22:31:29.611511]Total energy: 50532458.34783354
[2022-04-07 22:32:32.424236]Total energy: 50505428.01886911
[2022-04-07 22:33:30.382634]Total energy: 50414044.5882368
[2022-04-07 22:34:29.215747]Total energy: 50719135.559972025
[2022-04-07 22:35:28.407652]Total energy: 50462658.18188978
[2022-04-07 22:36:26.962191]Total energy: 50510291.36908274
[2022-04-07 22:37:25.489740]Total energy: 50762538.75673518
[2022-04-07 22:38:23.040917]Total energy: 50562838.57403199
[2022-04-07 22:39:21.987386]Total energy: 50382711.228518076
[2022-04-07 22:40:21.127484]Total energy: 50489982.51522962
[2022-04-07 22:41:30.877353]Total energy: 50474291.06166667
[2022-04-07 22:42:30.795099]Total energy: 50532275.27418877
[2022-04-07 22:43:28.874870]Total energy: 50385438.23383659
[2022-04-07 22:44:26.943730]Total energy: 50384538.826266855
[2022-04-07 22:45:25.089667]Total energy: 50442791.21088311
[2022-04-07 22:46:23.904777]Total energy: 50680372.742099896
[2022-04-07 22:47:21.962670]Total energy: 50637021.64593598
[2022-04-07 22:48:19.959701]Total energy: 50682993.50040248
[2022-04-07 22:49:18.421197]Total energy: 50312740.270530805
[2022-04-07 22:50:16.359269]Total energy: 50469497.41035078
[2022-04-07 22:51:24.974738]Total energy: 50476154.07951359
[2022-04-07 22:52:32.100257]Total energy: 50438112.37733462
[2022-04-07 22:53:34.787134]Total energy: 50319618.32504373
[2022-04-07 22:54:33.645421]Total energy: 50585407.2730508
[2022-04-07 22:55:32.291934]Total energy: 50556659.93572656
[2022-04-07 22:56:32.248041]Total energy: 50480833.60597254
[2022-04-07 22:57:30.580392]Total energy: 50561197.53124107
[2022-04-07 22:58:28.925873]Total energy: 50517790.81138165
[2022-04-07 22:59:34.906681]Total energy: 50447508.0513396
[2022-04-07 23:00:54.869717]Total energy: 50581653.23115013
[2022-04-07 23:02:07.421676]Total energy: 50453070.7236113
[2022-04-07 23:03:05.906003]Total energy: 50488468.7050603
[2022-04-07 23:04:04.268151]Total energy: 50502067.56718656
[2022-04-07 23:05:02.042662]Total energy: 50480992.57916866
[2022-04-07 23:06:00.694275]Total energy: 50669016.50371382
[2022-04-07 23:06:58.830051]Total energy: 50557665.1348102
[2022-04-07 23:07:56.993689]Total energy: 50599403.14842555
[2022-04-07 23:08:56.535950]Total energy: 50422868.32183731
[2022-04-07 23:09:54.954672]Total energy: 50429717.733374946
[2022-04-07 23:11:16.651922]Total energy: 50635070.29589187
[2022-04-07 23:12:18.517171]Total energy: 50433804.18782278
[2022-04-07 23:13:16.954003]Total energy: 50332220.82321091
[2022-04-07 23:14:16.341502]Total energy: 50567378.883902766
[2022-04-07 23:15:14.636254]Total energy: 50544753.78287509
[2022-04-07 23:16:23.348915]Total energy: 50654102.854373634
[2022-04-07 23:17:25.132330]Total energy: 50521251.64595095
[2022-04-07 23:18:22.680095]Total energy: 50489627.48230309
[2022-04-07 23:19:20.816280]Total energy: 50520691.75038138
[2022-04-07 23:20:21.650584]Total energy: 50455077.20309519
[2022-04-07 23:21:32.222138]Total energy: 50570222.775825605
[2022-04-07 23:22:34.435124]Total energy: 50601649.80865961
[2022-04-07 23:23:34.187423]Total energy: 50363239.91066159
[2022-04-07 23:24:31.811104]Total energy: 50505894.63894479
[2022-04-07 23:25:29.861802]Total energy: 50473358.30907795
[2022-04-07 23:26:30.149990]Total energy: 50542736.00856199
[2022-04-07 23:27:27.653743]Total energy: 50731584.55390199
[2022-04-07 23:28:27.230372]Total energy: 50600687.923292264
[2022-04-07 23:29:27.255268]Total energy: 50485872.79042801
[2022-04-07 23:30:43.637021]Total energy: 50438441.41338357
[2022-04-07 23:31:58.291164]Total energy: 50652619.213608034
[2022-04-07 23:32:58.073211]Total energy: 50628403.1381022
[2022-04-07 23:33:56.552490]Total energy: 50402569.80222308
[2022-04-07 23:34:54.421981]Total energy: 50689436.26497059
[2022-04-07 23:35:54.878336]Total energy: 50521692.21949172
[2022-04-07 23:36:53.466550]Total energy: 50513531.401323706
[2022-04-07 23:37:51.520157]Total energy: 50376319.43399095
[2022-04-07 23:38:50.730817]Total energy: 50499013.09977895
[2022-04-07 23:39:50.419875]Total energy: 50384009.76809855
[2022-04-07 23:41:11.586400]Total energy: 50333088.66417151
[2022-04-07 23:42:11.326978]Total energy: 50612743.23450748
[2022-04-07 23:43:11.929465]Total energy: 50683646.66439487
[2022-04-07 23:44:09.942906]Total energy: 50505358.698252074
[2022-04-07 23:45:08.198716]Total energy: 50661235.576317236
[2022-04-07 23:46:07.822197]Total energy: 50464434.75736454
[2022-04-07 23:47:05.406921]Total energy: 50395683.2792111
[2022-04-07 23:48:02.906162]Total energy: 50681758.22063101
[2022-04-07 23:49:03.805938]Total energy: 50472297.126395635
[2022-04-07 23:50:01.333699]Total energy: 50517250.69759815
[2022-04-07 23:51:25.244364]Total energy: 50451613.36076981
[2022-04-07 23:52:41.759986]Total energy: 50436658.74418509
[2022-04-07 23:53:51.127174]Total energy: 50328354.469369024
[2022-04-07 23:54:49.627832]Total energy: 50450248.957853496
[2022-04-07 23:55:49.482481]Total energy: 50580368.854352206
[2022-04-07 23:56:47.135643]Total energy: 50470590.58367221
[2022-04-07 23:57:45.563261]Total energy: 50539951.78423156
[2022-04-07 23:58:44.372620]Total energy: 50486963.74922104
[2022-04-07 23:59:43.758271]Total energy: 50612304.0682111
[2022-04-08 00:00:42.624827]Total energy: 50525480.164091796
[2022-04-08 00:01:41.910861]Total energy: 50533312.20477565
[2022-04-08 00:02:39.531172]Total energy: 50446088.68315028
[2022-04-08 00:03:37.885183]Total energy: 50489223.22109629
[2022-04-08 00:04:36.447810]Total energy: 50454300.578310095
[2022-04-08 00:05:50.333553]Total energy: 50561614.28624406
[2022-04-08 00:06:48.660142]Total energy: 50576005.4491339
[2022-04-08 00:07:46.679302]Total energy: 50419389.83563162
[2022-04-08 00:08:46.477592]Total energy: 50362896.78587155
[2022-04-08 00:09:44.253937]Total energy: 50316563.18695478
[2022-04-08 00:10:49.236519]Total energy: 50427717.3848045
[2022-04-08 00:11:49.913082]Total energy: 50337633.50953221
[2022-04-08 00:12:48.247340]Total energy: 50767803.36183785
[2022-04-08 00:13:45.439353]Total energy: 50526116.49993517
[2022-04-08 00:14:45.470654]Total energy: 50463187.84630385
[2022-04-08 00:15:43.836859]Total energy: 50580879.430037074
[2022-04-08 00:16:41.299941]Total energy: 50554412.58394465
[2022-04-08 00:17:39.953772]Total energy: 50512159.20183323
[2022-04-08 00:18:37.985503]Total energy: 50465755.72252005
[2022-04-08 00:19:36.549108]Total energy: 50394878.60140696
[2022-04-08 00:21:06.557508]Total energy: 50486850.098721944
[2022-04-08 00:22:20.106965]Total energy: 50404979.83711987
[2022-04-08 00:23:19.854958]Total energy: 50595877.28317016
[2022-04-08 00:24:19.008517]Total energy: 50503978.351385266
[2022-04-08 00:25:19.566111]Total energy: 50536177.6610147
[2022-04-08 00:26:17.841064]Total energy: 50319585.093465514
[2022-04-08 00:27:17.965618]Total energy: 50402763.09169714
[2022-04-08 00:28:15.549354]Total energy: 50399999.81532621
[2022-04-08 00:29:13.239314]Total energy: 50489883.020094104
[2022-04-08 00:30:12.434820]Total energy: 50581498.07060216
[2022-04-08 00:31:28.338550]Total energy: 50659711.335700236
[2022-04-08 00:32:45.531005]Total energy: 50351069.91558288
[2022-04-08 00:33:45.765397]Total energy: 50609655.59561409
[2022-04-08 00:34:43.995392]Total energy: 50660650.210611835
[2022-04-08 00:35:43.916013]Total energy: 50501463.93320501
[2022-04-08 00:36:43.171631]Total energy: 50527082.44736518
[2022-04-08 00:37:41.831835]Total energy: 50576784.60174414
[2022-04-08 00:38:40.288766]Total energy: 50238195.85046263
[2022-04-08 00:39:40.129938]Total energy: 50555499.01028001
[2022-04-08 00:40:51.228882]Total energy: 50446329.344568215
[2022-04-08 00:41:57.585438]Total energy: 50525586.227036476
[2022-04-08 00:42:57.635830]Total energy: 50700355.127992794
[2022-04-08 00:43:57.431354]Total energy: 50680074.24372968
[2022-04-08 00:44:56.935570]Total energy: 50578595.558448754
[2022-04-08 00:45:56.401586]Total energy: 50518578.014229685
[2022-04-08 00:46:56.398118]Total energy: 50561701.190323636
[2022-04-08 00:47:55.475708]Total energy: 50495763.85617967
[2022-04-08 00:48:54.970590]Total energy: 50598850.06599557
[2022-04-08 00:49:54.530681]Total energy: 50446404.38575426
[2022-04-08 00:50:58.817460]Total energy: 50395727.107091345
[2022-04-08 00:52:05.253704]Total energy: 50481667.78987239
[2022-04-08 00:53:04.892043]Total energy: 50519864.921182685
[2022-04-08 00:54:05.305846]Total energy: 50570638.026381716
[2022-04-08 00:55:05.419926]Total energy: 50500923.69510564
[2022-04-08 00:56:04.826495]Total energy: 50574144.35145227
[2022-04-08 00:57:05.167580]Total energy: 50539545.32525896
[2022-04-08 00:58:04.630600]Total energy: 50443442.01988107
[2022-04-08 00:59:05.487132]Total energy: 50561802.05778304
[2022-04-08 01:00:06.037723]Total energy: 50466899.92603358
[2022-04-08 01:01:20.507860]Total energy: 50440009.42247134
[2022-04-08 01:02:21.811283]Total energy: 50533670.14219946
[2022-04-08 01:03:22.282318]Total energy: 50554526.77324231
[2022-04-08 01:04:21.662174]Total energy: 50368742.983733535
[2022-04-08 01:05:21.243968]Total energy: 50528735.58800736
[2022-04-08 01:06:22.692529]Total energy: 50384712.23946012
[2022-04-08 01:07:22.144557]Total energy: 50491114.18517388
[2022-04-08 01:08:21.495793]Total energy: 50597212.88624107
[2022-04-08 01:09:22.855713]Total energy: 50386984.17737911
[2022-04-08 01:10:23.130996]Total energy: 50534565.96329809
[2022-04-08 01:11:27.661422]Total energy: 50448599.41546593
[2022-04-08 01:12:26.766780]Total energy: 50487287.542625315
[2022-04-08 01:13:27.832798]Total energy: 50458622.55767978
[2022-04-08 01:14:29.639054]Total energy: 50563281.19226808
[2022-04-08 01:15:30.726207]Total energy: 50530839.89719638
[2022-04-08 01:16:31.903645]Total energy: 50580519.58261959
[2022-04-08 01:17:34.484701]Total energy: 50580465.145669326
[2022-04-08 01:18:35.820179]Total energy: 50600504.28961916
[2022-04-08 01:19:37.656130]Total energy: 50522792.01625704
[2022-04-08 01:20:51.166157]Total energy: 50353617.25288379
[2022-04-08 01:21:54.573158]Total energy: 50474769.296037145
[2022-04-08 01:22:54.712076]Total energy: 50729588.471215755
[2022-04-08 01:23:54.368910]Total energy: 50373667.75874631
[2022-04-08 01:24:54.307469]Total energy: 50675506.68482231
[2022-04-08 01:25:54.218097]Total energy: 50508223.10107138
[2022-04-08 01:26:54.774838]Total energy: 50380693.926337056
[2022-04-08 01:27:55.030918]Total energy: 50494497.05335596
[2022-04-08 01:28:54.883295]Total energy: 50395736.65209543
[2022-04-08 01:29:54.729054]Total energy: 50495892.109400615
[2022-04-08 01:31:00.264713]Total energy: 50455263.984447725
[2022-04-08 01:32:07.186174]Total energy: 50778528.744014814
[2022-04-08 01:33:08.184109]Total energy: 50304024.30955821
[2022-04-08 01:34:07.644244]Total energy: 50521065.94608667
[2022-04-08 01:35:09.730295]Total energy: 50400570.98396943
[2022-04-08 01:36:24.900282]Total energy: 50735599.768028304
[2022-04-08 01:37:26.477991]Total energy: 50507386.88715993
[2022-04-08 01:38:27.056953]Total energy: 50481817.387717314
[2022-04-08 01:39:30.688535]Total energy: 50368533.04691366
[2022-04-08 01:40:51.596104]Total energy: 50466166.95202881
[2022-04-08 01:42:01.234915]Total energy: 50636978.48260143
[2022-04-08 01:43:05.659532]Total energy: 50476057.44607738
[2022-04-08 01:44:05.401927]Total energy: 50670053.62178736
[2022-04-08 01:45:06.118424]Total energy: 50448039.55428745
[2022-04-08 01:46:08.010195]Total energy: 50494263.138193145
[2022-04-08 01:47:08.117088]Total energy: 50505245.70873892
[2022-04-08 01:48:08.468822]Total energy: 50566981.54768753
[2022-04-08 01:49:11.964747]Total energy: 50496713.34183787
[2022-04-08 01:50:11.625234]Total energy: 50403148.58151965
[2022-04-08 01:51:16.146344]Total energy: 50501882.6940985
[2022-04-08 01:52:22.351240]Total energy: 50599019.701895155
[2022-04-08 01:53:23.178565]Total energy: 50550001.832328826
[2022-04-08 01:54:22.998629]Total energy: 50515011.82179893
[2022-04-08 01:55:23.729646]Total energy: 50535594.365690164
[2022-04-08 01:56:25.724735]Total energy: 50588487.89826452
[2022-04-08 01:57:25.776666]Total energy: 50600397.11993372
[2022-04-08 01:58:25.728688]Total energy: 50431101.78886838
[2022-04-08 01:59:27.216908]Total energy: 50531292.799127944
[2022-04-08 02:00:39.281634]Total energy: 50441891.95647357
[2022-04-08 02:01:50.330436]Total energy: 50575721.22096573
[2022-04-08 02:02:52.354093]Total energy: 50535974.42809443
[2022-04-08 02:03:50.305704]Total energy: 50361360.36917544
[2022-04-08 02:04:50.082175]Total energy: 50544857.90037647
[2022-04-08 02:05:51.177372]Total energy: 50430991.25766133
[2022-04-08 02:06:51.314311]Total energy: 50346150.39694391
[2022-04-08 02:07:52.268914]Total energy: 50505122.06684141
[2022-04-08 02:08:56.212665]Total energy: 50693820.34659801
[2022-04-08 02:09:57.540333]Total energy: 50576093.98105402
[2022-04-08 02:11:12.518790]Total energy: 50752043.300577715
[2022-04-08 02:12:16.466984]Total energy: 50464220.787214726
[2022-04-08 02:13:17.539924]Total energy: 50423279.628466114
[2022-04-08 02:14:17.604117]Total energy: 50561107.33585263
[2022-04-08 02:15:18.551487]Total energy: 50585495.16219771
[2022-04-08 02:16:18.537983]Total energy: 50605267.41862269
[2022-04-08 02:17:18.691216]Total energy: 50448391.66144657
[2022-04-08 02:18:25.253088]Total energy: 50352332.56168309
[2022-04-08 02:19:24.032913]Total energy: 50532057.68599117
[2022-04-08 02:20:23.972089]Total energy: 50535032.27115546
[2022-04-08 02:21:38.442588]Total energy: 50530677.9137516
[2022-04-08 02:22:46.038846]Total energy: 50590291.86965046
[2022-04-08 02:23:51.236062]Total energy: 50531570.663982555
[2022-04-08 02:24:55.905785]Total energy: 50640252.420569815
[2022-04-08 02:26:06.349863]Total energy: 50475822.03198221
[2022-04-08 02:27:08.621865]Total energy: 50580736.78346041
[2022-04-08 02:28:10.677975]Total energy: 50534322.50376511
[2022-04-08 02:29:11.313234]Total energy: 50561507.88764416
[2022-04-08 02:30:12.327475]Total energy: 50700650.48162959
[2022-04-08 02:31:23.711100]Total energy: 50674448.19058851
[2022-04-08 02:32:28.904078]Total energy: 50621303.66457066
[2022-04-08 02:33:30.035394]Total energy: 50581065.45161331
[2022-04-08 02:34:32.303164]Total energy: 50569773.44737496
[2022-04-08 02:35:34.178660]Total energy: 50654277.96628283
[2022-04-08 02:36:35.223250]Total energy: 50564750.42189198
[2022-04-08 02:37:36.258726]Total energy: 50540033.3426712
[2022-04-08 02:38:37.811538]Total energy: 50661114.43310154
[2022-04-08 02:39:39.622903]Total energy: 50565599.2902845
[2022-04-08 02:41:18.656848]Total energy: 50495214.671877414
[2022-04-08 02:42:41.867004]Total energy: 50493023.936450906
[2022-04-08 02:43:47.085339]Total energy: 50618162.70454096
[2022-04-08 02:44:48.166525]Total energy: 50354976.71112532
[2022-04-08 02:45:48.344922]Total energy: 50750439.38119671
[2022-04-08 02:46:49.148182]Total energy: 50456393.28597268
[2022-04-08 02:47:50.666102]Total energy: 50389484.820984155
[2022-04-08 02:48:51.804331]Total energy: 50598889.90908354
[2022-04-08 02:49:52.930775]Total energy: 50601690.47536589
[2022-04-08 02:51:02.505462]Total energy: 50539281.757210046
[2022-04-08 02:52:11.644756]Total energy: 50519903.20742632
[2022-04-08 02:53:24.474833]Total energy: 50589620.360553205
[2022-04-08 02:54:24.117160]Total energy: 50568745.14104063
[2022-04-08 02:55:23.640138]Total energy: 50534927.745537385
[2022-04-08 02:56:23.820702]Total energy: 50566431.50288588
[2022-04-08 02:57:24.973922]Total energy: 50526571.197255716
[2022-04-08 02:58:24.780401]Total energy: 50445893.07372139
[2022-04-08 02:59:25.146518]Total energy: 50411053.54254948
[2022-04-08 03:00:54.891513]Total energy: 50499752.04350285
[2022-04-08 03:02:17.168410]Total energy: 50439952.24639959
[2022-04-08 03:03:19.303140]Total energy: 50395666.950505264
[2022-04-08 03:04:19.802663]Total energy: 50505794.40100255
