initial: all - diverse_no_blind_all
[2022-04-09 19:55:40.878616]Total energy: 16876212.130446408
[2022-04-09 19:57:02.362737]Total energy: 16805833.06660989
[2022-04-09 19:58:24.676625]Total energy: 16855297.730847675
[2022-04-09 19:59:48.246221]Total energy: 16814247.391673956
[2022-04-09 20:01:19.162213]Total energy: 16816282.205542166
[2022-04-09 20:02:43.517646]Total energy: 16808013.141685978
[2022-04-09 20:04:05.737187]Total energy: 16860806.049193226
[2022-04-09 20:05:28.319793]Total energy: 16839348.62385302
[2022-04-09 20:06:49.233529]Total energy: 16859351.73183068
[2022-04-09 20:08:09.010911]Total energy: 16800001.890276175
[2022-04-09 20:09:26.240985]Total energy: 16850665.510787293
[2022-04-09 20:11:19.862332]Total energy: 16806484.953411765
[2022-04-09 20:13:11.511117]Total energy: 16818927.58402617
[2022-04-09 20:14:47.884798]Total energy: 16842835.969554424
[2022-04-09 20:16:21.585791]Total energy: 16795108.556341447
[2022-04-09 20:17:40.712402]Total energy: 16834526.81884509
[2022-04-09 20:18:58.863769]Total energy: 16876929.642420556
[2022-04-09 20:20:15.395626]Total energy: 16829464.12607277
[2022-04-09 20:21:55.822707]Total energy: 16789206.053388935
[2022-04-09 20:23:19.182790]Total energy: 16802645.303596977
[2022-04-09 20:24:35.867989]Total energy: 16822004.910647854
[2022-04-09 20:25:53.171011]Total energy: 16793898.412410572
[2022-04-09 20:27:10.260934]Total energy: 16809694.47637105
[2022-04-09 20:28:26.383478]Total energy: 16802058.463505197
[2022-04-09 20:29:42.703246]Total energy: 16759802.681999106
[2022-04-09 20:31:10.513950]Total energy: 16805226.915125698
[2022-04-09 20:32:32.891077]Total energy: 16779663.263276357
[2022-04-09 20:33:57.899139]Total energy: 16793111.50893497
[2022-04-09 20:35:16.218701]Total energy: 16754777.264438922
[2022-04-09 20:36:36.117506]Total energy: 16784902.68666667
[2022-04-09 20:37:55.576071]Total energy: 16796743.632439554
[2022-04-09 20:39:12.322909]Total energy: 16751077.279323645
[2022-04-09 20:40:52.738156]Total energy: 16810923.887428045
[2022-04-09 20:42:39.471071]Total energy: 16796266.418977316
[2022-04-09 20:44:17.556592]Total energy: 16812723.095803868
[2022-04-09 20:45:48.057569]Total energy: 16849516.237298805
[2022-04-09 20:47:05.836395]Total energy: 16790216.12989511
[2022-04-09 20:48:24.911134]Total energy: 16803918.344027314
[2022-04-09 20:49:41.551451]Total energy: 16791404.478542846
[2022-04-09 20:51:04.016607]Total energy: 16809373.06680275
[2022-04-09 20:52:31.654293]Total energy: 16803753.75573648
[2022-04-09 20:53:59.584342]Total energy: 16792491.976746812
[2022-04-09 20:55:19.681981]Total energy: 16773723.028593117
[2022-04-09 20:56:35.776473]Total energy: 16840101.57708642
[2022-04-09 20:57:53.724097]Total energy: 16782253.05879932
[2022-04-09 20:59:10.348667]Total energy: 16783686.88885882
[2022-04-09 21:00:59.077640]Total energy: 16789354.458436374
[2022-04-09 21:02:28.806252]Total energy: 16810353.33139358
[2022-04-09 21:03:55.960718]Total energy: 16773632.261943515
[2022-04-09 21:05:22.196406]Total energy: 16819043.949716773
[2022-04-09 21:06:55.713552]Total energy: 16830456.372733425
[2022-04-09 21:08:28.153575]Total energy: 16774690.330774274
[2022-04-09 21:10:02.385293]Total energy: 16801527.490940522
[2022-04-09 21:11:22.868241]Total energy: 16785467.571578156
[2022-04-09 21:12:40.046458]Total energy: 16776196.118162023
[2022-04-09 21:13:57.771459]Total energy: 16778024.091716032
[2022-04-09 21:15:15.947759]Total energy: 16795829.8368423
