initial: all - optimal_only_all
[2022-04-07 22:38:46.909050]Total energy: 31734072.29982431
[2022-04-07 22:40:03.378099]Total energy: 31912390.24618591
[2022-04-07 22:41:26.153496]Total energy: 31632377.306402624
[2022-04-07 22:42:45.184955]Total energy: 31792974.390878983
[2022-04-07 22:44:01.447551]Total energy: 31781767.856116872
[2022-04-07 22:45:16.226673]Total energy: 31810080.743246097
[2022-04-07 22:46:31.712270]Total energy: 31824744.548675515
[2022-04-07 22:47:46.438317]Total energy: 31752910.60086204
[2022-04-07 22:49:02.009941]Total energy: 31619765.553617038
[2022-04-07 22:50:16.685162]Total energy: 31817958.69032365
[2022-04-07 22:51:32.434754]Total energy: 31817346.244286958
[2022-04-07 22:52:49.620166]Total energy: 31688643.215424098
[2022-04-07 22:54:04.631377]Total energy: 31797525.999486197
[2022-04-07 22:55:19.691882]Total energy: 31730899.48453058
[2022-04-07 22:56:38.028710]Total energy: 31713954.18010819
[2022-04-07 22:57:52.849413]Total energy: 31681262.03985432
[2022-04-07 22:59:07.388568]Total energy: 31637665.576858323
[2022-04-07 23:00:24.614342]Total energy: 31664572.542695425
[2022-04-07 23:01:57.017160]Total energy: 31777106.709350303
[2022-04-07 23:03:14.603686]Total energy: 31804621.067409508
[2022-04-07 23:04:31.727304]Total energy: 31722281.295977745
[2022-04-07 23:05:47.423064]Total energy: 31670821.897660833
[2022-04-07 23:07:02.350777]Total energy: 31684565.000991236
[2022-04-07 23:08:15.555062]Total energy: 31773597.307416826
[2022-04-07 23:09:32.325253]Total energy: 31747091.53226607
[2022-04-07 23:10:57.552438]Total energy: 31795791.767367184
[2022-04-07 23:12:19.177121]Total energy: 31731294.75892886
[2022-04-07 23:13:33.869309]Total energy: 31707735.694089744
[2022-04-07 23:14:50.374864]Total energy: 31730346.991027713
[2022-04-07 23:16:15.063533]Total energy: 31723231.657342993
[2022-04-07 23:17:37.069248]Total energy: 31802098.38967934
[2022-04-07 23:18:53.071387]Total energy: 31596076.374837123
[2022-04-07 23:20:10.344445]Total energy: 31820014.87573731
[2022-04-07 23:21:35.411252]Total energy: 32155200.783112057
[2022-04-07 23:22:52.486227]Total energy: 31906460.62582845
[2022-04-07 23:24:06.464246]Total energy: 31887753.296752706
[2022-04-07 23:25:21.969191]Total energy: 31944380.969405837
[2022-04-07 23:26:39.222492]Total energy: 32058721.686104868
[2022-04-07 23:27:53.702981]Total energy: 31886749.4245307
[2022-04-07 23:29:08.677133]Total energy: 31837362.432843655
[2022-04-07 23:30:54.506470]Total energy: 31871230.53933778
[2022-04-07 23:32:19.239426]Total energy: 31989511.81593433
[2022-04-07 23:33:37.165356]Total energy: 31906837.489400893
[2022-04-07 23:34:51.834972]Total energy: 31915895.69920778
[2022-04-07 23:36:09.878190]Total energy: 31892771.760609657
[2022-04-07 23:37:24.936169]Total energy: 32003666.63727868
[2022-04-07 23:38:41.629185]Total energy: 31997604.193036646
[2022-04-07 23:39:59.031329]Total energy: 31894634.278989557
[2022-04-07 23:41:17.008785]Total energy: 31936888.300289817
[2022-04-07 23:42:35.299852]Total energy: 31924551.4970452
[2022-04-07 23:43:50.546466]Total energy: 32099423.58474085
[2022-04-07 23:45:06.209850]Total energy: 31922206.576500412
[2022-04-07 23:46:23.906686]Total energy: 31994988.281863533
[2022-04-07 23:47:39.061662]Total energy: 31922881.951562993
[2022-04-07 23:48:58.198692]Total energy: 32067192.017519157
[2022-04-07 23:50:15.006380]Total energy: 31911618.980300184
[2022-04-07 23:51:39.750220]Total energy: 31864054.886652246
[2022-04-07 23:53:11.830058]Total energy: 32001194.405286036
[2022-04-07 23:54:36.360848]Total energy: 32092463.27463929
[2022-04-07 23:55:52.118426]Total energy: 32058992.370579723
[2022-04-07 23:57:06.899974]Total energy: 31931706.389620222
[2022-04-07 23:58:22.782004]Total energy: 31844252.546457734
[2022-04-07 23:59:42.121521]Total energy: 32021082.22525101
[2022-04-08 00:00:59.826783]Total energy: 31940557.094107796
[2022-04-08 00:02:15.343590]Total energy: 31938029.695379518
[2022-04-08 00:03:30.338844]Total energy: 32007380.153722197
[2022-04-08 00:04:45.642993]Total energy: 31853829.024592992
[2022-04-08 00:06:16.212939]Total energy: 31900340.197178405
[2022-04-08 00:07:32.333330]Total energy: 31884334.30544654
[2022-04-08 00:08:49.682004]Total energy: 32064797.711857762
[2022-04-08 00:10:04.132020]Total energy: 32019924.608904585
[2022-04-08 00:11:19.591071]Total energy: 32161052.596912492
[2022-04-08 00:12:34.304771]Total energy: 31956624.826762214
[2022-04-08 00:13:49.229998]Total energy: 32111845.2271796
[2022-04-08 00:15:07.063516]Total energy: 31932288.961631283
[2022-04-08 00:16:23.339169]Total energy: 32025338.785850793
[2022-04-08 00:17:38.930319]Total energy: 31993679.211746957
[2022-04-08 00:18:54.046711]Total energy: 31849336.175520424
[2022-04-08 00:20:10.434793]Total energy: 31971111.849405635
[2022-04-08 00:21:36.831138]Total energy: 32053262.372391004
[2022-04-08 00:22:53.934264]Total energy: 31848441.488910712
[2022-04-08 00:24:10.229152]Total energy: 32092952.7541381
[2022-04-08 00:25:25.694514]Total energy: 31957816.419077933
[2022-04-08 00:26:41.897149]Total energy: 31952400.48842413
[2022-04-08 00:27:57.726677]Total energy: 31965257.531970013
[2022-04-08 00:29:12.252196]Total energy: 32009023.44647756
[2022-04-08 00:30:40.847353]Total energy: 32029229.559032228
[2022-04-08 00:32:15.416611]Total energy: 32087640.474788938
[2022-04-08 00:33:31.557766]Total energy: 32079835.71850987
[2022-04-08 00:34:46.773062]Total energy: 31951636.108634982
[2022-04-08 00:36:01.317087]Total energy: 32037962.87966197
[2022-04-08 00:37:17.229980]Total energy: 31875960.30492869
[2022-04-08 00:38:32.971045]Total energy: 31853101.19506016
[2022-04-08 00:39:48.182643]Total energy: 31859884.612759646
[2022-04-08 00:41:14.675121]Total energy: 31833501.515222147
[2022-04-08 00:42:33.991916]Total energy: 31726834.95821216
[2022-04-08 00:43:50.694511]Total energy: 31911259.200414024
[2022-04-08 00:45:06.549811]Total energy: 31760096.20081627
[2022-04-08 00:46:22.308790]Total energy: 31775604.239574414
[2022-04-08 00:47:37.532133]Total energy: 31871113.12947958
[2022-04-08 00:48:54.379025]Total energy: 31890553.247865476
[2022-04-08 00:50:10.197737]Total energy: 31834736.195863996
[2022-04-08 00:51:29.728918]Total energy: 31622134.48758216
[2022-04-08 00:52:48.817385]Total energy: 31800177.855177402
[2022-04-08 00:54:07.660653]Total energy: 31999773.96453392
[2022-04-08 00:55:23.718965]Total energy: 31857939.332547374
[2022-04-08 00:56:40.596061]Total energy: 31866031.34807937
[2022-04-08 00:57:56.811789]Total energy: 31646863.7498958
[2022-04-08 00:59:15.125616]Total energy: 31830365.61152499
[2022-04-08 01:00:31.493981]Total energy: 31694453.842386387
[2022-04-08 01:01:46.264941]Total energy: 31738127.421639085
[2022-04-08 01:03:00.123199]Total energy: 31779227.317211874
[2022-04-08 01:04:12.640612]Total energy: 31786703.927422978
[2022-04-08 01:05:26.148273]Total energy: 31964207.07894164
[2022-04-08 01:06:39.663403]Total energy: 31779226.227598656
[2022-04-08 01:07:52.231959]Total energy: 31715423.580930214
[2022-04-08 01:09:06.158889]Total energy: 31762921.500804663
[2022-04-08 01:10:19.481838]Total energy: 31673877.43897892
[2022-04-08 01:11:35.148353]Total energy: 31764563.803242736
[2022-04-08 01:12:49.135556]Total energy: 31885107.54762314
[2022-04-08 01:14:04.123420]Total energy: 31836914.92954391
[2022-04-08 01:15:17.674611]Total energy: 31907217.614903945
[2022-04-08 01:16:32.406950]Total energy: 31740128.558718637
[2022-04-08 01:17:46.925182]Total energy: 31844736.511408724
[2022-04-08 01:19:03.686022]Total energy: 31962422.87971364
[2022-04-08 01:20:22.785985]Total energy: 31862777.707101982
[2022-04-08 01:21:49.924946]Total energy: 31807326.80413101
[2022-04-08 01:23:10.375416]Total energy: 31796154.211204868
[2022-04-08 01:24:28.298324]Total energy: 31969141.989693202
[2022-04-08 01:25:46.771652]Total energy: 31897199.15960387
[2022-04-08 01:27:06.931786]Total energy: 31739991.319567736
[2022-04-08 01:28:25.936687]Total energy: 31735823.676796187
[2022-04-08 01:29:43.760359]Total energy: 31693380.028719217
[2022-04-08 01:31:02.090425]Total energy: 31815569.943979464
[2022-04-08 01:32:19.607334]Total energy: 31828934.53284545
[2022-04-08 01:33:35.942538]Total energy: 31785203.954703394
[2022-04-08 01:34:51.444576]Total energy: 31859340.161811173
[2022-04-08 01:36:26.512291]Total energy: 31845423.771270394
[2022-04-08 01:37:46.750853]Total energy: 31786041.180079114
[2022-04-08 01:39:12.966837]Total energy: 31854236.408165496
[2022-04-08 01:41:00.450275]Total energy: 31683780.316035677
[2022-04-08 01:42:43.962321]Total energy: 31981342.00507208
[2022-04-08 01:44:05.109263]Total energy: 31604472.9442425
[2022-04-08 01:45:20.765607]Total energy: 31925510.63301965
[2022-04-08 01:46:37.140766]Total energy: 31818767.963149462
[2022-04-08 01:48:00.892919]Total energy: 31868494.168819267
[2022-04-08 01:49:30.979879]Total energy: 31905533.07949342
[2022-04-08 01:51:08.183251]Total energy: 31820612.3613969
[2022-04-08 01:52:52.309741]Total energy: 31829989.594639257
[2022-04-08 01:54:31.254557]Total energy: 31851232.35474269
[2022-04-08 01:56:02.385613]Total energy: 31831875.28796328
[2022-04-08 01:57:32.220461]Total energy: 31839940.0073913
[2022-04-08 01:58:58.821148]Total energy: 31947851.745516066
[2022-04-08 02:00:54.848878]Total energy: 31760459.176850013
[2022-04-08 02:02:41.382288]Total energy: 31681816.8915392
[2022-04-08 02:04:14.088787]Total energy: 31691796.239951745
[2022-04-08 02:05:45.543161]Total energy: 31870164.85603886
[2022-04-08 02:07:13.321249]Total energy: 31872415.381713446
[2022-04-08 02:08:45.261904]Total energy: 31803658.54809934
[2022-04-08 02:10:15.838650]Total energy: 31745393.34134131
[2022-04-08 02:11:54.073736]Total energy: 31948233.4823865
[2022-04-08 02:13:27.229576]Total energy: 31751327.60107912
[2022-04-08 02:14:55.538002]Total energy: 31758837.149336573
[2022-04-08 02:16:22.379494]Total energy: 31793525.989330843
[2022-04-08 02:17:49.364789]Total energy: 31912294.522498097
[2022-04-08 02:19:21.588550]Total energy: 31773673.303490046
[2022-04-08 02:21:14.753863]Total energy: 31858680.031478778
[2022-04-08 02:23:06.069885]Total energy: 31826492.391118098
[2022-04-08 02:24:41.607730]Total energy: 31930453.106489602
[2022-04-08 02:26:15.792932]Total energy: 31891852.511990074
[2022-04-08 02:27:43.615070]Total energy: 31892837.2891752
[2022-04-08 02:29:10.496027]Total energy: 31801443.34405665
[2022-04-08 02:31:04.123740]Total energy: 31802761.040436868
[2022-04-08 02:32:43.292619]Total energy: 31830490.40173798
[2022-04-08 02:34:04.533047]Total energy: 31836938.231161915
[2022-04-08 02:35:23.934160]Total energy: 31903543.524435505
[2022-04-08 02:36:49.387960]Total energy: 31956505.71993308
[2022-04-08 02:38:19.868690]Total energy: 31856819.929401297
[2022-04-08 02:39:47.819425]Total energy: 31762593.19833394
[2022-04-08 02:41:25.751636]Total energy: 31610624.5475635
[2022-04-08 02:43:13.202576]Total energy: 31828068.752728052
[2022-04-08 02:44:49.933214]Total energy: 31934916.13626019
[2022-04-08 02:46:20.792584]Total energy: 31821682.909221504
[2022-04-08 02:47:51.714105]Total energy: 31755153.15955192
[2022-04-08 02:49:20.409370]Total energy: 31857250.91451771
[2022-04-08 02:50:56.294275]Total energy: 31901305.349100832
[2022-04-08 02:52:41.019669]Total energy: 31815845.75679075
[2022-04-08 02:54:14.857987]Total energy: 31822278.38072349
[2022-04-08 02:55:43.829264]Total energy: 31961641.162222534
[2022-04-08 02:57:12.962461]Total energy: 31873986.55997486
[2022-04-08 02:58:41.938815]Total energy: 31880517.80555706
[2022-04-08 03:00:11.423710]Total energy: 31763553.2572836
[2022-04-08 03:01:52.378000]Total energy: 31665643.193140306
[2022-04-08 03:03:27.817551]Total energy: 31674548.23827779
[2022-04-08 03:04:53.064958]Total energy: 31689990.142639916
[2022-04-08 03:06:20.310653]Total energy: 31615246.751332592
[2022-04-08 03:07:45.373725]Total energy: 31669340.476328015
[2022-04-08 03:09:09.326897]Total energy: 31609115.400642112
[2022-04-08 03:10:49.638553]Total energy: 31739402.919884235
[2022-04-08 03:12:26.478790]Total energy: 31755285.563466683
[2022-04-08 03:13:53.129078]Total energy: 31697133.07405758
[2022-04-08 03:15:20.611624]Total energy: 31758800.60730374
[2022-04-08 03:16:48.095771]Total energy: 31677364.970207565
[2022-04-08 03:18:17.167669]Total energy: 31644287.350531373
[2022-04-08 03:19:46.548574]Total energy: 31784011.785663214
[2022-04-08 03:21:28.278351]Total energy: 31691019.69716329
[2022-04-08 03:23:08.104918]Total energy: 31703893.90097464
[2022-04-08 03:24:50.820696]Total energy: 31672126.977562387
[2022-04-08 03:26:27.421891]Total energy: 31797974.549943488
[2022-04-08 03:27:57.456682]Total energy: 31808545.938010655
[2022-04-08 03:29:24.467210]Total energy: 31753175.809019115
[2022-04-08 03:31:06.076234]Total energy: 31634377.312845543
[2022-04-08 03:32:47.350118]Total energy: 31608859.48682055
[2022-04-08 03:34:13.599000]Total energy: 31849759.38250146
[2022-04-08 03:35:41.659304]Total energy: 31624058.860272076
[2022-04-08 03:37:08.576779]Total energy: 31703321.131916765
[2022-04-08 03:38:38.406008]Total energy: 31800651.283299163
[2022-04-08 03:40:07.532864]Total energy: 31717343.641414862
[2022-04-08 03:41:34.914005]Total energy: 31756898.681853015
[2022-04-08 03:43:01.010081]Total energy: 31705759.830517482
[2022-04-08 03:44:27.919941]Total energy: 31644697.81744539
[2022-04-08 03:45:58.696571]Total energy: 31650910.879809916
[2022-04-08 03:47:28.310107]Total energy: 31661516.803325117
[2022-04-08 03:48:56.830079]Total energy: 31769837.250013202
[2022-04-08 03:50:49.470694]Total energy: 31790057.306126647
[2022-04-08 03:52:29.367087]Total energy: 31543987.946219873
[2022-04-08 03:53:58.194064]Total energy: 31509837.5100841
[2022-04-08 03:55:33.869853]Total energy: 31411643.2092804
[2022-04-08 03:57:09.152473]Total energy: 31553806.27893653
[2022-04-08 03:58:36.912256]Total energy: 31686210.530558433
[2022-04-08 04:00:07.846476]Total energy: 31706254.24192212
[2022-04-08 04:01:45.900025]Total energy: 31787998.171549767
[2022-04-08 04:03:26.344421]Total energy: 31534314.57889508
[2022-04-08 04:04:54.966529]Total energy: 31675463.392499663
[2022-04-08 04:06:25.720888]Total energy: 31543811.592213657
[2022-04-08 04:07:53.071667]Total energy: 31708733.982240587
[2022-04-08 04:09:27.631794]Total energy: 31650834.126629338
[2022-04-08 04:11:09.444605]Total energy: 31622337.9822078
[2022-04-08 04:12:45.995893]Total energy: 31711403.311689474
[2022-04-08 04:14:15.656183]Total energy: 31489395.836050943
[2022-04-08 04:15:47.011723]Total energy: 31540416.708780076
[2022-04-08 04:17:13.885963]Total energy: 31699495.923117694
[2022-04-08 04:18:46.742353]Total energy: 31693031.118153375
[2022-04-08 04:20:06.312867]Total energy: 31694453.7937704
[2022-04-08 04:21:25.031545]Total energy: 31638485.072136972
[2022-04-08 04:22:46.220130]Total energy: 31642090.953027267
[2022-04-08 04:24:07.498554]Total energy: 31682058.428959563
[2022-04-08 04:25:41.606350]Total energy: 31651471.02269251
[2022-04-08 04:27:07.610245]Total energy: 31693834.226439282
[2022-04-08 04:28:40.119639]Total energy: 31584431.41887935
[2022-04-08 04:30:09.534956]Total energy: 31716180.53079027
[2022-04-08 04:31:53.540201]Total energy: 31763233.271815054
[2022-04-08 04:33:28.662567]Total energy: 31569103.984510787
[2022-04-08 04:34:57.463252]Total energy: 31738384.984937534
[2022-04-08 04:36:26.697583]Total energy: 31586160.665737618
[2022-04-08 04:37:58.327571]Total energy: 31573953.45127796
[2022-04-08 04:39:25.997983]Total energy: 31621199.785244096
[2022-04-08 04:41:17.789500]Total energy: 31652423.73106603
[2022-04-08 04:42:58.515489]Total energy: 31748614.116015814
[2022-04-08 04:44:34.403172]Total energy: 31667150.198566917
[2022-04-08 04:46:11.923457]Total energy: 31596052.98283191
[2022-04-08 04:47:40.204468]Total energy: 31697217.75497806
[2022-04-08 04:49:09.579779]Total energy: 31571742.834682934
[2022-04-08 04:51:01.720465]Total energy: 31663828.456275523
[2022-04-08 04:53:06.812398]Total energy: 31679537.347067025
[2022-04-08 04:54:42.080325]Total energy: 31573623.608074944
[2022-04-08 04:56:07.568007]Total energy: 31765620.53070081
[2022-04-08 04:57:35.975381]Total energy: 31810273.92316839
[2022-04-08 04:59:04.532340]Total energy: 31632515.914497573
[2022-04-08 05:00:33.534019]Total energy: 31700233.37479565
[2022-04-08 05:01:59.280429]Total energy: 31480893.761719115
[2022-04-08 05:03:25.527726]Total energy: 31653707.802595627
[2022-04-08 05:04:49.249074]Total energy: 31687627.497428536
[2022-04-08 05:06:12.368935]Total energy: 31670108.70251237
[2022-04-08 05:07:35.942176]Total energy: 31719975.380217273
[2022-04-08 05:09:00.366106]Total energy: 31636861.993880056
[2022-04-08 05:10:51.489997]Total energy: 31627777.847143717
[2022-04-08 05:12:47.841321]Total energy: 31692063.277009107
[2022-04-08 05:14:19.883587]Total energy: 31578131.205383614
[2022-04-08 05:15:47.979938]Total energy: 31686865.419683013
[2022-04-08 05:17:16.462910]Total energy: 31650449.22263292
[2022-04-08 05:18:44.707934]Total energy: 31612834.844604257
[2022-04-08 05:20:08.124883]Total energy: 31640462.524351228
[2022-04-08 05:21:28.942066]Total energy: 31611303.960941467
[2022-04-08 05:22:47.634875]Total energy: 31600319.83572753
[2022-04-08 05:24:06.850166]Total energy: 31608901.973809075
[2022-04-08 05:25:31.610971]Total energy: 31642951.561302107
[2022-04-08 05:26:51.276205]Total energy: 31615466.7719405
[2022-04-08 05:28:16.340325]Total energy: 31820648.46422697
[2022-04-08 05:29:41.904119]Total energy: 31653591.049398825
[2022-04-08 05:31:17.226319]Total energy: 31702705.9327318
[2022-04-08 05:32:51.357548]Total energy: 31595577.172011033
[2022-04-08 05:34:15.898198]Total energy: 31586312.297587924
[2022-04-08 05:35:45.378626]Total energy: 31526435.77552282
[2022-04-08 05:37:10.068496]Total energy: 31486871.57497981
[2022-04-08 05:38:35.663810]Total energy: 31505704.61323957
[2022-04-08 05:39:59.310421]Total energy: 31526961.210703194
[2022-04-08 05:41:33.789166]Total energy: 31623701.351394862
[2022-04-08 05:43:05.054318]Total energy: 31591483.811460976
[2022-04-08 05:44:37.811983]Total energy: 31368120.65079691
[2022-04-08 05:46:00.322143]Total energy: 31389164.244182926
[2022-04-08 05:47:25.093521]Total energy: 31549037.016173426
[2022-04-08 05:48:46.774547]Total energy: 31406333.34605022
[2022-04-08 05:50:16.042041]Total energy: 31314266.219151232
[2022-04-08 05:51:47.161065]Total energy: 31421242.98256842
[2022-04-08 05:53:18.165915]Total energy: 31377594.466340203
[2022-04-08 05:54:48.042208]Total energy: 31378478.280101206
[2022-04-08 05:56:17.762787]Total energy: 31364778.304488357
[2022-04-08 05:57:49.066051]Total energy: 31358854.159262493
[2022-04-08 05:59:19.089431]Total energy: 31516672.67994855
[2022-04-08 06:00:56.497324]Total energy: 31407729.464933656
[2022-04-08 06:02:34.895640]Total energy: 31264465.986808676
[2022-04-08 06:04:04.853975]Total energy: 31358251.794623584
[2022-04-08 06:05:32.594134]Total energy: 31261016.124465354
[2022-04-08 06:06:58.632325]Total energy: 31325598.496993225
[2022-04-08 06:08:28.797013]Total energy: 31372741.058889735
[2022-04-08 06:09:57.250632]Total energy: 31404342.54331118
[2022-04-08 06:11:32.783586]Total energy: 31349622.940513186
[2022-04-08 06:13:04.369444]Total energy: 31352096.285673995
[2022-04-08 06:14:32.960544]Total energy: 31300657.043352067
[2022-04-08 06:16:17.740426]Total energy: 31285404.98878139
[2022-04-08 06:17:40.122464]Total energy: 31438150.651369356
[2022-04-08 06:19:14.238936]Total energy: 31377484.957454298
[2022-04-08 06:21:07.647714]Total energy: 31441401.841716662
[2022-04-08 06:22:51.227220]Total energy: 31252944.980216317
[2022-04-08 06:25:12.696905]Total energy: 31379714.637479603
[2022-04-08 06:26:43.928581]Total energy: 31423063.414427068
[2022-04-08 06:28:13.640901]Total energy: 31411751.4549864
[2022-04-08 06:29:45.931255]Total energy: 31305689.30233042
[2022-04-08 06:31:12.761834]Total energy: 31260156.597664267
[2022-04-08 06:32:39.069775]Total energy: 31497925.31058218
[2022-04-08 06:34:06.980824]Total energy: 31399935.885219302
[2022-04-08 06:35:37.310691]Total energy: 31250697.249269783
[2022-04-08 06:37:05.924839]Total energy: 31221536.98849947
[2022-04-08 06:38:34.392711]Total energy: 31304271.386557057
[2022-04-08 06:40:00.737194]Total energy: 31395600.174453378
[2022-04-08 06:41:28.142719]Total energy: 31445190.09047962
[2022-04-08 06:42:54.149144]Total energy: 31337227.817165993
[2022-04-08 06:44:21.802619]Total energy: 31408424.653176468
[2022-04-08 06:45:51.652112]Total energy: 31333340.05815804
[2022-04-08 06:47:20.167662]Total energy: 31399840.974559765
